Sample Weight (mg):	3.01
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	89.684	80.002	20.008	100.006	20.180	2.366	-0.101
0.500	89.651	80.000	20.008	100.032	20.178	2.586	-0.117
1.000	89.636	80.000	20.008	100.070	20.172	3.149	-0.077
1.500	89.559	80.001	20.008	100.116	20.169	3.508	-0.070
2.000	89.505	80.002	20.007	100.171	20.162	4.202	-0.112
2.500	89.483	80.000	20.008	100.231	20.159	4.554	-0.104
3.000	89.421	80.002	20.008	100.287	20.155	4.997	-0.080
3.500	89.399	80.000	20.008	100.333	20.151	5.384	-0.084
4.000	89.304	80.000	20.008	100.371	20.149	5.579	-0.100
4.500	89.306	80.001	20.008	100.394	20.146	5.841	-0.105
5.000	89.278	80.001	20.008	100.405	20.143	6.209	-0.060
5.500	89.206	79.999	20.008	100.416	20.141	6.411	-0.063
6.000	89.143	80.001	20.008	100.431	20.138	6.707	-0.117
6.500	89.114	80.000	20.008	100.448	20.136	6.906	-0.114
7.000	89.054	80.001	20.008	100.465	20.135	7.057	-0.090
7.500	89.081	80.000	20.008	100.478	20.133	7.268	-0.061
8.000	89.030	80.001	20.008	100.481	20.130	7.519	-0.029
8.500	88.933	80.000	20.008	100.477	20.131	7.473	-0.086
9.000	88.912	80.001	20.008	100.470	20.128	7.742	-0.132
9.500	88.885	80.001	20.008	100.469	20.126	7.930	-0.083
10.000	88.843	80.000	20.008	100.474	20.126	7.998	-0.059
10.500	88.806	80.001	20.008	100.487	20.126	8.026	-0.074
11.000	88.787	79.999	20.008	100.495	20.125	8.069	-0.067
11.500	88.708	80.002	20.008	100.502	20.128	7.800	-0.077
12.000	88.728	80.000	20.008	100.497	20.124	8.164	-0.078
12.500	88.683	80.001	20.008	100.489	20.129	7.708	-0.042
13.000	88.700	80.000	20.008	100.476	20.126	7.981	-0.027
13.500	88.635	80.000	20.008	100.472	20.126	7.945	-0.038
14.000	88.648	80.000	20.008	100.473	20.127	7.915	-0.050
14.500	88.604	80.000	20.008	100.478	20.127	7.907	-0.042
15.000	88.575	80.000	20.008	100.486	20.124	8.148	-0.052
15.500	88.556	80.001	20.008	100.491	20.125	8.097	-0.060
16.000	88.584	79.999	20.008	100.490	20.123	8.311	-0.020
16.500	88.555	80.002	20.008	100.483	20.124	8.137	0.003
17.000	88.473	80.001	20.008	100.478	20.121	8.481	-0.056
17.500	88.501	80.001	20.008	100.478	20.122	8.385	-0.082
18.000	88.445	80.002	20.008	100.486	20.122	8.415	-0.041
18.500	88.478	80.000	20.008	100.504	20.121	8.521	-0.025
19.000	88.463	80.001	20.008	100.527	20.121	8.518	-0.003
19.500	88.501	80.001	20.008	100.545	20.120	8.619	0.020
20.000	88.446	79.999	20.008	100.551	20.119	8.663	0.002
20.500	88.442	80.002	20.008	100.551	20.122	8.382	-0.038
21.000	88.412	80.000	20.008	100.550	20.120	8.602	-0.046
21.500	88.438	80.002	20.008	100.551	20.119	8.695	-0.019
22.001	88.404	80.001	20.008	100.555	20.123	8.342	-0.007
22.500	88.414	80.000	20.008	100.561	20.118	8.815	-0.016
23.000	88.375	80.001	20.008	100.563	20.119	8.768	-0.026
23.500	88.365	80.001	20.008	100.559	20.116	8.985	-0.039
24.000	88.399	80.000	20.008	100.548	20.117	8.940	-0.012
24.500	88.377	80.001	20.008	100.532	20.117	8.952	0.018
25.000	88.359	80.001	20.008	100.520	20.117	8.896	-0.014
25.500	88.351	80.001	20.008	100.516	20.114	9.189	-0.033
26.000	88.409	80.001	20.008	100.519	20.116	9.064	0.012
26.500	88.406	80.000	20.008	100.529	20.116	8.999	0.052
27.000	88.423	80.001	20.008	100.544	20.112	9.419	0.034
27.500	88.448	80.000	20.008	100.556	20.114	9.257	0.028
28.000	88.429	80.001	20.008	100.563	20.111	9.553	0.024
28.500	88.441	80.001	20.008	100.562	20.110	9.693	-0.001
29.000	88.442	80.000	20.008	100.560	20.108	9.886	0.003
29.500	88.516	80.000	20.008	100.560	20.110	9.700	0.045
30.001	88.487	80.002	20.008	100.567	20.107	9.971	0.060
30.500	88.519	80.001	20.007	100.578	20.105	10.199	0.024
31.000	88.517	80.001	20.008	100.592	20.106	10.109	0.016
31.500	88.528	80.001	20.008	100.603	20.103	10.368	0.020
32.000	88.537	80.001	20.008	100.611	20.101	10.619	0.015
32.500	88.577	80.001	20.008	100.611	20.101	10.574	0.035
33.000	88.562	80.000	20.008	100.607	20.099	10.817	0.037
33.500	88.658	80.000	20.008	100.599	20.098	10.902	0.053
34.000	88.627	80.001	20.008	100.598	20.100	10.664	0.073
34.500	88.673	80.001	20.008	100.605	20.099	10.819	0.040
35.000	88.690	80.001	20.008	100.619	20.099	10.822	0.039
35.500	88.709	80.001	20.008	100.638	20.097	11.020	0.050
36.000	88.739	80.000	20.008	100.655	20.098	10.912	0.042
36.500	88.774	80.000	20.008	100.662	20.096	11.164	0.057
37.000	88.795	80.000	20.008	100.655	20.096	11.157	0.061
37.500	88.913	80.000	20.008	100.641	20.097	10.964	0.097
38.000	88.931	80.002	20.008	100.627	20.095	11.183	0.138
38.500	88.909	80.000	20.008	100.623	20.095	11.258	0.066
39.000	88.972	80.001	20.008	100.631	20.095	11.188	0.018
39.500	89.056	80.001	20.008	100.647	20.098	10.952	0.094
40.000	89.040	80.001	20.008	100.664	20.099	10.804	0.108
40.500	89.141	80.001	20.008	100.673	20.098	10.923	0.076
41.000	89.225	80.000	20.008	100.673	20.097	11.010	0.135
41.500	89.265	80.002	20.008	100.664	20.099	10.768	0.155
42.000	89.316	79.999	20.009	100.655	20.101	10.587	0.108
42.501	89.348	80.001	20.008	100.647	20.098	10.937	0.087
43.001	89.408	80.001	20.008	100.646	20.102	10.526	0.087
43.500	89.504	80.001	20.008	100.653	20.102	10.514	0.124
44.000	89.548	80.001	20.008	100.663	20.104	10.325	0.148
44.500	89.615	79.999	20.008	100.664	20.102	10.540	0.125
45.000	89.658	80.000	20.008	100.662	20.103	10.422	0.111
45.500	89.708	80.001	20.008	100.655	20.103	10.358	0.102
46.000	89.829	80.001	20.008	100.642	20.103	10.390	0.132
46.500	89.883	80.000	20.008	100.633	20.102	10.447	0.173
47.000	89.925	80.001	20.008	100.632	20.104	10.266	0.136
47.500	89.994	80.000	20.008	100.636	20.102	10.525	0.104
48.000	90.064	80.002	20.008	100.648	20.103	10.365	0.125
48.500	90.144	80.000	20.008	100.659	20.100	10.732	0.145
49.000	90.238	80.001	20.008	100.664	20.103	10.362	0.162
49.500	90.333	79.999	20.008	100.665	20.101	10.553	0.182
50.000	90.405	80.001	20.008	100.662	20.104	10.299	0.178
50.501	90.472	80.000	20.008	100.656	20.103	10.341	0.153
51.001	90.594	80.001	20.008	100.658	20.105	10.132	0.164
51.500	90.693	80.002	20.008	100.660	20.102	10.480	0.205
52.000	90.792	80.001	20.008	100.664	20.103	10.394	0.210
52.500	90.804	80.001	20.008	100.665	20.103	10.360	0.154
53.000	90.932	80.001	20.008	100.659	20.102	10.521	0.125
53.500	91.012	80.001	20.008	100.646	20.101	10.639	0.174
54.000	91.082	80.000	20.008	100.633	20.100	10.682	0.179
54.500	91.165	80.001	20.008	100.619	20.101	10.628	0.152
55.000	91.305	80.000	20.008	100.611	20.100	10.743	0.189
55.501	91.361	80.002	20.008	100.613	20.098	10.865	0.209
56.001	91.506	80.001	20.008	100.620	20.101	10.634	0.198
56.500	91.565	80.001	20.008	100.628	20.099	10.821	0.202
57.000	91.656	80.000	20.008	100.637	20.099	10.808	0.177
57.501	91.758	80.001	20.008	100.644	20.096	11.166	0.172
58.001	91.862	80.001	20.008	100.641	20.094	11.347	0.200
58.500	91.984	80.001	20.008	100.633	20.099	10.819	0.216
59.000	92.063	80.001	20.008	100.625	20.097	11.018	0.213
59.500	92.176	80.001	20.008	100.618	20.097	10.965	0.197
60.000	92.295	80.000	20.008	100.618	20.098	10.935	0.212
60.500	92.347	80.002	20.008	100.629	20.094	11.325	0.201
61.000	92.452	80.001	20.008	100.640	20.094	11.348	0.164
61.500	92.524	80.000	20.008	100.648	20.091	11.637	0.167
62.000	92.659	80.002	20.008	100.652	20.093	11.480	0.192
62.501	92.802	80.000	20.008	100.646	20.092	11.546	0.243
63.001	92.886	80.000	20.008	100.638	20.092	11.580	0.253
63.500	92.979	80.003	20.008	100.638	20.091	11.599	0.202
