Sample Weight (mg):	2.01
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
-0.001	86.426	80.004	20.011	100.210	20.058	3.081	-0.101
0.499	86.355	80.004	20.010	100.212	20.060	2.817	-0.104
0.999	86.294	80.005	20.010	100.208	20.063	2.237	-0.116
1.499	86.266	80.003	20.011	100.199	20.059	2.890	-0.111
1.999	86.202	80.005	20.011	100.191	20.061	2.587	-0.090
2.499	86.181	80.004	20.010	100.186	20.063	2.274	-0.089
2.999	86.154	80.004	20.010	100.185	20.062	2.396	-0.067
3.499	86.110	80.005	20.011	100.191	20.065	1.938	-0.059
3.999	86.059	80.003	20.010	100.199	20.060	2.716	-0.083
4.499	86.062	80.005	20.010	100.207	20.063	2.274	-0.072
4.999	86.036	80.005	20.010	100.215	20.060	2.702	-0.036
5.499	85.936	80.003	20.010	100.220	20.060	2.732	-0.075
5.999	85.898	80.004	20.011	100.213	20.063	2.303	-0.132
6.499	85.916	80.004	20.010	100.206	20.061	2.590	-0.079
6.999	85.865	80.005	20.011	100.199	20.061	2.643	-0.026
7.499	85.845	80.004	20.010	100.190	20.062	2.504	-0.052
7.999	85.856	80.005	20.010	100.184	20.064	2.188	-0.040
8.499	85.833	80.004	20.010	100.191	20.063	2.277	-0.011
8.999	85.791	80.004	20.010	100.198	20.063	2.386	-0.039
9.499	85.728	80.003	20.010	100.207	20.064	2.185	-0.084
9.999	85.772	80.006	20.010	100.216	20.064	2.205	-0.062
10.499	85.752	80.004	20.010	100.223	20.061	2.604	0.002
10.999	85.747	80.004	20.010	100.220	20.061	2.600	-0.001
11.499	85.724	80.005	20.010	100.212	20.063	2.241	-0.026
11.999	85.691	80.004	20.010	100.203	20.062	2.524	-0.042
12.499	85.700	80.004	20.010	100.194	20.059	2.883	-0.040
12.999	85.706	80.005	20.011	100.186	20.064	2.126	-0.005
13.499	85.674	80.004	20.010	100.183	20.059	2.999	-0.006
13.999	85.632	80.004	20.010	100.190	20.059	2.890	-0.050
14.499	85.615	80.004	20.010	100.199	20.058	3.029	-0.067
14.999	85.588	80.005	20.010	100.207	20.058	3.082	-0.051
15.499	85.575	80.004	20.010	100.220	20.059	2.890	-0.041
15.999	85.563	80.005	20.010	100.228	20.056	3.437	-0.032
16.499	85.546	80.005	20.010	100.227	20.057	3.292	-0.027
16.999	85.543	80.004	20.010	100.224	20.054	3.658	-0.025
17.499	85.500	80.003	20.010	100.216	20.054	3.727	-0.033
17.999	85.526	80.005	20.010	100.204	20.054	3.759	-0.032
18.499	85.550	80.005	20.010	100.195	20.052	4.079	0.016
18.999	85.513	80.003	20.010	100.188	20.055	3.611	0.018
19.499	85.495	80.004	20.010	100.189	20.054	3.631	-0.034
19.999	85.511	80.005	20.011	100.196	20.055	3.596	-0.029
20.499	85.533	80.005	20.010	100.204	20.057	3.194	0.018
20.999	85.535	80.004	20.010	100.213	20.057	3.244	0.032
21.499	85.450	80.005	20.009	100.222	20.055	3.514	-0.029
21.999	85.481	80.004	20.011	100.224	20.056	3.330	-0.068
22.499	85.445	80.003	20.010	100.224	20.054	3.728	-0.030
22.999	85.487	80.004	20.010	100.225	20.055	3.606	0.000
23.499	85.549	80.004	20.010	100.221	20.056	3.421	0.054
23.999	85.512	80.005	20.010	100.217	20.051	4.152	0.064
24.499	85.484	80.004	20.010	100.210	20.063	2.333	-0.020
24.999	85.498	80.004	20.010	100.209	20.063	2.382	-0.040
25.499	85.542	80.005	20.010	100.206	20.056	3.378	0.022
25.999	85.558	80.004	20.010	100.209	20.058	3.088	0.059
26.499	85.512	80.005	20.010	100.212	20.057	3.296	0.015
26.999	85.550	80.004	20.010	100.218	20.059	2.940	-0.019
27.499	85.526	80.003	20.010	100.220	20.057	3.168	0.003
27.999	85.545	80.005	20.010	100.222	20.059	2.914	0.004
28.499	85.580	80.005	20.011	100.222	20.059	2.977	0.025
28.999	85.587	80.004	20.010	100.217	20.057	3.240	0.049
29.499	85.577	80.004	20.010	100.211	20.058	3.092	0.019
29.999	85.608	80.005	20.010	100.203	20.054	3.678	0.008
30.499	85.599	80.005	20.010	100.194	20.059	2.999	0.022
30.999	85.587	80.005	20.011	100.187	20.057	3.273	0.001
31.499	85.613	80.004	20.010	100.184	20.056	3.382	-0.003
31.999	85.612	80.005	20.010	100.190	20.058	3.033	0.019
32.499	85.741	80.004	20.011	100.199	20.057	3.313	0.076
32.999	85.631	80.004	20.010	100.215	20.062	2.483	0.074
33.499	85.713	80.003	20.010	100.230	20.056	3.337	-0.004
33.999	85.695	80.004	20.011	100.245	20.057	3.251	0.018
34.499	85.709	80.004	20.011	100.249	20.059	2.994	0.030
34.999	85.799	80.004	20.010	100.248	20.057	3.198	0.050
35.499	85.783	80.004	20.010	100.240	20.057	3.181	0.089
35.999	85.844	80.005	20.011	100.227	20.065	1.971	0.060
36.499	85.829	80.005	20.011	100.212	20.070	1.282	0.045
36.999	85.899	80.005	20.010	100.201	20.069	1.312	0.050
37.499	85.857	80.004	20.010	100.196	20.069	1.368	0.041
37.999	85.908	80.004	20.011	100.195	20.069	1.434	0.018
38.499	85.929	80.003	20.010	100.200	20.069	1.313	0.041
38.999	85.907	80.004	20.010	100.214	20.067	1.616	0.036
39.499	85.985	80.006	20.010	100.230	20.064	2.177	0.027
39.999	85.966	80.004	20.010	100.239	20.058	3.127	0.057
40.499	85.971	80.004	20.010	100.248	20.056	3.364	0.023
41.000	86.040	80.003	20.011	100.248	20.057	3.232	0.030
41.500	86.147	80.004	20.010	100.243	20.058	3.156	0.124
41.999	86.155	80.005	20.011	100.235	20.057	3.281	0.145
42.499	86.164	80.004	20.011	100.231	20.056	3.443	0.066
42.999	86.159	80.005	20.010	100.223	20.053	3.843	0.011
43.499	86.250	80.005	20.010	100.221	20.063	2.365	0.045
43.999	86.303	80.003	20.010	100.224	20.068	1.472	0.115
44.499	86.316	80.004	20.010	100.231	20.057	3.306	0.105
44.999	86.325	80.004	20.010	100.239	20.054	3.669	0.044
45.499	86.421	80.005	20.010	100.253	20.057	3.243	0.064
45.999	86.421	80.004	20.009	100.267	20.056	3.388	0.101
46.499	86.429	80.005	20.010	100.271	20.062	2.438	0.052
46.999	86.457	80.004	20.011	100.272	20.059	2.889	0.022
47.499	86.460	80.006	20.010	100.273	20.060	2.744	0.033
47.999	86.591	80.003	20.010	100.262	20.070	1.171	0.082
48.499	86.628	80.004	20.011	100.249	20.061	2.681	0.151
48.999	86.602	80.005	20.011	100.242	20.058	3.133	0.090
49.499	86.726	80.004	20.010	100.241	20.055	3.496	0.055
49.999	86.745	80.005	20.010	100.244	20.060	2.851	0.121
50.499	86.854	80.004	20.010	100.257	20.069	1.393	0.136
50.999	86.883	80.004	20.010	100.275	20.069	1.310	0.133
51.499	86.941	80.004	20.009	100.293	20.054	3.756	0.112
51.999	86.895	80.005	20.011	100.305	20.055	3.532	0.049
52.499	86.962	80.004	20.010	100.310	20.056	3.367	0.016
52.999	87.038	80.003	20.010	100.307	20.052	4.093	0.082
53.499	87.029	80.005	20.010	100.296	20.054	3.756	0.105
53.999	87.141	80.005	20.010	100.286	20.047	4.790	0.086
54.499	87.204	80.003	20.011	100.280	20.050	4.351	0.139
54.999	87.297	80.005	20.010	100.282	20.049	4.549	0.165
55.499	87.379	80.004	20.009	100.290	20.051	4.163	0.166
55.999	87.471	80.005	20.010	100.304	20.049	4.425	0.175
56.499	87.551	80.005	20.010	100.318	20.050	4.415	0.173
56.999	87.636	80.005	20.010	100.329	20.051	4.139	0.168
57.499	87.640	80.003	20.010	100.335	20.046	4.949	0.127
57.999	87.671	80.003	20.010	100.336	20.044	5.263	0.062
58.500	87.752	80.003	20.010	100.331	20.044	5.224	0.074
58.999	87.836	80.005	20.010	100.320	20.042	5.522	0.139
59.499	87.834	80.004	20.010	100.305	20.040	5.955	0.124
59.999	87.850	80.005	20.010	100.289	20.040	5.842	0.048
60.499	87.993	80.003	20.010	100.276	20.040	5.947	0.086
60.999	88.094	80.005	20.010	100.274	20.036	6.547	0.201
61.499	88.178	80.004	20.009	100.278	20.035	6.681	0.215
61.999	88.238	80.003	20.010	100.287	20.035	6.651	0.165
62.499	88.278	80.004	20.010	100.302	20.036	6.595	0.122
62.999	88.342	80.004	20.010	100.325	20.033	7.064	0.102
63.499	88.375	80.005	20.009	100.341	20.031	7.295	0.100
63.999	88.596	80.004	20.010	100.353	20.031	7.262	0.175
64.499	88.692	80.004	20.010	100.362	20.026	8.142	0.286
64.999	88.743	80.004	20.010	100.366	20.027	7.908	0.233
65.499	88.827	80.003	20.010	100.365	20.025	8.182	0.141
65.999	88.893	80.005	20.010	100.367	20.025	8.183	0.142
66.499	88.931	80.003	20.010	100.370	20.027	7.958	0.127
66.999	89.052	80.003	20.009	100.377	20.023	8.568	0.131
67.499	89.105	80.005	20.010	100.383	20.024	8.356	0.167
67.999	89.186	80.003	20.010	100.389	20.020	9.038	0.154
68.499	89.257	80.004	20.010	100.397	20.018	9.285	0.143
68.999	89.361	80.004	20.009	100.407	20.016	9.674	0.163
69.499	89.479	80.003	20.010	100.421	20.018	9.321	0.199
69.999	89.582	80.004	20.010	100.437	20.018	9.401	0.222
70.499	89.716	80.004	20.010	100.455	20.017	9.488	0.229
70.999	89.773	80.004	20.010	100.470	20.020	8.988	0.214
71.499	89.896	80.004	20.010	100.482	20.017	9.494	0.186
71.999	90.015	80.004	20.010	100.489	20.018	9.376	0.211
72.499	90.108	80.003	20.009	100.488	20.016	9.630	0.227
72.999	90.212	80.004	20.009	100.477	20.015	9.742	0.204
73.499	90.383	80.004	20.010	100.460	20.016	9.567	0.236
73.999	90.577	80.004	20.009	100.444	20.017	9.421	0.320
74.499	90.610	80.005	20.010	100.431	20.016	9.664	0.296
74.999	90.743	80.004	20.010	100.422	20.015	9.845	0.196
75.499	90.907	80.006	20.010	100.418	20.015	9.835	0.231
75.999	90.974	80.004	20.010	100.419	20.016	9.640	0.264
76.499	91.110	80.003	20.009	100.420	20.016	9.637	0.217
