index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
900	1.21772e+02	9.00000e+02	3.05921e+00	9.00000e+01
901	1.21629e+02	9.01000e+02	3.05894e+00	9.83333e+01
902	1.21751e+02	9.02000e+02	3.05862e+00	1.06667e+02
903	1.22249e+02	9.03000e+02	3.05830e+00	1.15000e+02
904	1.22909e+02	9.04000e+02	3.05760e+00	1.23333e+02
905	1.23617e+02	9.05000e+02	3.05697e+00	1.31667e+02
906	1.24435e+02	9.06000e+02	3.05629e+00	1.40000e+02
907	1.25282e+02	9.07000e+02	3.05559e+00	1.48333e+02
908	1.26222e+02	9.08000e+02	3.05451e+00	1.56667e+02
909	1.27276e+02	9.09000e+02	3.05358e+00	1.65000e+02
910	1.28401e+02	9.10000e+02	3.05278e+00	1.73333e+02
911	1.29670e+02	9.11000e+02	3.05209e+00	1.81667e+02
912	1.31064e+02	9.12000e+02	3.05154e+00	1.90000e+02
913	1.32549e+02	9.13000e+02	3.05118e+00	1.98333e+02
914	1.34143e+02	9.14000e+02	3.05095e+00	2.06667e+02
915	1.35851e+02	9.15000e+02	3.05079e+00	2.15000e+02
916	1.37652e+02	9.16000e+02	3.05124e+00	2.23333e+02
917	1.39599e+02	9.17000e+02	3.05139e+00	2.31667e+02
918	1.41582e+02	9.18000e+02	3.05144e+00	2.40000e+02
919	1.43681e+02	9.19000e+02	3.05145e+00	2.48333e+02
920	1.45940e+02	9.20000e+02	3.05147e+00	2.56667e+02
921	1.48177e+02	9.21000e+02	3.05141e+00	2.65000e+02
922	1.50673e+02	9.22000e+02	3.05124e+00	2.73333e+02
923	1.53216e+02	9.23000e+02	3.05099e+00	2.81667e+02
924	1.55865e+02	9.24000e+02	3.05055e+00	2.90000e+02
925	1.58661e+02	9.25000e+02	3.05012e+00	2.98333e+02
932	1.71613e+02	9.32000e+02	3.04357e+00	3.00000e+02
933	1.73852e+02	9.33000e+02	3.04187e+00	3.00000e+02
934	1.75927e+02	9.34000e+02	3.03992e+00	3.00000e+02
935	1.78100e+02	9.35000e+02	3.03775e+00	3.00000e+02
936	1.80302e+02	9.36000e+02	3.03488e+00	3.00000e+02
937	1.82480e+02	9.37000e+02	3.03207e+00	3.00000e+02
938	1.84627e+02	9.38000e+02	3.02905e+00	3.00000e+02
939	1.86726e+02	9.39000e+02	3.02585e+00	3.00000e+02
940	1.88765e+02	9.40000e+02	3.02208e+00	3.00000e+02
941	1.90749e+02	9.41000e+02	3.01853e+00	3.00000e+02
942	1.92687e+02	9.42000e+02	3.01491e+00	3.00000e+02
943	1.94583e+02	9.43000e+02	3.01123e+00	3.00000e+02
944	1.96423e+02	9.44000e+02	3.00741e+00	3.00000e+02
945	1.98218e+02	9.45000e+02	3.00367e+00	3.00000e+02
946	1.99959e+02	9.46000e+02	2.99993e+00	3.00000e+02
947	2.01663e+02	9.47000e+02	2.99619e+00	3.00000e+02
948	2.03331e+02	9.48000e+02	2.99249e+00	3.00000e+02
949	2.04949e+02	9.49000e+02	2.98884e+00	3.00000e+02
950	2.06512e+02	9.50000e+02	2.98522e+00	3.00000e+02
951	2.08042e+02	9.51000e+02	2.98165e+00	3.00000e+02
952	2.09542e+02	9.52000e+02	2.97825e+00	3.00000e+02
953	2.10971e+02	9.53000e+02	2.97486e+00	3.00000e+02
954	2.12383e+02	9.54000e+02	2.97154e+00	3.00000e+02
955	2.13745e+02	9.55000e+02	2.96827e+00	3.00000e+02
956	2.15107e+02	9.56000e+02	2.96530e+00	3.00000e+02
957	2.16451e+02	9.57000e+02	2.96235e+00	3.00000e+02
958	2.17725e+02	9.58000e+02	2.95951e+00	3.00000e+02
959	2.18974e+02	9.59000e+02	2.95677e+00	3.00000e+02
960	2.20175e+02	9.60000e+02	2.95449e+00	3.00000e+02
961	2.21363e+02	9.61000e+02	2.95219e+00	3.00000e+02
962	2.22525e+02	9.62000e+02	2.95001e+00	3.00000e+02
963	2.23668e+02	9.63000e+02	2.94794e+00	3.00000e+02
964	2.24765e+02	9.64000e+02	2.94639e+00	3.00000e+02
965	2.25828e+02	9.65000e+02	2.94474e+00	3.00000e+02
966	2.26861e+02	9.66000e+02	2.94317e+00	3.00000e+02
967	2.27887e+02	9.67000e+02	2.94168e+00	3.00000e+02
968	2.28903e+02	9.68000e+02	2.94058e+00	3.00000e+02
969	2.29896e+02	9.69000e+02	2.93939e+00	3.00000e+02
970	2.30871e+02	9.70000e+02	2.93824e+00	3.00000e+02
971	2.31812e+02	9.71000e+02	2.93714e+00	3.00000e+02
972	2.32759e+02	9.72000e+02	2.93627e+00	3.00000e+02
973	2.33731e+02	9.73000e+02	2.93534e+00	3.00000e+02
974	2.34640e+02	9.74000e+02	2.93444e+00	3.00000e+02
975	2.35556e+02	9.75000e+02	2.93356e+00	3.00000e+02
976	2.36465e+02	9.76000e+02	2.93280e+00	3.00000e+02
977	2.37379e+02	9.77000e+02	2.93202e+00	3.00000e+02
978	2.38274e+02	9.78000e+02	2.93125e+00	3.00000e+02
979	2.39136e+02	9.79000e+02	2.93050e+00	3.00000e+02
980	2.40005e+02	9.80000e+02	2.92982e+00	3.00000e+02
981	2.40782e+02	9.81000e+02	2.92913e+00	3.00000e+02
982	2.41565e+02	9.82000e+02	2.92845e+00	3.00000e+02
983	2.42367e+02	9.83000e+02	2.92778e+00	3.00000e+02
984	2.43160e+02	9.84000e+02	2.92717e+00	3.00000e+02
985	2.43996e+02	9.85000e+02	2.92654e+00	3.00000e+02
986	2.44783e+02	9.86000e+02	2.92593e+00	3.00000e+02
987	2.45557e+02	9.87000e+02	2.92532e+00	3.00000e+02
988	2.46302e+02	9.88000e+02	2.92476e+00	3.00000e+02
989	2.47051e+02	9.89000e+02	2.92418e+00	3.00000e+02
990	2.47780e+02	9.90000e+02	2.92361e+00	3.00000e+02
991	2.48491e+02	9.91000e+02	2.92305e+00	3.00000e+02
992	2.49189e+02	9.92000e+02	2.92252e+00	3.00000e+02
993	2.49879e+02	9.93000e+02	2.92198e+00	3.00000e+02
994	2.50561e+02	9.94000e+02	2.92145e+00	3.00000e+02
995	2.51247e+02	9.95000e+02	2.92093e+00	3.00000e+02
996	2.51877e+02	9.96000e+02	2.92044e+00	3.00000e+02
997	2.52534e+02	9.97000e+02	2.91993e+00	3.00000e+02
998	2.53188e+02	9.98000e+02	2.91943e+00	3.00000e+02
999	2.53820e+02	9.99000e+02	2.91894e+00	3.00000e+02
1000	2.54405e+02	1.00000e+03	2.91846e+00	3.00000e+02
1001	2.55000e+02	1.00100e+03	2.91798e+00	3.00000e+02
1002	2.55589e+02	1.00200e+03	2.91751e+00	3.00000e+02
1003	2.56221e+02	1.00300e+03	2.91705e+00	3.00000e+02
1004	2.56831e+02	1.00400e+03	2.91663e+00	3.00000e+02
1005	2.57426e+02	1.00500e+03	2.91620e+00	3.00000e+02
1006	2.58025e+02	1.00600e+03	2.91580e+00	3.00000e+02
