index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
900	1.22187e+02	9.00000e+02	2.95461e+00	9.00000e+01
901	1.22040e+02	9.01000e+02	2.95434e+00	9.83333e+01
902	1.22129e+02	9.02000e+02	2.95406e+00	1.06667e+02
903	1.22498e+02	9.03000e+02	2.95382e+00	1.15000e+02
904	1.23012e+02	9.04000e+02	2.95333e+00	1.23333e+02
905	1.23654e+02	9.05000e+02	2.95298e+00	1.31667e+02
906	1.24416e+02	9.06000e+02	2.95269e+00	1.40000e+02
907	1.25304e+02	9.07000e+02	2.95247e+00	1.48333e+02
908	1.26289e+02	9.08000e+02	2.95228e+00	1.56667e+02
909	1.27398e+02	9.09000e+02	2.95210e+00	1.65000e+02
910	1.28589e+02	9.10000e+02	2.95202e+00	1.73333e+02
911	1.29856e+02	9.11000e+02	2.95205e+00	1.81667e+02
912	1.31227e+02	9.12000e+02	2.95228e+00	1.90000e+02
913	1.32742e+02	9.13000e+02	2.95255e+00	1.98333e+02
914	1.34373e+02	9.14000e+02	2.95287e+00	2.06667e+02
915	1.36080e+02	9.15000e+02	2.95322e+00	2.15000e+02
916	1.37870e+02	9.16000e+02	2.95383e+00	2.23333e+02
917	1.39755e+02	9.17000e+02	2.95422e+00	2.31667e+02
918	1.41737e+02	9.18000e+02	2.95449e+00	2.40000e+02
919	1.43866e+02	9.19000e+02	2.95468e+00	2.48333e+02
920	1.46086e+02	9.20000e+02	2.95469e+00	2.56667e+02
921	1.48410e+02	9.21000e+02	2.95469e+00	2.65000e+02
922	1.50712e+02	9.22000e+02	2.95458e+00	2.73333e+02
923	1.53156e+02	9.23000e+02	2.95439e+00	2.81667e+02
924	1.55811e+02	9.24000e+02	2.95399e+00	2.90000e+02
925	1.58638e+02	9.25000e+02	2.95366e+00	2.98333e+02
926	1.61551e+02	9.26000e+02	2.95334e+00	3.06667e+02
927	1.64652e+02	9.27000e+02	2.95306e+00	3.15000e+02
932	1.70409e+02	9.32000e+02	2.95143e+00	3.20000e+02
933	1.72637e+02	9.33000e+02	2.95129e+00	3.20000e+02
934	1.74709e+02	9.34000e+02	2.95117e+00	3.20000e+02
935	1.76921e+02	9.35000e+02	2.95106e+00	3.20000e+02
936	1.79162e+02	9.36000e+02	2.95133e+00	3.20000e+02
937	1.81377e+02	9.37000e+02	2.95150e+00	3.20000e+02
938	1.83550e+02	9.38000e+02	2.95161e+00	3.20000e+02
939	1.85676e+02	9.39000e+02	2.95167e+00	3.20000e+02
940	1.87753e+02	9.40000e+02	2.95196e+00	3.20000e+02
941	1.89777e+02	9.41000e+02	2.95210e+00	3.20000e+02
942	1.91727e+02	9.42000e+02	2.95213e+00	3.20000e+02
943	1.93638e+02	9.43000e+02	2.95208e+00	3.20000e+02
944	1.95508e+02	9.44000e+02	2.95192e+00	3.20000e+02
945	1.97332e+02	9.45000e+02	2.95173e+00	3.20000e+02
946	1.99112e+02	9.46000e+02	2.95148e+00	3.20000e+02
947	2.00833e+02	9.47000e+02	2.95119e+00	3.20000e+02
948	2.02543e+02	9.48000e+02	2.95070e+00	3.20000e+02
949	2.04205e+02	9.49000e+02	2.95030e+00	3.20000e+02
950	2.05838e+02	9.50000e+02	2.94992e+00	3.20000e+02
951	2.07422e+02	9.51000e+02	2.94953e+00	3.20000e+02
952	2.08976e+02	9.52000e+02	2.94913e+00	3.20000e+02
953	2.10499e+02	9.53000e+02	2.94875e+00	3.20000e+02
954	2.12002e+02	9.54000e+02	2.94837e+00	3.20000e+02
955	2.13474e+02	9.55000e+02	2.94801e+00	3.20000e+02
956	2.14926e+02	9.56000e+02	2.94765e+00	3.20000e+02
957	2.16360e+02	9.57000e+02	2.94727e+00	3.20000e+02
958	2.17758e+02	9.58000e+02	2.94690e+00	3.20000e+02
959	2.19144e+02	9.59000e+02	2.94653e+00	3.20000e+02
960	2.20493e+02	9.60000e+02	2.94612e+00	3.20000e+02
961	2.21833e+02	9.61000e+02	2.94571e+00	3.20000e+02
962	2.23161e+02	9.62000e+02	2.94530e+00	3.20000e+02
963	2.24461e+02	9.63000e+02	2.94489e+00	3.20000e+02
964	2.25750e+02	9.64000e+02	2.94443e+00	3.20000e+02
965	2.27029e+02	9.65000e+02	2.94399e+00	3.20000e+02
966	2.28271e+02	9.66000e+02	2.94354e+00	3.20000e+02
967	2.29505e+02	9.67000e+02	2.94309e+00	3.20000e+02
968	2.30722e+02	9.68000e+02	2.94260e+00	3.20000e+02
969	2.31932e+02	9.69000e+02	2.94211e+00	3.20000e+02
970	2.33120e+02	9.70000e+02	2.94162e+00	3.20000e+02
971	2.34277e+02	9.71000e+02	2.94112e+00	3.20000e+02
972	2.35456e+02	9.72000e+02	2.94057e+00	3.20000e+02
973	2.36591e+02	9.73000e+02	2.94004e+00	3.20000e+02
974	2.37723e+02	9.74000e+02	2.93952e+00	3.20000e+02
975	2.38846e+02	9.75000e+02	2.93899e+00	3.20000e+02
976	2.39937e+02	9.76000e+02	2.93844e+00	3.20000e+02
977	2.41023e+02	9.77000e+02	2.93791e+00	3.20000e+02
978	2.42090e+02	9.78000e+02	2.93737e+00	3.20000e+02
979	2.43165e+02	9.79000e+02	2.93683e+00	3.20000e+02
980	2.44240e+02	9.80000e+02	2.93629e+00	3.20000e+02
981	2.45269e+02	9.81000e+02	2.93574e+00	3.20000e+02
982	2.46296e+02	9.82000e+02	2.93519e+00	3.20000e+02
983	2.47305e+02	9.83000e+02	2.93464e+00	3.20000e+02
984	2.48311e+02	9.84000e+02	2.93406e+00	3.20000e+02
985	2.49285e+02	9.85000e+02	2.93349e+00	3.20000e+02
