index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
1083	1.31341e+02	1.08300e+03	1.98520e+00	1.30250e+02
1084	1.31431e+02	1.08400e+03	1.98517e+00	1.30333e+02
1085	1.31517e+02	1.08500e+03	1.98515e+00	1.30417e+02
1086	1.31596e+02	1.08600e+03	1.98515e+00	1.30500e+02
1087	1.31682e+02	1.08700e+03	1.98514e+00	1.30583e+02
1088	1.31758e+02	1.08800e+03	1.98515e+00	1.30667e+02
1089	1.31845e+02	1.08900e+03	1.98515e+00	1.30750e+02
1090	1.31935e+02	1.09000e+03	1.98515e+00	1.30833e+02
1091	1.32010e+02	1.09100e+03	1.98515e+00	1.30917e+02
1092	1.32105e+02	1.09200e+03	1.98514e+00	1.31000e+02
1093	1.32185e+02	1.09300e+03	1.98513e+00	1.31083e+02
1094	1.32273e+02	1.09400e+03	1.98511e+00	1.31167e+02
1095	1.32347e+02	1.09500e+03	1.98510e+00	1.31250e+02
1096	1.32438e+02	1.09600e+03	1.98507e+00	1.31333e+02
1097	1.32526e+02	1.09700e+03	1.98505e+00	1.31417e+02
1098	1.32606e+02	1.09800e+03	1.98503e+00	1.31500e+02
1099	1.32687e+02	1.09900e+03	1.98502e+00	1.31583e+02
1100	1.32766e+02	1.10000e+03	1.98501e+00	1.31667e+02
1101	1.32862e+02	1.10100e+03	1.98500e+00	1.31750e+02
1102	1.32949e+02	1.10200e+03	1.98499e+00	1.31833e+02
1103	1.33037e+02	1.10300e+03	1.98499e+00	1.31917e+02
1104	1.33122e+02	1.10400e+03	1.98499e+00	1.32000e+02
1105	1.33200e+02	1.10500e+03	1.98499e+00	1.32083e+02
1106	1.33282e+02	1.10600e+03	1.98499e+00	1.32167e+02
1107	1.33367e+02	1.10700e+03	1.98499e+00	1.32250e+02
1108	1.33460e+02	1.10800e+03	1.98499e+00	1.32333e+02
1109	1.33528e+02	1.10900e+03	1.98499e+00	1.32417e+02
1110	1.33619e+02	1.11000e+03	1.98498e+00	1.32500e+02
1111	1.33717e+02	1.11100e+03	1.98497e+00	1.32583e+02
1112	1.33783e+02	1.11200e+03	1.98496e+00	1.32667e+02
1113	1.33878e+02	1.11300e+03	1.98495e+00	1.32750e+02
1114	1.33943e+02	1.11400e+03	1.98493e+00	1.32833e+02
1115	1.34040e+02	1.11500e+03	1.98492e+00	1.32917e+02
1116	1.34132e+02	1.11600e+03	1.98491e+00	1.33000e+02
1117	1.34227e+02	1.11700e+03	1.98490e+00	1.33083e+02
1118	1.34301e+02	1.11800e+03	1.98490e+00	1.33167e+02
1119	1.34390e+02	1.11900e+03	1.98491e+00	1.33250e+02
1120	1.34469e+02	1.12000e+03	1.98493e+00	1.33333e+02
1121	1.34548e+02	1.12100e+03	1.98495e+00	1.33417e+02
1122	1.34632e+02	1.12200e+03	1.98497e+00	1.33500e+02
1123	1.34710e+02	1.12300e+03	1.98498e+00	1.33583e+02
1124	1.34807e+02	1.12400e+03	1.98499e+00	1.33667e+02
1125	1.34885e+02	1.12500e+03	1.98500e+00	1.33750e+02
1126	1.34968e+02	1.12600e+03	1.98500e+00	1.33833e+02
1127	1.35047e+02	1.12700e+03	1.98500e+00	1.33917e+02
1128	1.35145e+02	1.12800e+03	1.98498e+00	1.34000e+02
1129	1.35223e+02	1.12900e+03	1.98497e+00	1.34083e+02
1130	1.35305e+02	1.13000e+03	1.98495e+00	1.34167e+02
1131	1.35389e+02	1.13100e+03	1.98494e+00	1.34250e+02
1132	1.35475e+02	1.13200e+03	1.98493e+00	1.34333e+02
1133	1.35569e+02	1.13300e+03	1.98491e+00	1.34417e+02
1134	1.35652e+02	1.13400e+03	1.98491e+00	1.34500e+02
1135	1.35741e+02	1.13500e+03	1.98490e+00	1.34583e+02
1136	1.35807e+02	1.13600e+03	1.98490e+00	1.34667e+02
1137	1.35903e+02	1.13700e+03	1.98491e+00	1.34750e+02
1138	1.35985e+02	1.13800e+03	1.98491e+00	1.34833e+02
1139	1.36060e+02	1.13900e+03	1.98492e+00	1.34917e+02
1140	1.36152e+02	1.14000e+03	1.98492e+00	1.35000e+02
1141	1.36231e+02	1.14100e+03	1.98492e+00	1.35083e+02
1142	1.36313e+02	1.14200e+03	1.98492e+00	1.35167e+02
1143	1.36391e+02	1.14300e+03	1.98491e+00	1.35250e+02
1144	1.36480e+02	1.14400e+03	1.98490e+00	1.35333e+02
1145	1.36560e+02	1.14500e+03	1.98489e+00	1.35417e+02
1146	1.36648e+02	1.14600e+03	1.98489e+00	1.35500e+02
1147	1.36736e+02	1.14700e+03	1.98489e+00	1.35583e+02
1148	1.36814e+02	1.14800e+03	1.98490e+00	1.35667e+02
1149	1.36905e+02	1.14900e+03	1.98490e+00	1.35750e+02
1150	1.36989e+02	1.15000e+03	1.98490e+00	1.35833e+02
1151	1.37069e+02	1.15100e+03	1.98490e+00	1.35917e+02
1152	1.37145e+02	1.15200e+03	1.98489e+00	1.36000e+02
1153	1.37250e+02	1.15300e+03	1.98488e+00	1.36083e+02
1154	1.37313e+02	1.15400e+03	1.98487e+00	1.36167e+02
1155	1.37405e+02	1.15500e+03	1.98485e+00	1.36250e+02
1156	1.37490e+02	1.15600e+03	1.98484e+00	1.36333e+02
1157	1.37572e+02	1.15700e+03	1.98483e+00	1.36417e+02
1158	1.37664e+02	1.15800e+03	1.98483e+00	1.36500e+02
1159	1.37741e+02	1.15900e+03	1.98482e+00	1.36583e+02
1160	1.37832e+02	1.16000e+03	1.98483e+00	1.36667e+02
1161	1.37916e+02	1.16100e+03	1.98483e+00	1.36750e+02
1162	1.38002e+02	1.16200e+03	1.98483e+00	1.36833e+02
1163	1.38087e+02	1.16300e+03	1.98482e+00	1.36917e+02
1164	1.38176e+02	1.16400e+03	1.98481e+00	1.37000e+02
1165	1.38250e+02	1.16500e+03	1.98480e+00	1.37083e+02
1166	1.38338e+02	1.16600e+03	1.98480e+00	1.37167e+02
1167	1.38421e+02	1.16700e+03	1.98480e+00	1.37250e+02
1168	1.38504e+02	1.16800e+03	1.98480e+00	1.37333e+02
1169	1.38594e+02	1.16900e+03	1.98481e+00	1.37417e+02
1170	1.38672e+02	1.17000e+03	1.98482e+00	1.37500e+02
1171	1.38754e+02	1.17100e+03	1.98483e+00	1.37583e+02
1172	1.38843e+02	1.17200e+03	1.98485e+00	1.37667e+02
1173	1.38919e+02	1.17300e+03	1.98487e+00	1.37750e+02
1174	1.39010e+02	1.17400e+03	1.98488e+00	1.37833e+02
1175	1.39097e+02	1.17500e+03	1.98490e+00	1.37917e+02
1176	1.39170e+02	1.17600e+03	1.98492e+00	1.38000e+02
1177	1.39274e+02	1.17700e+03	1.98493e+00	1.38083e+02
1178	1.39356e+02	1.17800e+03	1.98493e+00	1.38167e+02
1179	1.39436e+02	1.17900e+03	1.98494e+00	1.38250e+02
1180	1.39518e+02	1.18000e+03	1.98494e+00	1.38333e+02
1181	1.39593e+02	1.18100e+03	1.98493e+00	1.38417e+02
1182	1.39683e+02	1.18200e+03	1.98493e+00	1.38500e+02
1183	1.39765e+02	1.18300e+03	1.98492e+00	1.38583e+02
1184	1.39860e+02	1.18400e+03	1.98490e+00	1.38667e+02
1185	1.39939e+02	1.18500e+03	1.98487e+00	1.38750e+02
1186	1.40021e+02	1.18600e+03	1.98485e+00	1.38833e+02
1187	1.40105e+02	1.18700e+03	1.98482e+00	1.38917e+02
1188	1.40188e+02	1.18800e+03	1.98478e+00	1.39000e+02
1189	1.40283e+02	1.18900e+03	1.98475e+00	1.39083e+02
1190	1.40363e+02	1.19000e+03	1.98472e+00	1.39167e+02
1191	1.40456e+02	1.19100e+03	1.98469e+00	1.39250e+02
1192	1.40531e+02	1.19200e+03	1.98468e+00	1.39333e+02
1193	1.40626e+02	1.19300e+03	1.98467e+00	1.39417e+02
1194	1.40693e+02	1.19400e+03	1.98466e+00	1.39500e+02
1195	1.40782e+02	1.19500e+03	1.98464e+00	1.39583e+02
1196	1.40868e+02	1.19600e+03	1.98465e+00	1.39667e+02
1197	1.40953e+02	1.19700e+03	1.98465e+00	1.39750e+02
1198	1.41026e+02	1.19800e+03	1.98465e+00	1.39833e+02
1199	1.41115e+02	1.19900e+03	1.98465e+00	1.39917e+02
1200	1.41207e+02	1.20000e+03	1.98466e+00	1.40000e+02
1201	1.41297e+02	1.20100e+03	1.98467e+00	1.40083e+02
1202	1.41380e+02	1.20200e+03	1.98467e+00	1.40167e+02
1203	1.41455e+02	1.20300e+03	1.98468e+00	1.40250e+02
1204	1.41545e+02	1.20400e+03	1.98470e+00	1.40333e+02
1205	1.41629e+02	1.20500e+03	1.98471e+00	1.40417e+02
1206	1.41714e+02	1.20600e+03	1.98472e+00	1.40500e+02
1207	1.41795e+02	1.20700e+03	1.98473e+00	1.40583e+02
1208	1.41877e+02	1.20800e+03	1.98474e+00	1.40667e+02
