index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
643	1.30950e+02	6.43000e+02	1.19182e+01	1.33000e+02
644	1.31987e+02	6.44000e+02	1.19181e+01	1.34000e+02
645	1.33006e+02	6.45000e+02	1.19180e+01	1.35000e+02
646	1.34039e+02	6.46000e+02	1.19178e+01	1.36000e+02
647	1.35048e+02	6.47000e+02	1.19177e+01	1.37000e+02
648	1.36082e+02	6.48000e+02	1.19175e+01	1.38000e+02
649	1.37116e+02	6.49000e+02	1.19174e+01	1.39000e+02
650	1.38134e+02	6.50000e+02	1.19172e+01	1.40000e+02
651	1.39141e+02	6.51000e+02	1.19170e+01	1.41000e+02
652	1.40166e+02	6.52000e+02	1.19168e+01	1.42000e+02
653	1.41196e+02	6.53000e+02	1.19165e+01	1.43000e+02
654	1.42207e+02	6.54000e+02	1.19163e+01	1.44000e+02
655	1.43245e+02	6.55000e+02	1.19160e+01	1.45000e+02
656	1.44254e+02	6.56000e+02	1.19156e+01	1.46000e+02
657	1.45283e+02	6.57000e+02	1.19152e+01	1.47000e+02
658	1.46291e+02	6.58000e+02	1.19147e+01	1.48000e+02
659	1.47324e+02	6.59000e+02	1.19143e+01	1.49000e+02
660	1.48335e+02	6.60000e+02	1.19137e+01	1.50000e+02
661	1.49360e+02	6.61000e+02	1.19131e+01	1.51000e+02
662	1.50373e+02	6.62000e+02	1.19125e+01	1.52000e+02
663	1.51399e+02	6.63000e+02	1.19118e+01	1.53000e+02
664	1.52430e+02	6.64000e+02	1.19110e+01	1.54000e+02
665	1.53450e+02	6.65000e+02	1.19102e+01	1.55000e+02
666	1.54480e+02	6.66000e+02	1.19094e+01	1.56000e+02
667	1.55485e+02	6.67000e+02	1.19086e+01	1.57000e+02
668	1.56517e+02	6.68000e+02	1.19075e+01	1.58000e+02
669	1.57522e+02	6.69000e+02	1.19065e+01	1.59000e+02
670	1.58538e+02	6.70000e+02	1.19054e+01	1.60000e+02
671	1.59560e+02	6.71000e+02	1.19043e+01	1.61000e+02
