Index	Ts	t	Weight	Tr
[#]	[°C]	[s]	[mg]	[°C]
681	1.30112e+02	6.81000e+02	2.99863	130.5
682	1.30626e+02	6.82000e+02	2.99862	131.0
683	1.31131e+02	6.83000e+02	2.9986	131.5
684	1.31634e+02	6.84000e+02	2.9986	132.0
685	1.32151e+02	6.85000e+02	2.9986	132.5
686	1.32685e+02	6.86000e+02	2.99859	133.0
687	1.33203e+02	6.87000e+02	2.99857	133.5
688	1.33700e+02	6.88000e+02	2.99856	134.0
689	1.34195e+02	6.89000e+02	2.99853	134.5
690	1.34707e+02	6.90000e+02	2.99851	135.0
691	1.35206e+02	6.91000e+02	2.99848	135.5
692	1.35716e+02	6.92000e+02	2.99843	136.0
693	1.36225e+02	6.93000e+02	2.99839	136.5
694	1.36730e+02	6.94000e+02	2.99833	137.0
695	1.37226e+02	6.95000e+02	2.99828	137.5
696	1.37735e+02	6.96000e+02	2.9982	138.0
697	1.38250e+02	6.97000e+02	2.99812	138.5
698	1.38748e+02	6.98000e+02	2.99804	139.0
699	1.39253e+02	6.99000e+02	2.99796	139.5
700	1.39756e+02	7.00000e+02	2.99785	140.0
701	1.40264e+02	7.01000e+02	2.99775	140.5
702	1.40766e+02	7.02000e+02	2.99766	141.0
703	1.41260e+02	7.03000e+02	2.99756	141.5
704	1.41767e+02	7.04000e+02	2.99746	142.0
705	1.42274e+02	7.05000e+02	2.99736	142.5
706	1.42777e+02	7.06000e+02	2.99726	143.0
707	1.43278e+02	7.07000e+02	2.99716	143.5
708	1.43797e+02	7.08000e+02	2.99705	144.0
709	1.44290e+02	7.09000e+02	2.99693	144.5
710	1.44802e+02	7.10000e+02	2.99681	145.0
711	1.45306e+02	7.11000e+02	2.99668	145.5
712	1.45798e+02	7.12000e+02	2.99653	146.0
713	1.46311e+02	7.13000e+02	2.99638	146.5
714	1.46823e+02	7.14000e+02	2.99623	147.0
715	1.47324e+02	7.15000e+02	2.99608	147.5
716	1.47828e+02	7.16000e+02	2.9959	148.0
717	1.48327e+02	7.17000e+02	2.99573	148.5
718	1.48829e+02	7.18000e+02	2.99556	149.0
719	1.49345e+02	7.19000e+02	2.99538	149.5
720	1.49846e+02	7.20000e+02	2.9952	150.0
721	1.50344e+02	7.21000e+02	2.99503	150.5
722	1.50847e+02	7.22000e+02	2.99486	151.0
723	1.51348e+02	7.23000e+02	2.99469	151.5
724	1.51848e+02	7.24000e+02	2.99452	152.0
725	1.52357e+02	7.25000e+02	2.99434	152.5
726	1.52868e+02	7.26000e+02	2.99416	153.0
727	1.53365e+02	7.27000e+02	2.99397	153.5
728	1.53867e+02	7.28000e+02	2.99375	154.0
729	1.54375e+02	7.29000e+02	2.99354	154.5
730	1.54884e+02	7.30000e+02	2.99332	155.0
731	1.55376e+02	7.31000e+02	2.99309	155.5
732	1.55869e+02	7.32000e+02	2.99285	156.0
733	1.56375e+02	7.33000e+02	2.99262	156.5
734	1.56882e+02	7.34000e+02	2.99239	157.0
735	1.57384e+02	7.35000e+02	2.99217	157.5
736	1.57883e+02	7.36000e+02	2.99194	158.0
737	1.58385e+02	7.37000e+02	2.99171	158.5
738	1.58894e+02	7.38000e+02	2.99148	159.0
739	1.59397e+02	7.39000e+02	2.99125	159.5
740	1.59899e+02	7.40000e+02	2.99102	160.0
741	1.60418e+02	7.41000e+02	2.99078	160.5
742	1.60916e+02	7.42000e+02	2.99055	161.0
743	1.61421e+02	7.43000e+02	2.9903	161.5
744	1.61925e+02	7.44000e+02	2.99004	162.0
745	1.62427e+02	7.45000e+02	2.98978	162.5
746	1.62931e+02	7.46000e+02	2.98951	163.0
747	1.63443e+02	7.47000e+02	2.98924	163.5
748	1.63936e+02	7.48000e+02	2.98893	164.0
749	1.64433e+02	7.49000e+02	2.98863	164.5
750	1.64942e+02	7.50000e+02	2.98832	165.0
751	1.65455e+02	7.51000e+02	2.988	165.5
752	1.65962e+02	7.52000e+02	2.98765	166.0
753	1.66461e+02	7.53000e+02	2.9873	166.5
754	1.66965e+02	7.54000e+02	2.98694	167.0
755	1.67477e+02	7.55000e+02	2.98658	167.5
756	1.67985e+02	7.56000e+02	2.98617	168.0
757	1.68495e+02	7.57000e+02	2.98578	168.5
758	1.68996e+02	7.58000e+02	2.98538	169.0
759	1.69507e+02	7.59000e+02	2.98498	169.5
760	1.70017e+02	7.60000e+02	2.98455	170.0
761	1.70526e+02	7.61000e+02	2.98411	170.5
762	1.71023e+02	7.62000e+02	2.98366	171.0
763	1.71542e+02	7.63000e+02	2.9832	171.5
764	1.72046e+02	7.64000e+02	2.98269	172.0
765	1.72551e+02	7.65000e+02	2.98217	172.5
766	1.73056e+02	7.66000e+02	2.98164	173.0
767	1.73571e+02	7.67000e+02	2.9811	173.5
768	1.74070e+02	7.68000e+02	2.98048	174.0
769	1.74584e+02	7.69000e+02	2.97989	174.5
770	1.75088e+02	7.70000e+02	2.97928	175.0
771	1.75603e+02	7.71000e+02	2.97866	175.5
772	1.76117e+02	7.72000e+02	2.97798	176.0
773	1.76612e+02	7.73000e+02	2.9773	176.5
774	1.77121e+02	7.74000e+02	2.9766	177.0
775	1.77629e+02	7.75000e+02	2.97588	177.5
776	1.78139e+02	7.76000e+02	2.97505	178.0
777	1.78651e+02	7.77000e+02	2.97423	178.5
778	1.79155e+02	7.78000e+02	2.97337	179.0
779	1.79667e+02	7.79000e+02	2.97249	179.5
780	1.80175e+02	7.80000e+02	2.97146	180.0
781	1.80690e+02	7.81000e+02	2.97046	180.5
782	1.81188e+02	7.82000e+02	2.96944	181.0
783	1.81692e+02	7.83000e+02	2.96839	181.5
784	1.82208e+02	7.84000e+02	2.96722	182.0
785	1.82717e+02	7.85000e+02	2.96607	182.5
786	1.83224e+02	7.86000e+02	2.9649	183.0
787	1.83731e+02	7.87000e+02	2.96371	183.5
788	1.84233e+02	7.88000e+02	2.96242	184.0
789	1.84744e+02	7.89000e+02	2.96115	184.5
790	1.85253e+02	7.90000e+02	2.95985	185.0
791	1.85755e+02	7.91000e+02	2.95854	185.5
792	1.86272e+02	7.92000e+02	2.95713	186.0
793	1.86773e+02	7.93000e+02	2.95574	186.5
794	1.87290e+02	7.94000e+02	2.95433	187.0
795	1.87794e+02	7.95000e+02	2.9529	187.5
796	1.88301e+02	7.96000e+02	2.95138	188.0
797	1.88819e+02	7.97000e+02	2.94988	188.5
798	1.89325e+02	7.98000e+02	2.94836	189.0
799	1.89832e+02	7.99000e+02	2.94682	189.5
800	1.90344e+02	8.00000e+02	2.9452	190.0
801	1.90846e+02	8.01000e+02	2.94359	190.5
802	1.91363e+02	8.02000e+02	2.94195	191.0
803	1.91866e+02	8.03000e+02	2.9403	191.5
804	1.92378e+02	8.04000e+02	2.93857	192.0
805	1.92893e+02	8.05000e+02	2.93686	192.5
806	1.93397e+02	8.06000e+02	2.93514	193.0
807	1.93910e+02	8.07000e+02	2.93342	193.5
808	1.94413e+02	8.08000e+02	2.93166	194.0
809	1.94932e+02	8.09000e+02	2.92992	194.5
810	1.95440e+02	8.10000e+02	2.92818	195.0
811	1.95952e+02	8.11000e+02	2.92644	195.5
812	1.96453e+02	8.12000e+02	2.92469	196.0
813	1.96974e+02	8.13000e+02	2.92295	196.5
814	1.97477e+02	8.14000e+02	2.92122	197.0
815	1.97980e+02	8.15000e+02	2.91949	197.5
816	1.98491e+02	8.16000e+02	2.91778	198.0
817	1.98996e+02	8.17000e+02	2.91608	198.5
818	1.99503e+02	8.18000e+02	2.91441	199.0
819	2.00021e+02	8.19000e+02	2.91275	199.5
820	2.00530e+02	8.20000e+02	2.91118	200.0
821	2.01040e+02	8.21000e+02	2.90961	200.5
822	2.01549e+02	8.22000e+02	2.90808	201.0
823	2.02058e+02	8.23000e+02	2.90657	201.5
824	2.02560e+02	8.24000e+02	2.90519	202.0
825	2.03072e+02	8.25000e+02	2.90379	202.5
826	2.03577e+02	8.26000e+02	2.90241	203.0
827	2.04109e+02	8.27000e+02	2.90106	203.5
828	2.04613e+02	8.28000e+02	2.89981	204.0
829	2.05122e+02	8.29000e+02	2.89856	204.5
830	2.05630e+02	8.30000e+02	2.89732	205.0
831	2.06137e+02	8.31000e+02	2.89611	205.5
832	2.06636e+02	8.32000e+02	2.895	206.0
833	2.07153e+02	8.33000e+02	2.89389	206.5
834	2.07661e+02	8.34000e+02	2.89281	207.0
835	2.08172e+02	8.35000e+02	2.89176	207.5
836	2.08682e+02	8.36000e+02	2.89085	208.0
837	2.09201e+02	8.37000e+02	2.88992	208.5
838	2.09713e+02	8.38000e+02	2.88902	209.0
839	2.10231e+02	8.39000e+02	2.88816	209.5
840	2.10740e+02	8.40000e+02	2.88744	210.0
841	2.11255e+02	8.41000e+02	2.88669	210.5
842	2.11774e+02	8.42000e+02	2.88596	211.0
843	2.12273e+02	8.43000e+02	2.88526	211.5
844	2.12782e+02	8.44000e+02	2.88466	212.0
845	2.13296e+02	8.45000e+02	2.88403	212.5
846	2.13809e+02	8.46000e+02	2.88343	213.0
847	2.14320e+02	8.47000e+02	2.88284	213.5
848	2.14829e+02	8.48000e+02	2.88234	214.0
849	2.15335e+02	8.49000e+02	2.88183	214.5
850	2.15824e+02	8.50000e+02	2.88133	215.0
851	2.16354e+02	8.51000e+02	2.88084	215.5
852	2.16865e+02	8.52000e+02	2.88042	216.0
853	2.17375e+02	8.53000e+02	2.87997	216.5
854	2.17882e+02	8.54000e+02	2.87953	217.0
855	2.18384e+02	8.55000e+02	2.8791	217.5
856	2.18889e+02	8.56000e+02	2.8787	218.0
857	2.19410e+02	8.57000e+02	2.8783	218.5
858	2.19923e+02	8.58000e+02	2.87791	219.0
859	2.20430e+02	8.59000e+02	2.87753	219.5
860	2.20920e+02	8.60000e+02	2.87717	220.0
861	2.21433e+02	8.61000e+02	2.87681	220.5
862	2.21937e+02	8.62000e+02	2.87645	221.0
863	2.22449e+02	8.63000e+02	2.87609	221.5
864	2.22951e+02	8.64000e+02	2.87574	222.0
865	2.23457e+02	8.65000e+02	2.87538	222.5
866	2.23965e+02	8.66000e+02	2.87503	223.0
867	2.24474e+02	8.67000e+02	2.87467	223.5
868	2.24973e+02	8.68000e+02	2.8743	224.0
869	2.25469e+02	8.69000e+02	2.87394	224.5
870	2.25982e+02	8.70000e+02	2.87357	225.0
871	2.26487e+02	8.71000e+02	2.87321	225.5
872	2.26982e+02	8.72000e+02	2.87285	226.0
873	2.27478e+02	8.73000e+02	2.87249	226.5
874	2.27984e+02	8.74000e+02	2.87214	227.0
875	2.28486e+02	8.75000e+02	2.87179	227.5
876	2.28973e+02	8.76000e+02	2.87145	228.0
877	2.29472e+02	8.77000e+02	2.87111	228.5
878	2.29966e+02	8.78000e+02	2.87078	229.0
879	2.30455e+02	8.79000e+02	2.87044	229.5
880	2.30956e+02	8.80000e+02	2.87011	230.0
881	2.31454e+02	8.81000e+02	2.86977	230.5
882	2.31948e+02	8.82000e+02	2.86943	231.0
883	2.32450e+02	8.83000e+02	2.86909	231.5
884	2.32953e+02	8.84000e+02	2.86873	232.0
885	2.33445e+02	8.85000e+02	2.86838	232.5
886	2.33954e+02	8.86000e+02	2.86802	233.0
887	2.34459e+02	8.87000e+02	2.86767	233.5
888	2.34963e+02	8.88000e+02	2.86731	234.0
889	2.35470e+02	8.89000e+02	2.86697	234.5
890	2.35980e+02	8.90000e+02	2.86663	235.0
891	2.36474e+02	8.91000e+02	2.86629	235.5
892	2.36986e+02	8.92000e+02	2.86597	236.0
893	2.37483e+02	8.93000e+02	2.86564	236.5
894	2.37987e+02	8.94000e+02	2.86532	237.0
895	2.38483e+02	8.95000e+02	2.86498	237.5
896	2.39004e+02	8.96000e+02	2.86464	238.0
897	2.39505e+02	8.97000e+02	2.8643	238.5
898	2.40013e+02	8.98000e+02	2.86395	239.0
899	2.40514e+02	8.99000e+02	2.86359	239.5
900	2.41015e+02	9.00000e+02	2.86321	240.0
901	2.41530e+02	9.01000e+02	2.86285	240.5
902	2.42030e+02	9.02000e+02	2.86249	241.0
903	2.42535e+02	9.03000e+02	2.86214	241.5
904	2.43037e+02	9.04000e+02	2.86179	242.0
905	2.43542e+02	9.05000e+02	2.86146	242.5
906	2.44029e+02	9.06000e+02	2.86113	243.0
907	2.44537e+02	9.07000e+02	2.8608	243.5
908	2.45047e+02	9.08000e+02	2.86051	244.0
909	2.45551e+02	9.09000e+02	2.86021	244.5
910	2.46048e+02	9.10000e+02	2.85992	245.0
911	2.46557e+02	9.11000e+02	2.85963	245.5
912	2.47063e+02	9.12000e+02	2.85935	246.0
913	2.47564e+02	9.13000e+02	2.85907	246.5
914	2.48071e+02	9.14000e+02	2.85879	247.0
915	2.48578e+02	9.15000e+02	2.85851	247.5
916	2.49064e+02	9.16000e+02	2.85823	248.0
917	2.49581e+02	9.17000e+02	2.85796	248.5
918	2.50095e+02	9.18000e+02	2.85769	249.0
919	2.50596e+02	9.19000e+02	2.85742	249.5
920	2.51137e+02	9.20000e+02	2.85717	250.0
921	2.51638e+02	9.21000e+02	2.85692	250.5
922	2.52134e+02	9.22000e+02	2.85666	251.0
923	2.52643e+02	9.23000e+02	2.85641	251.5
924	2.53168e+02	9.24000e+02	2.85617	252.0
925	2.53725e+02	9.25000e+02	2.85593	252.5
926	2.54268e+02	9.26000e+02	2.85569	253.0
927	2.54771e+02	9.27000e+02	2.85544	253.5
928	2.55269e+02	9.28000e+02	2.85521	254.0
929	2.55766e+02	9.29000e+02	2.85496	254.5
930	2.56273e+02	9.30000e+02	2.85472	255.0
931	2.56777e+02	9.31000e+02	2.85448	255.5
932	2.57307e+02	9.32000e+02	2.85422	256.0
933	2.57816e+02	9.33000e+02	2.85397	256.5
934	2.58360e+02	9.34000e+02	2.85371	257.0
935	2.58915e+02	9.35000e+02	2.85346	257.5
936	2.59448e+02	9.36000e+02	2.8532	258.0
937	2.59966e+02	9.37000e+02	2.85296	258.5
938	2.60478e+02	9.38000e+02	2.85272	259.0
939	2.60997e+02	9.39000e+02	2.85249	259.5
940	2.61505e+02	9.40000e+02	2.85228	260.0
941	2.62022e+02	9.41000e+02	2.85207	260.5
942	2.62558e+02	9.42000e+02	2.85186	261.0
943	2.63085e+02	9.43000e+02	2.85165	261.5
944	2.63621e+02	9.44000e+02	2.85146	262.0
945	2.64137e+02	9.45000e+02	2.85125	262.5
946	2.64681e+02	9.46000e+02	2.85104	263.0
947	2.65209e+02	9.47000e+02	2.85082	263.5
948	2.65717e+02	9.48000e+02	2.85059	264.0
949	2.66218e+02	9.49000e+02	2.85036	264.5
950	2.66717e+02	9.50000e+02	2.85011	265.0
951	2.67221e+02	9.51000e+02	2.84986	265.5
952	2.67715e+02	9.52000e+02	2.84958	266.0
