Index	Ts	t	Weight	Tr
[#]	[°C]	[s]	[mg]	[°C]
683	1.30484e+02	6.83000e+02	3.04453	131.5
684	1.30996e+02	6.84000e+02	3.04448	132.0
685	1.31489e+02	6.85000e+02	3.04445	132.5
686	1.32002e+02	6.86000e+02	3.04442	133.0
687	1.32492e+02	6.87000e+02	3.04439	133.5
688	1.32993e+02	6.88000e+02	3.04439	134.0
689	1.33478e+02	6.89000e+02	3.04439	134.5
690	1.33990e+02	6.90000e+02	3.0444	135.0
691	1.34485e+02	6.91000e+02	3.04442	135.5
692	1.34984e+02	6.92000e+02	3.04445	136.0
693	1.35486e+02	6.93000e+02	3.04447	136.5
694	1.35986e+02	6.94000e+02	3.04449	137.0
695	1.36480e+02	6.95000e+02	3.0445	137.5
696	1.36979e+02	6.96000e+02	3.0445	138.0
697	1.37480e+02	6.97000e+02	3.0445	138.5
698	1.37982e+02	6.98000e+02	3.04449	139.0
699	1.38476e+02	6.99000e+02	3.04448	139.5
700	1.38984e+02	7.00000e+02	3.04445	140.0
701	1.39479e+02	7.01000e+02	3.04443	140.5
702	1.39980e+02	7.02000e+02	3.0444	141.0
703	1.40482e+02	7.03000e+02	3.04437	141.5
704	1.40979e+02	7.04000e+02	3.04433	142.0
705	1.41485e+02	7.05000e+02	3.04429	142.5
706	1.41989e+02	7.06000e+02	3.04426	143.0
707	1.42488e+02	7.07000e+02	3.04424	143.5
708	1.42992e+02	7.08000e+02	3.04422	144.0
709	1.43495e+02	7.09000e+02	3.0442	144.5
710	1.43994e+02	7.10000e+02	3.04419	145.0
711	1.44493e+02	7.11000e+02	3.04418	145.5
712	1.44985e+02	7.12000e+02	3.04419	146.0
713	1.45493e+02	7.13000e+02	3.04418	146.5
714	1.45986e+02	7.14000e+02	3.04417	147.0
715	1.46495e+02	7.15000e+02	3.04415	147.5
716	1.46991e+02	7.16000e+02	3.04413	148.0
717	1.47496e+02	7.17000e+02	3.04411	148.5
718	1.48004e+02	7.18000e+02	3.04408	149.0
719	1.48501e+02	7.19000e+02	3.04405	149.5
720	1.49002e+02	7.20000e+02	3.04401	150.0
721	1.49505e+02	7.21000e+02	3.04398	150.5
722	1.50021e+02	7.22000e+02	3.04396	151.0
723	1.50511e+02	7.23000e+02	3.04393	151.5
724	1.51009e+02	7.24000e+02	3.04391	152.0
725	1.51510e+02	7.25000e+02	3.0439	152.5
726	1.52012e+02	7.26000e+02	3.04388	153.0
727	1.52530e+02	7.27000e+02	3.04386	153.5
728	1.53034e+02	7.28000e+02	3.04384	154.0
729	1.53531e+02	7.29000e+02	3.04381	154.5
730	1.54038e+02	7.30000e+02	3.04377	155.0
731	1.54538e+02	7.31000e+02	3.04373	155.5
732	1.55035e+02	7.32000e+02	3.04366	156.0
733	1.55531e+02	7.33000e+02	3.04361	156.5
734	1.56035e+02	7.34000e+02	3.04356	157.0
735	1.56536e+02	7.35000e+02	3.0435	157.5
736	1.57032e+02	7.36000e+02	3.04345	158.0
737	1.57539e+02	7.37000e+02	3.0434	158.5
738	1.58052e+02	7.38000e+02	3.04335	159.0
739	1.58554e+02	7.39000e+02	3.04331	159.5
740	1.59042e+02	7.40000e+02	3.04328	160.0
741	1.59549e+02	7.41000e+02	3.04325	160.5
742	1.60060e+02	7.42000e+02	3.04323	161.0
743	1.60547e+02	7.43000e+02	3.0432	161.5
744	1.61056e+02	7.44000e+02	3.0432	162.0
745	1.61552e+02	7.45000e+02	3.04318	162.5
746	1.62061e+02	7.46000e+02	3.04316	163.0
747	1.62555e+02	7.47000e+02	3.04314	163.5
748	1.63054e+02	7.48000e+02	3.04311	164.0
749	1.63557e+02	7.49000e+02	3.04308	164.5
750	1.64073e+02	7.50000e+02	3.04306	165.0
751	1.64564e+02	7.51000e+02	3.04303	165.5
752	1.65077e+02	7.52000e+02	3.043	166.0
753	1.65581e+02	7.53000e+02	3.04297	166.5
754	1.66083e+02	7.54000e+02	3.04293	167.0
755	1.66594e+02	7.55000e+02	3.04288	167.5
756	1.67090e+02	7.56000e+02	3.04282	168.0
757	1.67595e+02	7.57000e+02	3.04275	168.5
758	1.68100e+02	7.58000e+02	3.04269	169.0
759	1.68605e+02	7.59000e+02	3.04262	169.5
760	1.69112e+02	7.60000e+02	3.04253	170.0
761	1.69611e+02	7.61000e+02	3.04244	170.5
762	1.70132e+02	7.62000e+02	3.04237	171.0
763	1.70637e+02	7.63000e+02	3.04229	171.5
764	1.71119e+02	7.64000e+02	3.04223	172.0
765	1.71625e+02	7.65000e+02	3.04217	172.5
766	1.72135e+02	7.66000e+02	3.04211	173.0
767	1.72649e+02	7.67000e+02	3.04206	173.5
768	1.73148e+02	7.68000e+02	3.04203	174.0
769	1.73662e+02	7.69000e+02	3.04199	174.5
770	1.74154e+02	7.70000e+02	3.04194	175.0
771	1.74663e+02	7.71000e+02	3.0419	175.5
772	1.75176e+02	7.72000e+02	3.04186	176.0
773	1.75676e+02	7.73000e+02	3.04182	176.5
774	1.76186e+02	7.74000e+02	3.04178	177.0
775	1.76695e+02	7.75000e+02	3.04174	177.5
776	1.77199e+02	7.76000e+02	3.0417	178.0
777	1.77697e+02	7.77000e+02	3.04164	178.5
778	1.78205e+02	7.78000e+02	3.04158	179.0
779	1.78707e+02	7.79000e+02	3.04152	179.5
780	1.79220e+02	7.80000e+02	3.04143	180.0
781	1.79719e+02	7.81000e+02	3.04134	180.5
782	1.80218e+02	7.82000e+02	3.04124	181.0
783	1.80737e+02	7.83000e+02	3.04114	181.5
784	1.81225e+02	7.84000e+02	3.04102	182.0
785	1.81737e+02	7.85000e+02	3.0409	182.5
786	1.82237e+02	7.86000e+02	3.04079	183.0
787	1.82738e+02	7.87000e+02	3.04067	183.5
788	1.83250e+02	7.88000e+02	3.04054	184.0
789	1.83755e+02	7.89000e+02	3.04041	184.5
790	1.84256e+02	7.90000e+02	3.04029	185.0
791	1.84764e+02	7.91000e+02	3.04016	185.5
792	1.85271e+02	7.92000e+02	3.04002	186.0
793	1.85782e+02	7.93000e+02	3.03988	186.5
794	1.86279e+02	7.94000e+02	3.03974	187.0
795	1.86789e+02	7.95000e+02	3.03959	187.5
796	1.87304e+02	7.96000e+02	3.03944	188.0
797	1.87799e+02	7.97000e+02	3.03929	188.5
798	1.88303e+02	7.98000e+02	3.03913	189.0
799	1.88813e+02	7.99000e+02	3.03898	189.5
800	1.89320e+02	8.00000e+02	3.03883	190.0
801	1.89818e+02	8.01000e+02	3.03867	190.5
