Index	Ts	t	Weight	Tr
[#]	[°C]	[s]	[mg]	[°C]
680	1.30012e+02	6.80000e+02	2.97487	130.0
681	1.30516e+02	6.81000e+02	2.97482	130.5
682	1.31031e+02	6.82000e+02	2.97476	131.0
683	1.31542e+02	6.83000e+02	2.9747	131.5
684	1.32047e+02	6.84000e+02	2.9746	132.0
685	1.32545e+02	6.85000e+02	2.97453	132.5
686	1.33069e+02	6.86000e+02	2.97445	133.0
687	1.33600e+02	6.87000e+02	2.97438	133.5
688	1.34100e+02	6.88000e+02	2.97432	134.0
689	1.34604e+02	6.89000e+02	2.97427	134.5
690	1.35103e+02	6.90000e+02	2.97422	135.0
691	1.35614e+02	6.91000e+02	2.97418	135.5
692	1.36105e+02	6.92000e+02	2.97417	136.0
693	1.36622e+02	6.93000e+02	2.97415	136.5
694	1.37128e+02	6.94000e+02	2.97413	137.0
695	1.37631e+02	6.95000e+02	2.97412	137.5
696	1.38141e+02	6.96000e+02	2.97411	138.0
697	1.38635e+02	6.97000e+02	2.97411	138.5
698	1.39139e+02	6.98000e+02	2.9741	139.0
699	1.39665e+02	6.99000e+02	2.97409	139.5
700	1.40157e+02	7.00000e+02	2.97408	140.0
701	1.40660e+02	7.01000e+02	2.97408	140.5
702	1.41163e+02	7.02000e+02	2.97407	141.0
703	1.41663e+02	7.03000e+02	2.97407	141.5
704	1.42176e+02	7.04000e+02	2.97407	142.0
705	1.42677e+02	7.05000e+02	2.97406	142.5
706	1.43184e+02	7.06000e+02	2.97405	143.0
707	1.43691e+02	7.07000e+02	2.97404	143.5
708	1.44203e+02	7.08000e+02	2.97401	144.0
709	1.44710e+02	7.09000e+02	2.97399	144.5
710	1.45197e+02	7.10000e+02	2.97397	145.0
711	1.45708e+02	7.11000e+02	2.97394	145.5
712	1.46217e+02	7.12000e+02	2.97391	146.0
713	1.46735e+02	7.13000e+02	2.97387	146.5
714	1.47231e+02	7.14000e+02	2.97384	147.0
715	1.47732e+02	7.15000e+02	2.97381	147.5
716	1.48236e+02	7.16000e+02	2.97378	148.0
717	1.48742e+02	7.17000e+02	2.97374	148.5
718	1.49244e+02	7.18000e+02	2.97371	149.0
719	1.49755e+02	7.19000e+02	2.97367	149.5
720	1.50247e+02	7.20000e+02	2.97363	150.0
721	1.50759e+02	7.21000e+02	2.97358	150.5
722	1.51256e+02	7.22000e+02	2.97353	151.0
723	1.51756e+02	7.23000e+02	2.97348	151.5
724	1.52261e+02	7.24000e+02	2.97341	152.0
725	1.52770e+02	7.25000e+02	2.97335	152.5
726	1.53274e+02	7.26000e+02	2.97329	153.0
727	1.53780e+02	7.27000e+02	2.97323	153.5
728	1.54283e+02	7.28000e+02	2.97317	154.0
729	1.54784e+02	7.29000e+02	2.97312	154.5
730	1.55308e+02	7.30000e+02	2.97307	155.0
731	1.55804e+02	7.31000e+02	2.97302	155.5
732	1.56303e+02	7.32000e+02	2.97299	156.0
733	1.56798e+02	7.33000e+02	2.97296	156.5
734	1.57308e+02	7.34000e+02	2.97293	157.0
735	1.57821e+02	7.35000e+02	2.97291	157.5
736	1.58327e+02	7.36000e+02	2.97289	158.0
737	1.58825e+02	7.37000e+02	2.97287	158.5
738	1.59339e+02	7.38000e+02	2.97284	159.0
739	1.59848e+02	7.39000e+02	2.97281	159.5
740	1.60355e+02	7.40000e+02	2.97277	160.0
741	1.60866e+02	7.41000e+02	2.97273	160.5
742	1.61365e+02	7.42000e+02	2.97269	161.0
743	1.61868e+02	7.43000e+02	2.97266	161.5
744	1.62376e+02	7.44000e+02	2.97262	162.0
745	1.62888e+02	7.45000e+02	2.97258	162.5
746	1.63390e+02	7.46000e+02	2.97254	163.0
747	1.63889e+02	7.47000e+02	2.9725	163.5
748	1.64402e+02	7.48000e+02	2.97246	164.0
749	1.64902e+02	7.49000e+02	2.97241	164.5
750	1.65404e+02	7.50000e+02	2.97236	165.0
751	1.65907e+02	7.51000e+02	2.97231	165.5
752	1.66434e+02	7.52000e+02	2.97226	166.0
753	1.66933e+02	7.53000e+02	2.9722	166.5
754	1.67441e+02	7.54000e+02	2.97215	167.0
755	1.67949e+02	7.55000e+02	2.9721	167.5
756	1.68457e+02	7.56000e+02	2.97206	168.0
757	1.68958e+02	7.57000e+02	2.97201	168.5
758	1.69465e+02	7.58000e+02	2.97197	169.0
759	1.69970e+02	7.59000e+02	2.97192	169.5
760	1.70477e+02	7.60000e+02	2.97188	170.0
761	1.70979e+02	7.61000e+02	2.97184	170.5
762	1.71477e+02	7.62000e+02	2.9718	171.0
763	1.71988e+02	7.63000e+02	2.97176	171.5
764	1.72507e+02	7.64000e+02	2.97172	172.0
765	1.73008e+02	7.65000e+02	2.97168	172.5
766	1.73516e+02	7.66000e+02	2.97163	173.0
767	1.74021e+02	7.67000e+02	2.97158	173.5
768	1.74531e+02	7.68000e+02	2.97152	174.0
769	1.75023e+02	7.69000e+02	2.97145	174.5
770	1.75549e+02	7.70000e+02	2.97138	175.0
771	1.76046e+02	7.71000e+02	2.97131	175.5
772	1.76567e+02	7.72000e+02	2.97124	176.0
773	1.77062e+02	7.73000e+02	2.97117	176.5
774	1.77567e+02	7.74000e+02	2.9711	177.0
775	1.78080e+02	7.75000e+02	2.97104	177.5
776	1.78579e+02	7.76000e+02	2.97099	178.0
777	1.79082e+02	7.77000e+02	2.97094	178.5
778	1.79598e+02	7.78000e+02	2.97088	179.0
779	1.80104e+02	7.79000e+02	2.97081	179.5
780	1.80617e+02	7.80000e+02	2.97075	180.0
781	1.81119e+02	7.81000e+02	2.97068	180.5
782	1.81632e+02	7.82000e+02	2.97061	181.0
783	1.82135e+02	7.83000e+02	2.97053	181.5
784	1.82641e+02	7.84000e+02	2.97045	182.0
785	1.83150e+02	7.85000e+02	2.97036	182.5
786	1.83654e+02	7.86000e+02	2.97028	183.0
787	1.84161e+02	7.87000e+02	2.9702	183.5
788	1.84681e+02	7.88000e+02	2.97011	184.0
789	1.85177e+02	7.89000e+02	2.97001	184.5
790	1.85690e+02	7.90000e+02	2.96992	185.0
791	1.86198e+02	7.91000e+02	2.96982	185.5
792	1.86702e+02	7.92000e+02	2.9697	186.0
793	1.87202e+02	7.93000e+02	2.96958	186.5
794	1.87727e+02	7.94000e+02	2.96946	187.0
795	1.88214e+02	7.95000e+02	2.96933	187.5
796	1.88736e+02	7.96000e+02	2.96918	188.0
797	1.89240e+02	7.97000e+02	2.96904	188.5
798	1.89752e+02	7.98000e+02	2.96889	189.0
799	1.90250e+02	7.99000e+02	2.96874	189.5
800	1.90753e+02	8.00000e+02	2.96858	190.0
801	1.91257e+02	8.01000e+02	2.96842	190.5
802	1.91770e+02	8.02000e+02	2.96825	191.0
803	1.92274e+02	8.03000e+02	2.96809	191.5
804	1.92782e+02	8.04000e+02	2.96791	192.0
805	1.93292e+02	8.05000e+02	2.96773	192.5
806	1.93810e+02	8.06000e+02	2.96756	193.0
807	1.94304e+02	8.07000e+02	2.96738	193.5
808	1.94820e+02	8.08000e+02	2.96718	194.0
809	1.95316e+02	8.09000e+02	2.96698	194.5
810	1.95817e+02	8.10000e+02	2.96677	195.0
811	1.96323e+02	8.11000e+02	2.96656	195.5
812	1.96825e+02	8.12000e+02	2.96634	196.0
