Index	Ts	t	Weight	Tr
[#]	[°C]	[s]	[mg]	[°C]
681	1.30278e+02	6.81000e+02	3.04896	130.5
682	1.30792e+02	6.82000e+02	3.04888	131.0
683	1.31294e+02	6.83000e+02	3.04881	131.5
684	1.31799e+02	6.84000e+02	3.0487	132.0
685	1.32300e+02	6.85000e+02	3.04862	132.5
686	1.32811e+02	6.86000e+02	3.04855	133.0
687	1.33321e+02	6.87000e+02	3.04849	133.5
688	1.33814e+02	6.88000e+02	3.04845	134.0
689	1.34314e+02	6.89000e+02	3.04841	134.5
690	1.34819e+02	6.90000e+02	3.04836	135.0
691	1.35322e+02	6.91000e+02	3.0483	135.5
692	1.35829e+02	6.92000e+02	3.04825	136.0
693	1.36327e+02	6.93000e+02	3.0482	136.5
694	1.36842e+02	6.94000e+02	3.04814	137.0
695	1.37337e+02	6.95000e+02	3.04807	137.5
696	1.37845e+02	6.96000e+02	3.04798	138.0
697	1.38344e+02	6.97000e+02	3.0479	138.5
698	1.38849e+02	6.98000e+02	3.0478	139.0
699	1.39361e+02	6.99000e+02	3.04771	139.5
700	1.39866e+02	7.00000e+02	3.04761	140.0
701	1.40368e+02	7.01000e+02	3.04751	140.5
702	1.40860e+02	7.02000e+02	3.04742	141.0
703	1.41372e+02	7.03000e+02	3.04733	141.5
704	1.41884e+02	7.04000e+02	3.04725	142.0
705	1.42389e+02	7.05000e+02	3.04716	142.5
706	1.42886e+02	7.06000e+02	3.04705	143.0
707	1.43388e+02	7.07000e+02	3.04695	143.5
708	1.43885e+02	7.08000e+02	3.04683	144.0
709	1.44388e+02	7.09000e+02	3.04671	144.5
710	1.44900e+02	7.10000e+02	3.0466	145.0
711	1.45400e+02	7.11000e+02	3.04647	145.5
712	1.45908e+02	7.12000e+02	3.04632	146.0
713	1.46409e+02	7.13000e+02	3.04616	146.5
714	1.46923e+02	7.14000e+02	3.04599	147.0
715	1.47422e+02	7.15000e+02	3.04582	147.5
716	1.47928e+02	7.16000e+02	3.04561	148.0
717	1.48427e+02	7.17000e+02	3.04543	148.5
718	1.48923e+02	7.18000e+02	3.04526	149.0
719	1.49427e+02	7.19000e+02	3.04509	149.5
720	1.49936e+02	7.20000e+02	3.04493	150.0
721	1.50442e+02	7.21000e+02	3.04476	150.5
722	1.50959e+02	7.22000e+02	3.04459	151.0
723	1.51448e+02	7.23000e+02	3.04442	151.5
724	1.51959e+02	7.24000e+02	3.04424	152.0
725	1.52464e+02	7.25000e+02	3.04405	152.5
