Sample Weight (mg):	1.01
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	90.472	79.998	20.008	99.709	20.134	-4.326	-0.071
0.499	90.398	79.996	20.008	99.717	20.134	-4.209	-0.070
1.000	90.419	79.998	20.008	99.726	20.133	-3.953	-0.062
1.500	90.337	79.996	20.008	99.734	20.133	-3.986	-0.057
2.000	90.333	79.996	20.008	99.743	20.134	-4.163	-0.073
2.500	90.307	79.997	20.008	99.741	20.129	-2.611	-0.058
3.000	90.242	79.996	20.008	99.734	20.130	-2.899	-0.061
3.500	90.197	79.998	20.007	99.733	20.128	-2.474	-0.100
3.999	90.153	80.002	20.012	99.734	20.124	-1.171	-0.100
4.499	90.066	80.001	20.011	99.736	20.120	-0.039	-0.110
4.999	90.088	79.999	20.008	99.744	20.115	1.617	-0.098
5.499	90.008	80.000	20.009	99.754	20.111	2.913	-0.062
5.999	89.938	80.002	20.009	99.765	20.108	3.817	-0.104
6.500	89.894	80.000	20.009	99.792	20.103	5.388	-0.132
7.000	89.827	80.000	20.009	99.838	20.100	6.206	-0.113
7.499	89.784	80.000	20.009	99.902	20.096	7.580	-0.111
7.999	89.743	80.002	20.009	99.974	20.091	9.165	-0.097
8.499	89.669	80.000	20.009	100.042	20.086	10.520	-0.099
8.999	89.626	80.001	20.010	100.094	20.086	10.475	-0.116
9.499	89.622	80.000	20.009	100.132	20.080	12.570	-0.082
10.000	89.530	80.001	20.009	100.160	20.078	12.982	-0.072
10.500	89.498	80.002	20.008	100.184	20.075	13.983	-0.110
10.999	89.445	80.003	20.009	100.207	20.074	14.178	-0.105
11.499	89.400	80.000	20.009	100.229	20.073	14.773	-0.091
11.999	89.353	80.002	20.009	100.247	20.068	16.115	-0.095
12.499	89.237	80.001	20.010	100.258	20.066	16.724	-0.127
12.999	89.257	80.001	20.009	100.263	20.066	16.941	-0.130
13.499	89.188	80.000	20.009	100.264	20.062	18.081	-0.073
13.999	89.168	80.002	20.009	100.264	20.062	18.070	-0.068
14.499	89.138	80.000	20.009	100.265	20.061	18.255	-0.069
15.000	89.081	80.001	20.009	100.265	20.058	19.411	-0.069
15.500	89.024	80.001	20.009	100.259	20.059	18.974	-0.101
15.999	88.994	80.000	20.009	100.251	20.058	19.218	-0.100
16.499	88.964	80.001	20.009	100.248	20.058	19.159	-0.074
16.999	88.931	80.002	20.010	100.247	20.054	20.405	-0.062
17.499	88.899	80.000	20.009	100.250	20.053	20.696	-0.064
17.999	88.906	80.001	20.009	100.262	20.051	21.394	-0.045
18.499	88.892	79.999	20.009	100.278	20.050	21.692	-0.016
18.999	88.861	80.001	20.009	100.286	20.051	21.315	-0.026
19.499	88.846	80.001	20.009	100.285	20.048	22.334	-0.045
19.999	88.785	80.001	20.009	100.283	20.044	23.714	-0.061
20.499	88.755	80.001	20.009	100.279	20.047	22.729	-0.084
20.999	88.705	80.002	20.009	100.279	20.043	24.006	-0.086
21.499	88.762	80.000	20.009	100.284	20.042	24.092	-0.036
21.999	88.681	80.000	20.009	100.291	20.041	24.414	-0.008
22.499	88.686	80.002	20.009	100.292	20.038	25.583	-0.050
22.999	88.644	80.001	20.009	100.288	20.036	25.997	-0.057
23.499	88.657	80.001	20.009	100.279	20.036	25.985	-0.033
23.999	88.628	80.001	20.009	100.272	20.038	25.550	-0.022
24.499	88.606	80.001	20.008	100.268	20.034	26.819	-0.033
25.000	88.592	80.000	20.009	100.269	20.033	27.112	-0.044
25.500	88.563	80.002	20.010	100.269	20.033	27.131	-0.040
26.000	88.593	80.001	20.009	100.275	20.031	27.696	-0.021
26.500	88.539	80.001	20.009	100.281	20.027	28.966	-0.011
27.000	88.567	80.001	20.009	100.293	20.026	29.187	-0.025
27.499	88.696	80.001	20.009	100.305	20.023	30.194	0.065
28.000	88.591	80.001	20.009	100.320	20.024	29.977	0.091
28.500	88.563	80.001	20.009	100.330	20.021	30.911	-0.054
29.000	88.556	80.002	20.009	100.339	20.022	30.422	-0.084
29.499	88.582	80.000	20.009	100.339	20.020	31.073	-0.008
30.000	88.616	80.001	20.010	100.345	20.018	31.588	0.039
30.500	88.587	80.002	20.009	100.359	20.016	32.448	0.032
30.999	88.651	80.000	20.009	100.375	20.014	32.861	0.020
31.500	88.609	80.002	20.009	100.390	20.013	33.361	0.028
32.000	88.664	79.999	20.007	100.408	20.012	33.455	0.018
32.499	88.725	80.001	20.009	100.448	20.013	33.173	0.065
33.000	88.725	80.000	20.011	100.407	20.010	34.171	0.089
33.500	88.724	80.002	20.009	100.367	20.011	33.888	0.030
33.999	88.751	80.001	20.007	100.340	20.010	34.240	0.012
34.499	88.811	80.002	20.010	100.314	20.009	34.534	0.056
35.000	88.812	80.002	20.010	100.241	20.008	34.685	0.074
35.500	88.876	80.000	20.007	100.309	20.008	34.824	0.063
35.999	88.895	80.000	20.007	100.389	20.010	34.096	0.074
36.499	88.920	80.002	20.008	100.443	20.009	34.622	0.063
36.999	88.964	80.001	20.010	100.485	20.005	35.901	0.056
37.500	89.033	80.000	20.009	100.545	20.004	36.149	0.091
38.001	89.070	80.001	20.009	100.536	20.005	35.643	0.109
38.500	89.107	80.001	20.009	100.511	20.005	35.846	0.090
38.999	89.170	80.002	20.010	100.491	20.004	36.168	0.087
39.499	89.248	79.998	20.009	100.480	20.004	36.143	0.121
39.999	89.309	80.000	20.009	100.472	20.001	37.047	0.140
40.499	89.318	80.002	20.010	100.465	20.002	36.703	0.104
40.999	89.451	80.001	20.009	100.463	20.001	36.885	0.106
41.499	89.505	80.000	20.009	100.470	20.001	37.062	0.165
41.999	89.558	80.001	20.009	100.479	19.999	37.593	0.147
42.499	89.612	80.000	20.009	100.487	19.998	37.947	0.107
43.000	89.725	80.001	20.009	100.495	19.998	38.084	0.137
43.500	89.740	80.001	20.009	100.497	19.997	38.278	0.148
44.000	89.854	80.001	20.010	100.497	19.996	38.476	0.129
44.501	89.910	80.001	20.009	100.501	19.993	39.441	0.150
45.001	90.015	80.001	20.009	100.508	19.996	38.481	0.166
45.500	90.138	80.000	20.009	100.508	19.996	38.671	0.194
45.999	90.158	80.001	20.009	100.509	19.994	39.224	0.185
46.499	90.247	80.002	20.009	100.508	19.994	39.148	0.126
46.999	90.356	80.001	20.009	100.502	19.994	39.190	0.154
47.499	90.446	80.002	20.009	100.496	19.992	39.787	0.198
48.000	90.578	80.001	20.009	100.498	19.995	38.816	0.211
48.500	90.671	80.002	20.009	100.501	19.997	38.377	0.224
