Sample Weight (mg):	2
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	90.134	79.997	20.008	99.689	20.169	0.799	-0.126
0.500	90.125	79.997	20.008	99.696	20.169	0.925	-0.076
1.000	90.043	79.997	20.007	99.705	20.170	0.737	-0.064
1.500	89.905	79.998	20.008	99.711	20.165	1.417	-0.155
2.000	89.950	79.997	20.008	99.710	20.169	0.862	-0.156
2.500	89.902	79.996	20.008	99.710	20.169	0.915	-0.048
3.000	89.835	79.996	20.007	99.714	20.163	1.860	-0.059
3.500	89.806	79.997	20.008	99.714	20.164	1.556	-0.106
4.000	89.743	80.002	20.013	99.715	20.162	1.966	-0.094
4.500	89.715	80.000	20.014	99.716	20.158	2.587	-0.091
5.000	89.657	80.000	20.008	99.721	20.154	3.199	-0.088
5.501	89.553	80.001	20.009	99.724	20.148	4.068	-0.124
6.000	89.486	80.001	20.009	99.737	20.147	4.230	-0.166
6.500	89.458	80.000	20.008	99.764	20.143	4.911	-0.133
7.000	89.358	80.000	20.009	99.810	20.137	5.925	-0.112
7.500	89.305	80.000	20.008	99.865	20.130	6.906	-0.141
8.000	89.283	80.001	20.009	99.930	20.126	7.493	-0.114
8.501	89.200	80.001	20.008	99.996	20.121	8.309	-0.090
9.001	89.191	80.002	20.009	100.049	20.121	8.391	-0.099
9.500	89.088	80.000	20.009	100.087	20.115	9.329	-0.102
10.000	89.040	80.000	20.009	100.113	20.113	9.680	-0.132
10.500	88.972	80.000	20.009	100.134	20.106	10.677	-0.133
11.000	88.897	80.001	20.009	100.154	20.108	10.402	-0.130
11.500	88.911	79.999	20.008	100.175	20.106	10.662	-0.102
12.000	88.848	80.001	20.009	100.192	20.106	10.770	-0.054
12.501	88.771	80.002	20.009	100.201	20.101	11.480	-0.094
13.001	88.722	80.000	20.009	100.205	20.100	11.708	-0.133
13.500	88.661	79.999	20.009	100.206	20.103	11.143	-0.118
14.000	88.689	80.000	20.008	100.204	20.095	12.484	-0.072
14.500	88.585	80.001	20.008	100.205	20.095	12.427	-0.055
15.000	88.543	80.000	20.008	100.211	20.092	12.921	-0.111
15.500	88.542	80.001	20.008	100.218	20.092	12.884	-0.095
16.000	88.447	80.000	20.009	100.219	20.091	13.036	-0.070
16.500	88.436	80.000	20.009	100.221	20.093	12.697	-0.101
17.000	88.376	80.000	20.009	100.221	20.092	12.839	-0.088
17.500	88.327	80.001	20.008	100.225	20.089	13.318	-0.090
18.000	88.321	80.000	20.009	100.233	20.088	13.437	-0.082
18.500	88.258	80.000	20.008	100.240	20.093	12.719	-0.063
19.000	88.288	80.000	20.008	100.249	20.091	12.977	-0.051
19.500	88.232	80.001	20.008	100.252	20.090	13.139	-0.029
20.000	88.259	79.999	20.009	100.247	20.093	12.691	-0.027
20.500	88.175	80.000	20.008	100.233	20.091	13.111	-0.043
21.001	88.108	80.000	20.009	100.222	20.092	12.856	-0.104
21.500	88.153	80.000	20.008	100.212	20.090	13.229	-0.086
22.000	88.114	80.001	20.008	100.210	20.090	13.215	-0.008
22.500	88.066	80.000	20.008	100.212	20.091	13.097	-0.041
23.000	88.024	80.001	20.009	100.214	20.088	13.497	-0.088
23.500	88.002	80.001	20.008	100.210	20.090	13.201	-0.076
24.000	87.952	79.999	20.008	100.201	20.092	12.869	-0.068
24.500	87.959	80.001	20.009	100.193	20.093	12.748	-0.058
25.000	87.957	80.000	20.008	100.185	20.092	12.920	-0.019
25.500	87.922	80.000	20.008	100.184	20.093	12.702	-0.016
26.001	87.840	80.000	20.009	100.185	20.091	12.995	-0.077
26.500	87.827	80.001	20.008	100.186	20.090	13.165	-0.106
27.000	87.863	80.000	20.009	100.181	20.091	13.028	-0.036
27.500	87.902	80.000	20.009	100.173	20.091	13.044	0.049
28.000	87.807	80.000	20.009	100.164	20.091	13.119	0.010
28.500	87.780	80.001	20.008	100.161	20.091	13.029	-0.088
29.000	87.698	79.999	20.008	100.162	20.093	12.760	-0.116
29.500	87.824	80.000	20.008	100.166	20.091	13.057	-0.033
30.000	87.767	80.000	20.009	100.173	20.091	13.107	0.056
30.500	87.811	80.001	20.009	100.174	20.088	13.550	0.028
31.000	87.773	80.000	20.008	100.170	20.090	13.237	-0.004
31.500	87.689	80.001	20.009	100.164	20.091	13.111	-0.058
32.000	87.712	80.000	20.008	100.164	20.090	13.170	-0.091
32.500	87.712	80.000	20.009	100.166	20.091	13.011	-0.019
33.001	87.695	80.000	20.008	100.172	20.087	13.693	0.003
33.501	87.725	80.000	20.009	100.177	20.087	13.625	-0.002
34.001	87.707	80.000	20.009	100.173	20.088	13.444	0.013
34.501	87.664	80.000	20.009	100.170	20.085	13.958	-0.024
35.001	87.768	80.000	20.008	100.168	20.082	14.533	-0.001
35.501	87.762	79.999	20.009	100.171	20.085	14.055	0.080
36.000	87.687	80.000	20.008	100.179	20.081	14.559	0.009
36.500	87.655	80.000	20.009	100.189	20.082	14.501	-0.094
37.000	87.695	80.000	20.009	100.198	20.084	14.085	-0.050
37.500	87.705	80.000	20.009	100.205	20.084	14.219	0.029
38.000	87.698	80.003	20.008	100.210	20.082	14.516	0.027
38.500	87.723	80.000	20.009	100.213	20.082	14.439	0.011
39.000	87.714	80.001	20.009	100.227	20.078	15.140	0.017
39.500	87.741	79.999	20.009	100.239	20.079	14.936	0.017
40.000	87.723	79.999	20.008	100.249	20.078	15.156	0.014
40.500	87.784	80.001	20.009	100.246	20.079	14.888	0.026
41.000	87.770	80.000	20.009	100.243	20.078	15.130	0.045
41.500	87.781	80.000	20.009	100.231	20.078	15.149	0.022
42.000	87.764	80.000	20.008	100.224	20.078	15.122	-0.005
42.501	87.741	80.001	20.008	100.220	20.079	14.897	-0.023
43.001	87.769	80.000	20.008	100.225	20.077	15.242	-0.018
43.501	87.816	80.001	20.008	100.227	20.077	15.227	0.040
44.001	87.806	80.000	20.008	100.231	20.074	15.661	0.056
44.501	87.834	80.001	20.009	100.226	20.074	15.708	0.028
45.001	87.811	80.000	20.009	100.222	20.072	16.049	0.012
45.500	87.815	80.001	20.009	100.225	20.071	16.183	-0.007
46.000	87.871	80.002	20.008	100.232	20.075	15.509	0.021
46.500	87.882	80.000	20.008	100.240	20.071	16.162	0.063
47.000	87.903	80.000	20.009	100.251	20.070	16.326	0.049
47.500	87.951	80.001	20.009	100.261	20.066	16.912	0.051
48.001	87.966	80.000	20.009	100.262	20.067	16.805	0.066
48.501	87.955	80.002	20.009	100.272	20.066	16.992	0.033
49.000	88.019	79.999	20.008	100.284	20.070	16.388	0.029
49.501	88.054	80.000	20.008	100.292	20.064	17.214	0.076
50.001	88.110	80.001	20.009	100.298	20.064	17.323	0.095
50.501	88.128	80.000	20.008	100.306	20.061	17.776	0.082
51.000	88.225	80.001	20.009	100.304	20.062	17.577	0.094
51.500	88.136	80.000	20.008	100.300	20.062	17.599	0.061
52.001	88.170	80.001	20.009	100.300	20.058	18.283	-0.023
52.501	88.245	80.000	20.008	100.306	20.059	18.015	0.027
53.000	88.379	80.000	20.008	100.313	20.058	18.237	0.159
53.500	88.400	80.000	20.008	100.316	20.059	18.036	0.182
54.000	88.405	80.001	20.010	100.315	20.057	18.307	0.091
54.500	88.441	80.001	20.009	100.313	20.058	18.235	0.034
55.001	88.488	79.999	20.009	100.309	20.057	18.407	0.062
55.501	88.598	80.001	20.009	100.310	20.055	18.623	0.120
56.001	88.592	79.999	20.009	100.316	20.058	18.246	0.130
56.500	88.676	80.001	20.008	100.325	20.055	18.641	0.091
57.000	88.742	80.000	20.009	100.332	20.055	18.672	0.114
57.500	88.803	80.000	20.009	100.337	20.052	19.106	0.138
58.000	88.830	80.001	20.009	100.337	20.059	18.133	0.108
58.501	88.950	80.000	20.008	100.345	20.058	18.270	0.117
59.001	88.976	80.000	20.009	100.352	20.057	18.424	0.146
59.500	89.089	80.001	20.009	100.362	20.056	18.535	0.142
60.000	89.140	79.999	20.009	100.370	20.056	18.582	0.151
60.500	89.201	80.001	20.008	100.374	20.057	18.341	0.138
61.000	89.236	80.000	20.010	100.366	20.060	17.978	0.104
61.500	89.316	80.001	20.008	100.358	20.058	18.289	0.106
62.000	89.438	80.000	20.009	100.349	20.056	18.506	0.159
62.500	89.536	80.000	20.009	100.341	20.056	18.535	0.211
63.000	89.538	80.001	20.009	100.337	20.055	18.631	0.160
63.501	89.664	79.999	20.008	100.337	20.058	18.268	0.114
64.001	89.704	80.001	20.009	100.333	20.057	18.399	0.147
64.500	89.891	80.000	20.010	100.328	20.058	18.215	0.196
65.000	89.974	80.001	20.009	100.325	20.058	18.278	0.249
65.501	90.039	80.000	20.009	100.326	20.057	18.425	0.209
66.001	90.112	80.001	20.008	100.328	20.055	18.736	0.143
66.500	90.183	79.999	20.008	100.334	20.056	18.585	0.141
67.000	90.280	80.001	20.009	100.348	20.055	18.656	0.156
67.500	90.421	80.000	20.009	100.354	20.056	18.519	0.203
68.000	90.488	80.001	20.008	100.354	20.057	18.404	0.223
68.500	90.596	80.001	20.009	100.355	20.054	18.848	0.191
69.000	90.655	80.000	20.008	100.360	20.055	18.699	0.171
69.500	90.722	80.000	20.008	100.363	20.054	18.797	0.147
70.000	90.921	80.001	20.008	100.370	20.055	18.644	0.196
70.500	91.025	80.001	20.009	100.374	20.055	18.698	0.285
71.000	91.079	80.000	20.008	100.372	20.054	18.845	0.230
71.500	91.221	80.002	20.009	100.364	20.057	18.423	0.177
72.000	91.354	80.000	20.009	100.352	20.056	18.523	0.236
72.500	91.443	80.000	20.009	100.347	20.055	18.775	0.249
73.000	91.525	80.000	20.008	100.350	20.054	18.920	0.196
73.500	91.618	80.001	20.009	100.355	20.052	19.126	0.173
74.000	91.833	80.001	20.009	100.357	20.050	19.541	0.242
74.500	91.920	80.000	20.009	100.358	20.056	18.605	0.305
75.000	92.010	80.001	20.009	100.353	20.051	19.269	0.239
75.500	92.143	80.000	20.010	100.347	20.051	19.319	0.200
76.000	92.203	80.001	20.008	100.348	20.050	19.424	0.208
76.500	92.368	80.000	20.009	100.355	20.049	19.582	0.209
77.000	92.479	80.001	20.008	100.361	20.048	19.796	0.250
77.500	92.615	80.000	20.009	100.369	20.049	19.660	0.262
78.000	92.730	80.001	20.009	100.369	20.050	19.507	0.249
78.500	92.817	80.000	20.010	100.363	20.048	19.793	0.227
79.001	92.943	80.001	20.008	100.363	20.047	19.998	0.208
79.501	93.120	80.000	20.009	100.365	20.047	20.037	0.258
80.000	93.258	80.000	20.008	100.373	20.043	20.563	0.309
80.500	93.370	80.001	20.009	100.385	20.044	20.365	0.282
81.000	93.535	80.002	20.009	100.392	20.045	20.255	0.263
81.500	93.645	80.000	20.010	100.393	20.045	20.233	0.276
82.000	93.787	80.001	20.008	100.392	20.046	20.091	0.264
82.501	93.896	80.002	20.009	100.384	20.047	19.949	0.252
83.001	94.051	80.000	20.008	100.380	20.045	20.343	0.257
83.501	94.138	80.001	20.009	100.387	20.044	20.475	0.253
84.001	94.331	80.001	20.008	100.394	20.045	20.330	0.261
84.501	94.471	80.001	20.009	100.402	20.043	20.585	0.306
85.000	94.625	80.001	20.008	100.409	20.046	20.175	0.313
85.501	94.744	80.001	20.009	100.409	20.043	20.542	0.283
86.001	94.898	80.000	20.009	100.408	20.043	20.512	0.273
86.500	95.054	80.002	20.009	100.409	20.042	20.694	0.292
87.000	95.181	79.999	20.009	100.414	20.042	20.683	0.297
87.500	95.394	80.000	20.009	100.420	20.041	20.830	0.311
88.000	95.518	80.001	20.009	100.430	20.043	20.567	0.338
88.500	95.674	80.001	20.009	100.431	20.041	20.950	0.309
89.000	95.809	80.001	20.009	100.429	20.039	21.183	0.286
89.500	95.955	79.999	20.009	100.422	20.040	21.034	0.286
90.001	96.131	80.001	20.009	100.416	20.040	21.025	0.302
90.501	96.304	80.001	20.009	100.414	20.042	20.763	0.336
91.000	96.502	79.999	20.008	100.414	20.041	20.981	0.360
91.501	96.635	80.000	20.008	100.417	20.040	20.989	0.351
92.001	96.745	80.002	20.008	100.418	20.038	21.430	0.287
92.501	96.942	80.000	20.009	100.414	20.039	21.196	0.275
93.001	97.109	80.000	20.009	100.414	20.040	21.069	0.336
93.500	97.265	80.000	20.009	100.414	20.039	21.233	0.344
94.000	97.482	80.001	20.009	100.413	20.037	21.516	0.348
94.500	97.611	79.999	20.009	100.416	20.040	21.095	0.359
95.000	97.805	80.000	20.009	100.420	20.042	20.785	0.335
95.501	97.970	80.000	20.009	100.419	20.042	20.678	0.341
96.001	98.138	80.001	20.009	100.419	20.041	20.930	0.346
96.500	98.337	80.000	20.009	100.420	20.041	20.864	0.350
97.000	98.547	80.000	20.009	100.422	20.042	20.775	0.388
97.500	98.790	80.000	20.009	100.424	20.043	20.669	0.431
98.000	98.975	80.000	20.009	100.425	20.039	21.262	0.441
98.500	99.186	80.000	20.009	100.425	20.041	20.883	0.412
99.001	99.325	80.000	20.009	100.424	20.042	20.678	0.373
99.501	99.559	80.000	20.009	100.420	20.040	21.048	0.361
100.001	99.761	80.000	20.009	100.417	20.042	20.698	0.405
100.501	99.902	80.001	20.009	100.425	20.042	20.773	0.390
101.001	100.162	80.000	20.009	100.432	20.042	20.700	0.371
101.501	100.341	80.001	20.009	100.441	20.042	20.817	0.420
102.000	100.510	80.001	20.009	100.446	20.042	20.716	0.394
102.500	100.724	80.000	20.009	100.446	20.039	21.184	0.366
103.000	100.958	80.001	20.010	100.439	20.042	20.752	0.416
103.501	101.157	80.001	20.009	100.436	20.040	21.036	0.440
104.001	101.378	79.999	20.009	100.435	20.039	21.164	0.426
104.500	101.592	80.000	20.009	100.437	20.040	21.052	0.427
105.000	101.792	80.000	20.009	100.444	20.041	20.894	0.424
105.500	102.008	80.001	20.009	100.446	20.042	20.815	0.415
