Sample Weight (mg):	1.02
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	89.397	80.004	20.009	100.253	20.032	0.026	0.027
0.500	89.507	80.003	20.008	100.259	20.034	-0.572	0.081
1.000	89.502	80.004	20.009	100.273	20.032	0.078	0.120
1.500	89.573	80.004	20.009	100.281	20.034	-0.598	0.086
2.000	89.625	80.004	20.009	100.288	20.036	-1.177	0.095
2.500	89.681	80.004	20.009	100.295	20.035	-1.092	0.115
3.000	89.669	80.004	20.009	100.297	20.037	-1.509	0.076
3.500	89.738	80.004	20.009	100.293	20.038	-1.762	0.051
4.000	89.797	80.003	20.009	100.292	20.037	-1.637	0.092
4.500	89.827	80.004	20.009	100.286	20.036	-1.182	0.108
5.000	89.851	80.003	20.009	100.277	20.037	-1.552	0.071
5.500	89.896	80.004	20.009	100.270	20.034	-0.746	0.062
6.000	89.939	80.004	20.009	100.266	20.033	-0.279	0.079
6.500	89.970	80.004	20.009	100.260	20.036	-1.162	0.081
7.000	89.981	80.003	20.009	100.261	20.034	-0.695	0.057
7.500	90.050	80.004	20.008	100.263	20.032	-0.026	0.061
8.000	90.068	80.005	20.009	100.261	20.034	-0.546	0.084
8.500	90.094	80.003	20.009	100.261	20.035	-0.937	0.066
9.000	90.134	80.004	20.009	100.261	20.036	-1.133	0.055
9.501	90.215	80.002	20.009	100.260	20.037	-1.419	0.094
10.001	90.260	80.006	20.010	100.267	20.035	-1.041	0.123
10.500	90.322	80.007	20.011	100.270	20.034	-0.689	0.116
11.001	90.352	80.005	20.011	100.268	20.037	-1.424	0.099
11.501	90.424	80.004	20.009	100.263	20.036	-1.333	0.097
12.001	90.474	80.004	20.010	100.261	20.033	-0.364	0.112
12.501	90.520	80.005	20.009	100.259	20.037	-1.489	0.109
13.000	90.518	80.004	20.009	100.264	20.037	-1.522	0.070
13.500	90.574	80.003	20.008	100.277	20.035	-0.872	0.049
14.000	90.624	80.003	20.008	100.291	20.035	-0.871	0.080
14.500	90.623	80.004	20.009	100.300	20.031	0.429	0.077
15.000	90.656	80.005	20.009	100.302	20.032	0.000	0.040
15.500	90.707	80.001	20.012	100.302	20.032	-0.104	0.058
