index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
900	1.21941e+02	9.00000e+02	2.97607e+00	9.00000e+01
901	1.21793e+02	9.01000e+02	2.97581e+00	9.83333e+01
902	1.21880e+02	9.02000e+02	2.97549e+00	1.06667e+02
903	1.22241e+02	9.03000e+02	2.97517e+00	1.15000e+02
904	1.22811e+02	9.04000e+02	2.97447e+00	1.23333e+02
905	1.23523e+02	9.05000e+02	2.97383e+00	1.31667e+02
906	1.24307e+02	9.06000e+02	2.97315e+00	1.40000e+02
907	1.25199e+02	9.07000e+02	2.97246e+00	1.48333e+02
908	1.26216e+02	9.08000e+02	2.97140e+00	1.56667e+02
909	1.27317e+02	9.09000e+02	2.97053e+00	1.65000e+02
910	1.28520e+02	9.10000e+02	2.96980e+00	1.73333e+02
911	1.29831e+02	9.11000e+02	2.96920e+00	1.81667e+02
912	1.31304e+02	9.12000e+02	2.96878e+00	1.90000e+02
913	1.32749e+02	9.13000e+02	2.96851e+00	1.98333e+02
914	1.34249e+02	9.14000e+02	2.96839e+00	2.06667e+02
915	1.35860e+02	9.15000e+02	2.96833e+00	2.15000e+02
916	1.37661e+02	9.16000e+02	2.96888e+00	2.23333e+02
917	1.39607e+02	9.17000e+02	2.96916e+00	2.31667e+02
918	1.41502e+02	9.18000e+02	2.96935e+00	2.40000e+02
919	1.43285e+02	9.19000e+02	2.96950e+00	2.48333e+02
920	1.45429e+02	9.20000e+02	2.96972e+00	2.56667e+02
921	1.47750e+02	9.21000e+02	2.96986e+00	2.65000e+02
922	1.50253e+02	9.22000e+02	2.96991e+00	2.73333e+02
923	1.52724e+02	9.23000e+02	2.96990e+00	2.81667e+02
924	1.55521e+02	9.24000e+02	2.96981e+00	2.90000e+02
925	1.58409e+02	9.25000e+02	2.96975e+00	2.98333e+02
932	1.69929e+02	9.32000e+02	2.96959e+00	3.00000e+02
933	1.72111e+02	9.33000e+02	2.96969e+00	3.00000e+02
934	1.74197e+02	9.34000e+02	2.96979e+00	3.00000e+02
935	1.76410e+02	9.35000e+02	2.96989e+00	3.00000e+02
936	1.78653e+02	9.36000e+02	2.97029e+00	3.00000e+02
937	1.80880e+02	9.37000e+02	2.97060e+00	3.00000e+02
938	1.83069e+02	9.38000e+02	2.97085e+00	3.00000e+02
939	1.85210e+02	9.39000e+02	2.97105e+00	3.00000e+02
940	1.87290e+02	9.40000e+02	2.97142e+00	3.00000e+02
941	1.89329e+02	9.41000e+02	2.97168e+00	3.00000e+02
942	1.91295e+02	9.42000e+02	2.97180e+00	3.00000e+02
943	1.93213e+02	9.43000e+02	2.97184e+00	3.00000e+02
944	1.95093e+02	9.44000e+02	2.97173e+00	3.00000e+02
945	1.96911e+02	9.45000e+02	2.97158e+00	3.00000e+02
946	1.98678e+02	9.46000e+02	2.97135e+00	3.00000e+02
947	2.00400e+02	9.47000e+02	2.97106e+00	3.00000e+02
948	2.02055e+02	9.48000e+02	2.97050e+00	3.00000e+02
949	2.03688e+02	9.49000e+02	2.97004e+00	3.00000e+02
950	2.05272e+02	9.50000e+02	2.96956e+00	3.00000e+02
951	2.06808e+02	9.51000e+02	2.96907e+00	3.00000e+02
952	2.08286e+02	9.52000e+02	2.96847e+00	3.00000e+02
953	2.09743e+02	9.53000e+02	2.96789e+00	3.00000e+02
954	2.11193e+02	9.54000e+02	2.96730e+00	3.00000e+02
955	2.12593e+02	9.55000e+02	2.96668e+00	3.00000e+02
956	2.13968e+02	9.56000e+02	2.96597e+00	3.00000e+02
957	2.15296e+02	9.57000e+02	2.96527e+00	3.00000e+02
958	2.16579e+02	9.58000e+02	2.96456e+00	3.00000e+02
959	2.17814e+02	9.59000e+02	2.96384e+00	3.00000e+02
960	2.19040e+02	9.60000e+02	2.96301e+00	3.00000e+02
961	2.20238e+02	9.61000e+02	2.96221e+00	3.00000e+02
962	2.21398e+02	9.62000e+02	2.96140e+00	3.00000e+02
963	2.22565e+02	9.63000e+02	2.96057e+00	3.00000e+02
964	2.23686e+02	9.64000e+02	2.95968e+00	3.00000e+02
965	2.24781e+02	9.65000e+02	2.95880e+00	3.00000e+02
966	2.25843e+02	9.66000e+02	2.95791e+00	3.00000e+02
967	2.26906e+02	9.67000e+02	2.95703e+00	3.00000e+02
968	2.27953e+02	9.68000e+02	2.95610e+00	3.00000e+02
969	2.28983e+02	9.69000e+02	2.95519e+00	3.00000e+02
970	2.30026e+02	9.70000e+02	2.95428e+00	3.00000e+02
971	2.30985e+02	9.71000e+02	2.95337e+00	3.00000e+02
972	2.31929e+02	9.72000e+02	2.95245e+00	3.00000e+02
973	2.32832e+02	9.73000e+02	2.95153e+00	3.00000e+02
974	2.33710e+02	9.74000e+02	2.95061e+00	3.00000e+02
975	2.34629e+02	9.75000e+02	2.94970e+00	3.00000e+02
976	2.35532e+02	9.76000e+02	2.94877e+00	3.00000e+02
977	2.36416e+02	9.77000e+02	2.94786e+00	3.00000e+02
978	2.37307e+02	9.78000e+02	2.94696e+00	3.00000e+02
979	2.38190e+02	9.79000e+02	2.94607e+00	3.00000e+02
980	2.39045e+02	9.80000e+02	2.94519e+00	3.00000e+02
981	2.39875e+02	9.81000e+02	2.94431e+00	3.00000e+02
982	2.40686e+02	9.82000e+02	2.94345e+00	3.00000e+02
983	2.41507e+02	9.83000e+02	2.94259e+00	3.00000e+02
984	2.42291e+02	9.84000e+02	2.94176e+00	3.00000e+02
985	2.43146e+02	9.85000e+02	2.94091e+00	3.00000e+02
986	2.43921e+02	9.86000e+02	2.94008e+00	3.00000e+02
987	2.44675e+02	9.87000e+02	2.93925e+00	3.00000e+02
988	2.45437e+02	9.88000e+02	2.93843e+00	3.00000e+02
989	2.46165e+02	9.89000e+02	2.93761e+00	3.00000e+02
990	2.46903e+02	9.90000e+02	2.93679e+00	3.00000e+02
991	2.47652e+02	9.91000e+02	2.93598e+00	3.00000e+02
992	2.48366e+02	9.92000e+02	2.93517e+00	3.00000e+02
993	2.49059e+02	9.93000e+02	2.93436e+00	3.00000e+02
994	2.49751e+02	9.94000e+02	2.93356e+00	3.00000e+02
995	2.50424e+02	9.95000e+02	2.93276e+00	3.00000e+02
996	2.51105e+02	9.96000e+02	2.93196e+00	3.00000e+02
997	2.51792e+02	9.97000e+02	2.93116e+00	3.00000e+02
998	2.52462e+02	9.98000e+02	2.93036e+00	3.00000e+02
999	2.53151e+02	9.99000e+02	2.92956e+00	3.00000e+02
1000	2.53780e+02	1.00000e+03	2.92876e+00	3.00000e+02
1001	2.54440e+02	1.00100e+03	2.92797e+00	3.00000e+02
1002	2.55096e+02	1.00200e+03	2.92717e+00	3.00000e+02
1003	2.55750e+02	1.00300e+03	2.92638e+00	3.00000e+02
1004	2.56368e+02	1.00400e+03	2.92560e+00	3.00000e+02
1005	2.57012e+02	1.00500e+03	2.92481e+00	3.00000e+02
1006	2.57619e+02	1.00600e+03	2.92402e+00	3.00000e+02
1007	2.58218e+02	1.00700e+03	2.92323e+00	3.00000e+02
1008	2.58838e+02	1.00800e+03	2.92245e+00	3.00000e+02
1009	2.59436e+02	1.00900e+03	2.92167e+00	3.00000e+02
1010	2.60035e+02	1.01000e+03	2.92089e+00	3.00000e+02
1011	2.60600e+02	1.01100e+03	2.92012e+00	3.00000e+02
1012	2.61153e+02	1.01200e+03	2.91935e+00	3.00000e+02
1013	2.61685e+02	1.01300e+03	2.91859e+00	3.00000e+02
1014	2.62216e+02	1.01400e+03	2.91784e+00	3.00000e+02
1015	2.62740e+02	1.01500e+03	2.91709e+00	3.00000e+02
1016	2.63261e+02	1.01600e+03	2.91637e+00	3.00000e+02
1017	2.63777e+02	1.01700e+03	2.91565e+00	3.00000e+02
1018	2.64307e+02	1.01800e+03	2.91493e+00	3.00000e+02
1019	2.64791e+02	1.01900e+03	2.91421e+00	3.00000e+02
1020	2.65306e+02	1.02000e+03	2.91351e+00	3.00000e+02
1021	2.65820e+02	1.02100e+03	2.91279e+00	3.00000e+02
1022	2.66275e+02	1.02200e+03	2.91207e+00	3.00000e+02
1023	2.66742e+02	1.02300e+03	2.91134e+00	3.00000e+02
1024	2.67192e+02	1.02400e+03	2.91060e+00	3.00000e+02
1025	2.67645e+02	1.02500e+03	2.90988e+00	3.00000e+02
1026	2.68093e+02	1.02600e+03	2.90915e+00	3.00000e+02
1027	2.68542e+02	1.02700e+03	2.90842e+00	3.00000e+02
1028	2.68978e+02	1.02800e+03	2.90769e+00	3.00000e+02
1029	2.69412e+02	1.02900e+03	2.90697e+00	3.00000e+02
1030	2.69846e+02	1.03000e+03	2.90626e+00	3.00000e+02
1031	2.70279e+02	1.03100e+03	2.90555e+00	3.00000e+02
1032	2.70705e+02	1.03200e+03	2.90485e+00	3.00000e+02
1033	2.71129e+02	1.03300e+03	2.90415e+00	3.00000e+02
1034	2.71547e+02	1.03400e+03	2.90346e+00	3.00000e+02
1035	2.71945e+02	1.03500e+03	2.90276e+00	3.00000e+02
1036	2.72345e+02	1.03600e+03	2.90208e+00	3.00000e+02
1037	2.72744e+02	1.03700e+03	2.90140e+00	3.00000e+02
1038	2.73146e+02	1.03800e+03	2.90071e+00	3.00000e+02
1039	2.73528e+02	1.03900e+03	2.90003e+00	3.00000e+02
1040	2.73907e+02	1.04000e+03	2.89935e+00	3.00000e+02
1041	2.74290e+02	1.04100e+03	2.89868e+00	3.00000e+02
1042	2.74646e+02	1.04200e+03	2.89801e+00	3.00000e+02
1043	2.75014e+02	1.04300e+03	2.89735e+00	3.00000e+02
1044	2.75376e+02	1.04400e+03	2.89670e+00	3.00000e+02
