index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
900	1.23161e+02	9.00000e+02	2.97560e+00	9.00000e+01
901	1.23012e+02	9.01000e+02	2.97533e+00	9.83333e+01
902	1.23042e+02	9.02000e+02	2.97505e+00	1.06667e+02
903	1.23333e+02	9.03000e+02	2.97481e+00	1.15000e+02
904	1.23747e+02	9.04000e+02	2.97431e+00	1.23333e+02
905	1.24262e+02	9.05000e+02	2.97396e+00	1.31667e+02
906	1.24898e+02	9.06000e+02	2.97364e+00	1.40000e+02
907	1.25629e+02	9.07000e+02	2.97337e+00	1.48333e+02
908	1.26431e+02	9.08000e+02	2.97310e+00	1.56667e+02
909	1.27389e+02	9.09000e+02	2.97283e+00	1.65000e+02
910	1.28490e+02	9.10000e+02	2.97265e+00	1.73333e+02
911	1.29708e+02	9.11000e+02	2.97257e+00	1.81667e+02
912	1.31070e+02	9.12000e+02	2.97266e+00	1.90000e+02
913	1.32468e+02	9.13000e+02	2.97280e+00	1.98333e+02
914	1.33908e+02	9.14000e+02	2.97299e+00	2.06667e+02
915	1.35404e+02	9.15000e+02	2.97320e+00	2.15000e+02
916	1.37019e+02	9.16000e+02	2.97369e+00	2.23333e+02
917	1.38736e+02	9.17000e+02	2.97398e+00	2.31667e+02
918	1.40409e+02	9.18000e+02	2.97415e+00	2.40000e+02
919	1.42580e+02	9.19000e+02	2.97424e+00	2.48333e+02
920	1.44857e+02	9.20000e+02	2.97419e+00	2.56667e+02
921	1.47358e+02	9.21000e+02	2.97412e+00	2.65000e+02
922	1.49857e+02	9.22000e+02	2.97394e+00	2.73333e+02
923	1.52568e+02	9.23000e+02	2.97367e+00	2.81667e+02
924	1.55425e+02	9.24000e+02	2.97318e+00	2.90000e+02
925	1.58220e+02	9.25000e+02	2.97273e+00	2.98333e+02
926	1.61108e+02	9.26000e+02	2.97223e+00	3.06667e+02
927	1.64195e+02	9.27000e+02	2.97173e+00	3.15000e+02
932	1.70823e+02	9.32000e+02	2.96665e+00	3.20000e+02
933	1.72842e+02	9.33000e+02	2.96513e+00	3.20000e+02
934	1.74788e+02	9.34000e+02	2.96335e+00	3.20000e+02
935	1.76929e+02	9.35000e+02	2.96136e+00	3.20000e+02
936	1.79139e+02	9.36000e+02	2.95868e+00	3.20000e+02
937	1.81345e+02	9.37000e+02	2.95600e+00	3.20000e+02
938	1.83518e+02	9.38000e+02	2.95310e+00	3.20000e+02
939	1.85656e+02	9.39000e+02	2.95000e+00	3.20000e+02
940	1.87741e+02	9.40000e+02	2.94626e+00	3.20000e+02
941	1.89780e+02	9.41000e+02	2.94278e+00	3.20000e+02
942	1.91764e+02	9.42000e+02	2.93925e+00	3.20000e+02
943	1.93704e+02	9.43000e+02	2.93566e+00	3.20000e+02
944	1.95598e+02	9.44000e+02	2.93198e+00	3.20000e+02
945	1.97435e+02	9.45000e+02	2.92837e+00	3.20000e+02
946	1.99252e+02	9.46000e+02	2.92477e+00	3.20000e+02
947	2.01007e+02	9.47000e+02	2.92118e+00	3.20000e+02
948	2.02731e+02	9.48000e+02	2.91767e+00	3.20000e+02
949	2.04425e+02	9.49000e+02	2.91418e+00	3.20000e+02
950	2.06072e+02	9.50000e+02	2.91073e+00	3.20000e+02
951	2.07694e+02	9.51000e+02	2.90731e+00	3.20000e+02
