index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
843	1.29966e+02	8.43000e+02	3.02592e+00	1.30500e+02
844	1.30132e+02	8.44000e+02	3.02590e+00	1.30667e+02
845	1.30294e+02	8.45000e+02	3.02587e+00	1.30833e+02
846	1.30475e+02	8.46000e+02	3.02585e+00	1.31000e+02
847	1.30637e+02	8.47000e+02	3.02582e+00	1.31167e+02
848	1.30798e+02	8.48000e+02	3.02580e+00	1.31333e+02
849	1.30956e+02	8.49000e+02	3.02577e+00	1.31500e+02
850	1.31137e+02	8.50000e+02	3.02576e+00	1.31667e+02
851	1.31305e+02	8.51000e+02	3.02574e+00	1.31833e+02
852	1.31471e+02	8.52000e+02	3.02573e+00	1.32000e+02
853	1.31636e+02	8.53000e+02	3.02572e+00	1.32167e+02
854	1.31798e+02	8.54000e+02	3.02570e+00	1.32333e+02
855	1.31964e+02	8.55000e+02	3.02569e+00	1.32500e+02
856	1.32140e+02	8.56000e+02	3.02567e+00	1.32667e+02
857	1.32315e+02	8.57000e+02	3.02565e+00	1.32833e+02
858	1.32483e+02	8.58000e+02	3.02563e+00	1.33000e+02
859	1.32652e+02	8.59000e+02	3.02560e+00	1.33167e+02
860	1.32812e+02	8.60000e+02	3.02556e+00	1.33333e+02
861	1.32981e+02	8.61000e+02	3.02552e+00	1.33500e+02
862	1.33154e+02	8.62000e+02	3.02548e+00	1.33667e+02
863	1.33323e+02	8.63000e+02	3.02543e+00	1.33833e+02
864	1.33485e+02	8.64000e+02	3.02536e+00	1.34000e+02
865	1.33650e+02	8.65000e+02	3.02529e+00	1.34167e+02
866	1.33802e+02	8.66000e+02	3.02522e+00	1.34333e+02
867	1.33992e+02	8.67000e+02	3.02516e+00	1.34500e+02
868	1.34150e+02	8.68000e+02	3.02509e+00	1.34667e+02
869	1.34314e+02	8.69000e+02	3.02503e+00	1.34833e+02
870	1.34484e+02	8.70000e+02	3.02496e+00	1.35000e+02
871	1.34635e+02	8.71000e+02	3.02491e+00	1.35167e+02
872	1.34817e+02	8.72000e+02	3.02485e+00	1.35333e+02
873	1.34987e+02	8.73000e+02	3.02480e+00	1.35500e+02
874	1.35155e+02	8.74000e+02	3.02475e+00	1.35667e+02
875	1.35331e+02	8.75000e+02	3.02469e+00	1.35833e+02
876	1.35495e+02	8.76000e+02	3.02464e+00	1.36000e+02
877	1.35654e+02	8.77000e+02	3.02459e+00	1.36167e+02
878	1.35822e+02	8.78000e+02	3.02454e+00	1.36333e+02
879	1.35985e+02	8.79000e+02	3.02449e+00	1.36500e+02
880	1.36160e+02	8.80000e+02	3.02445e+00	1.36667e+02
881	1.36324e+02	8.81000e+02	3.02441e+00	1.36833e+02
882	1.36491e+02	8.82000e+02	3.02437e+00	1.37000e+02
883	1.36657e+02	8.83000e+02	3.02432e+00	1.37167e+02
884	1.36818e+02	8.84000e+02	3.02429e+00	1.37333e+02
885	1.36983e+02	8.85000e+02	3.02425e+00	1.37500e+02
886	1.37164e+02	8.86000e+02	3.02421e+00	1.37667e+02
887	1.37337e+02	8.87000e+02	3.02418e+00	1.37833e+02
888	1.37499e+02	8.88000e+02	3.02415e+00	1.38000e+02
889	1.37659e+02	8.89000e+02	3.02412e+00	1.38167e+02
890	1.37827e+02	8.90000e+02	3.02409e+00	1.38333e+02
891	1.38003e+02	8.91000e+02	3.02406e+00	1.38500e+02
892	1.38166e+02	8.92000e+02	3.02403e+00	1.38667e+02
893	1.38334e+02	8.93000e+02	3.02400e+00	1.38833e+02
894	1.38502e+02	8.94000e+02	3.02397e+00	1.39000e+02
895	1.38678e+02	8.95000e+02	3.02394e+00	1.39167e+02
896	1.38834e+02	8.96000e+02	3.02390e+00	1.39333e+02
897	1.39012e+02	8.97000e+02	3.02386e+00	1.39500e+02
898	1.39172e+02	8.98000e+02	3.02381e+00	1.39667e+02
899	1.39337e+02	8.99000e+02	3.02375e+00	1.39833e+02
900	1.39505e+02	9.00000e+02	3.02368e+00	1.40000e+02
901	1.39674e+02	9.01000e+02	3.02361e+00	1.40167e+02
902	1.39848e+02	9.02000e+02	3.02353e+00	1.40333e+02
903	1.40007e+02	9.03000e+02	3.02345e+00	1.40500e+02
904	1.40184e+02	9.04000e+02	3.02336e+00	1.40667e+02
905	1.40348e+02	9.05000e+02	3.02328e+00	1.40833e+02
906	1.40520e+02	9.06000e+02	3.02320e+00	1.41000e+02
907	1.40691e+02	9.07000e+02	3.02312e+00	1.41167e+02
908	1.40844e+02	9.08000e+02	3.02305e+00	1.41333e+02
909	1.41021e+02	9.09000e+02	3.02298e+00	1.41500e+02
910	1.41192e+02	9.10000e+02	3.02291e+00	1.41667e+02
911	1.41364e+02	9.11000e+02	3.02284e+00	1.41833e+02
912	1.41520e+02	9.12000e+02	3.02278e+00	1.42000e+02
913	1.41677e+02	9.13000e+02	3.02272e+00	1.42167e+02
914	1.41853e+02	9.14000e+02	3.02266e+00	1.42333e+02
915	1.42033e+02	9.15000e+02	3.02260e+00	1.42500e+02
916	1.42188e+02	9.16000e+02	3.02253e+00	1.42667e+02
917	1.42350e+02	9.17000e+02	3.02245e+00	1.42833e+02
918	1.42529e+02	9.18000e+02	3.02236e+00	1.43000e+02
919	1.42698e+02	9.19000e+02	3.02226e+00	1.43167e+02
920	1.42877e+02	9.20000e+02	3.02212e+00	1.43333e+02
921	1.43048e+02	9.21000e+02	3.02199e+00	1.43500e+02
922	1.43202e+02	9.22000e+02	3.02187e+00	1.43667e+02
923	1.43374e+02	9.23000e+02	3.02175e+00	1.43833e+02
924	1.43546e+02	9.24000e+02	3.02164e+00	1.44000e+02
925	1.43707e+02	9.25000e+02	3.02155e+00	1.44167e+02
926	1.43874e+02	9.26000e+02	3.02148e+00	1.44333e+02
927	1.44033e+02	9.27000e+02	3.02143e+00	1.44500e+02
928	1.44202e+02	9.28000e+02	3.02148e+00	1.44667e+02
929	1.44373e+02	9.29000e+02	3.02150e+00	1.44833e+02
930	1.44530e+02	9.30000e+02	3.02152e+00	1.45000e+02
931	1.44710e+02	9.31000e+02	3.02155e+00	1.45167e+02
932	1.44885e+02	9.32000e+02	3.02160e+00	1.45333e+02
933	1.45038e+02	9.33000e+02	3.02160e+00	1.45500e+02
934	1.45209e+02	9.34000e+02	3.02158e+00	1.45667e+02
935	1.45372e+02	9.35000e+02	3.02155e+00	1.45833e+02
936	1.45532e+02	9.36000e+02	3.02142e+00	1.46000e+02
