index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
683	1.28913e+02	6.83000e+02	9.43312e-01	1.31500e+02
684	1.29422e+02	6.84000e+02	9.43295e-01	1.32000e+02
685	1.29909e+02	6.85000e+02	9.43273e-01	1.32500e+02
686	1.30402e+02	6.86000e+02	9.43251e-01	1.33000e+02
687	1.30966e+02	6.87000e+02	9.43228e-01	1.33500e+02
688	1.31498e+02	6.88000e+02	9.43201e-01	1.34000e+02
689	1.31989e+02	6.89000e+02	9.43178e-01	1.34500e+02
690	1.32481e+02	6.90000e+02	9.43157e-01	1.35000e+02
691	1.32989e+02	6.91000e+02	9.43137e-01	1.35500e+02
692	1.33479e+02	6.92000e+02	9.43124e-01	1.36000e+02
693	1.33957e+02	6.93000e+02	9.43109e-01	1.36500e+02
694	1.34452e+02	6.94000e+02	9.43096e-01	1.37000e+02
695	1.34939e+02	6.95000e+02	9.43084e-01	1.37500e+02
696	1.35432e+02	6.96000e+02	9.43074e-01	1.38000e+02
697	1.35922e+02	6.97000e+02	9.43060e-01	1.38500e+02
698	1.36413e+02	6.98000e+02	9.43043e-01	1.39000e+02
699	1.36904e+02	6.99000e+02	9.43024e-01	1.39500e+02
700	1.37382e+02	7.00000e+02	9.42999e-01	1.40000e+02
701	1.37876e+02	7.01000e+02	9.42975e-01	1.40500e+02
702	1.38382e+02	7.02000e+02	9.42952e-01	1.41000e+02
703	1.38864e+02	7.03000e+02	9.42930e-01	1.41500e+02
704	1.39353e+02	7.04000e+02	9.42908e-01	1.42000e+02
705	1.39851e+02	7.05000e+02	9.42890e-01	1.42500e+02
706	1.40349e+02	7.06000e+02	9.42873e-01	1.43000e+02
707	1.40853e+02	7.07000e+02	9.42858e-01	1.43500e+02
708	1.41330e+02	7.08000e+02	9.42851e-01	1.44000e+02
709	1.41830e+02	7.09000e+02	9.42832e-01	1.44500e+02
710	1.42325e+02	7.10000e+02	9.42763e-01	1.45000e+02
711	1.42796e+02	7.11000e+02	9.42633e-01	1.45500e+02
712	1.43234e+02	7.12000e+02	9.42186e-01	1.46000e+02
713	1.43759e+02	7.13000e+02	9.41578e-01	1.46500e+02
714	1.44261e+02	7.14000e+02	9.40826e-01	1.47000e+02
715	1.44779e+02	7.15000e+02	9.40014e-01	1.47500e+02
716	1.45289e+02	7.16000e+02	9.38860e-01	1.48000e+02
717	1.45804e+02	7.17000e+02	9.38162e-01	1.48500e+02
718	1.46319e+02	7.18000e+02	9.37749e-01	1.49000e+02
719	1.46807e+02	7.19000e+02	9.37505e-01	1.49500e+02
720	1.47306e+02	7.20000e+02	9.37986e-01	1.50000e+02
721	1.47819e+02	7.21000e+02	9.38372e-01	1.50500e+02
722	1.48310e+02	7.22000e+02	9.38836e-01	1.51000e+02
723	1.48811e+02	7.23000e+02	9.39363e-01	1.51500e+02
724	1.49297e+02	7.24000e+02	9.40395e-01	1.52000e+02
725	1.49798e+02	7.25000e+02	9.41089e-01	1.52500e+02
726	1.50300e+02	7.26000e+02	9.41673e-01	1.53000e+02
727	1.50820e+02	7.27000e+02	9.42214e-01	1.53500e+02
728	1.51311e+02	7.28000e+02	9.42496e-01	1.54000e+02
