index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
683	1.29194e+02	6.83000e+02	1.28263e+00	1.31500e+02
684	1.29688e+02	6.84000e+02	1.28262e+00	1.32000e+02
685	1.30197e+02	6.85000e+02	1.28260e+00	1.32500e+02
686	1.30706e+02	6.86000e+02	1.28258e+00	1.33000e+02
687	1.31195e+02	6.87000e+02	1.28256e+00	1.33500e+02
688	1.31716e+02	6.88000e+02	1.28252e+00	1.34000e+02
689	1.32216e+02	6.89000e+02	1.28249e+00	1.34500e+02
690	1.32707e+02	6.90000e+02	1.28245e+00	1.35000e+02
691	1.33192e+02	6.91000e+02	1.28242e+00	1.35500e+02
692	1.33684e+02	6.92000e+02	1.28237e+00	1.36000e+02
693	1.34177e+02	6.93000e+02	1.28233e+00	1.36500e+02
694	1.34667e+02	6.94000e+02	1.28228e+00	1.37000e+02
695	1.35182e+02	6.95000e+02	1.28223e+00	1.37500e+02
696	1.35699e+02	6.96000e+02	1.28218e+00	1.38000e+02
697	1.36212e+02	6.97000e+02	1.28213e+00	1.38500e+02
698	1.36698e+02	6.98000e+02	1.28209e+00	1.39000e+02
699	1.37191e+02	6.99000e+02	1.28204e+00	1.39500e+02
700	1.37699e+02	7.00000e+02	1.28200e+00	1.40000e+02
701	1.38215e+02	7.01000e+02	1.28196e+00	1.40500e+02
702	1.38715e+02	7.02000e+02	1.28193e+00	1.41000e+02
703	1.39215e+02	7.03000e+02	1.28189e+00	1.41500e+02
704	1.39739e+02	7.04000e+02	1.28186e+00	1.42000e+02
705	1.40250e+02	7.05000e+02	1.28183e+00	1.42500e+02
706	1.40771e+02	7.06000e+02	1.28179e+00	1.43000e+02
707	1.41265e+02	7.07000e+02	1.28175e+00	1.43500e+02
708	1.41795e+02	7.08000e+02	1.28171e+00	1.44000e+02
709	1.42301e+02	7.09000e+02	1.28166e+00	1.44500e+02
710	1.42791e+02	7.10000e+02	1.28160e+00	1.45000e+02
711	1.43299e+02	7.11000e+02	1.28155e+00	1.45500e+02
712	1.43786e+02	7.12000e+02	1.28148e+00	1.46000e+02
713	1.44258e+02	7.13000e+02	1.28142e+00	1.46500e+02
714	1.44764e+02	7.14000e+02	1.28136e+00	1.47000e+02
715	1.45309e+02	7.15000e+02	1.28129e+00	1.47500e+02
716	1.45827e+02	7.16000e+02	1.28122e+00	1.48000e+02
717	1.46324e+02	7.17000e+02	1.28115e+00	1.48500e+02
718	1.46840e+02	7.18000e+02	1.28107e+00	1.49000e+02
719	1.47353e+02	7.19000e+02	1.28099e+00	1.49500e+02
720	1.47838e+02	7.20000e+02	1.28089e+00	1.50000e+02
721	1.48350e+02	7.21000e+02	1.28080e+00	1.50500e+02
722	1.48852e+02	7.22000e+02	1.28070e+00	1.51000e+02
723	1.49350e+02	7.23000e+02	1.28061e+00	1.51500e+02
724	1.49852e+02	7.24000e+02	1.28050e+00	1.52000e+02
725	1.50360e+02	7.25000e+02	1.28040e+00	1.52500e+02
726	1.50872e+02	7.26000e+02	1.28030e+00	1.53000e+02
727	1.51360e+02	7.27000e+02	1.28021e+00	1.53500e+02
728	1.51867e+02	7.28000e+02	1.28012e+00	1.54000e+02
729	1.52359e+02	7.29000e+02	1.28003e+00	1.54500e+02
730	1.52869e+02	7.30000e+02	1.27994e+00	1.55000e+02
731	1.53375e+02	7.31000e+02	1.27985e+00	1.55500e+02
732	1.53872e+02	7.32000e+02	1.27976e+00	1.56000e+02
733	1.54379e+02	7.33000e+02	1.27967e+00	1.56500e+02
734	1.54887e+02	7.34000e+02	1.27957e+00	1.57000e+02
735	1.55388e+02	7.35000e+02	1.27948e+00	1.57500e+02
736	1.55892e+02	7.36000e+02	1.27937e+00	1.58000e+02
737	1.56401e+02	7.37000e+02	1.27926e+00	1.58500e+02
738	1.56897e+02	7.38000e+02	1.27916e+00	1.59000e+02
739	1.57390e+02	7.39000e+02	1.27905e+00	1.59500e+02
740	1.57905e+02	7.40000e+02	1.27894e+00	1.60000e+02
741	1.58403e+02	7.41000e+02	1.27883e+00	1.60500e+02
742	1.58917e+02	7.42000e+02	1.27872e+00	1.61000e+02
743	1.59405e+02	7.43000e+02	1.27861e+00	1.61500e+02
744	1.59922e+02	7.44000e+02	1.27849e+00	1.62000e+02
745	1.60427e+02	7.45000e+02	1.27837e+00	1.62500e+02
746	1.60916e+02	7.46000e+02	1.27825e+00	1.63000e+02
747	1.61425e+02	7.47000e+02	1.27812e+00	1.63500e+02
748	1.61923e+02	7.48000e+02	1.27799e+00	1.64000e+02
749	1.62428e+02	7.49000e+02	1.27785e+00	1.64500e+02
750	1.62943e+02	7.50000e+02	1.27771e+00	1.65000e+02
751	1.63447e+02	7.51000e+02	1.27757e+00	1.65500e+02
752	1.63963e+02	7.52000e+02	1.27741e+00	1.66000e+02
753	1.64455e+02	7.53000e+02	1.27726e+00	1.66500e+02
754	1.64954e+02	7.54000e+02	1.27710e+00	1.67000e+02
755	1.65462e+02	7.55000e+02	1.27695e+00	1.67500e+02
756	1.65978e+02	7.56000e+02	1.27679e+00	1.68000e+02
757	1.66475e+02	7.57000e+02	1.27664e+00	1.68500e+02
758	1.66975e+02	7.58000e+02	1.27648e+00	1.69000e+02
759	1.67486e+02	7.59000e+02	1.27633e+00	1.69500e+02
760	1.67986e+02	7.60000e+02	1.27617e+00	1.70000e+02
761	1.68498e+02	7.61000e+02	1.27600e+00	1.70500e+02
762	1.69008e+02	7.62000e+02	1.27583e+00	1.71000e+02
763	1.69513e+02	7.63000e+02	1.27565e+00	1.71500e+02
764	1.70010e+02	7.64000e+02	1.27544e+00	1.72000e+02
765	1.70526e+02	7.65000e+02	1.27524e+00	1.72500e+02
766	1.71031e+02	7.66000e+02	1.27503e+00	1.73000e+02
767	1.71544e+02	7.67000e+02	1.27482e+00	1.73500e+02
768	1.72049e+02	7.68000e+02	1.27459e+00	1.74000e+02
769	1.72543e+02	7.69000e+02	1.27437e+00	1.74500e+02
770	1.73057e+02	7.70000e+02	1.27415e+00	1.75000e+02
771	1.73561e+02	7.71000e+02	1.27392e+00	1.75500e+02
772	1.74054e+02	7.72000e+02	1.27369e+00	1.76000e+02
773	1.74571e+02	7.73000e+02	1.27346e+00	1.76500e+02
774	1.75066e+02	7.74000e+02	1.27322e+00	1.77000e+02
775	1.75561e+02	7.75000e+02	1.27297e+00	1.77500e+02
776	1.76062e+02	7.76000e+02	1.27270e+00	1.78000e+02
777	1.76578e+02	7.77000e+02	1.27242e+00	1.78500e+02
778	1.77092e+02	7.78000e+02	1.27213e+00	1.79000e+02
779	1.77594e+02	7.79000e+02	1.27182e+00	1.79500e+02
780	1.78099e+02	7.80000e+02	1.27146e+00	1.80000e+02
781	1.78606e+02	7.81000e+02	1.27110e+00	1.80500e+02
782	1.79117e+02	7.82000e+02	1.27074e+00	1.81000e+02
783	1.79625e+02	7.83000e+02	1.27036e+00	1.81500e+02
784	1.80136e+02	7.84000e+02	1.26993e+00	1.82000e+02
785	1.80644e+02	7.85000e+02	1.26950e+00	1.82500e+02
