index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
683	1.30994e+02	6.83000e+02	3.04480e+00	1.31500e+02
684	1.31496e+02	6.84000e+02	3.04477e+00	1.32000e+02
685	1.31999e+02	6.85000e+02	3.04475e+00	1.32500e+02
686	1.32502e+02	6.86000e+02	3.04473e+00	1.33000e+02
687	1.32989e+02	6.87000e+02	3.04471e+00	1.33500e+02
688	1.33499e+02	6.88000e+02	3.04471e+00	1.34000e+02
689	1.34002e+02	6.89000e+02	3.04469e+00	1.34500e+02
690	1.34496e+02	6.90000e+02	3.04468e+00	1.35000e+02
691	1.35001e+02	6.91000e+02	3.04466e+00	1.35500e+02
692	1.35504e+02	6.92000e+02	3.04464e+00	1.36000e+02
693	1.36001e+02	6.93000e+02	3.04462e+00	1.36500e+02
694	1.36504e+02	6.94000e+02	3.04460e+00	1.37000e+02
695	1.36998e+02	6.95000e+02	3.04458e+00	1.37500e+02
696	1.37497e+02	6.96000e+02	3.04455e+00	1.38000e+02
697	1.38021e+02	6.97000e+02	3.04452e+00	1.38500e+02
698	1.38522e+02	6.98000e+02	3.04449e+00	1.39000e+02
699	1.39013e+02	6.99000e+02	3.04447e+00	1.39500e+02
700	1.39526e+02	7.00000e+02	3.04444e+00	1.40000e+02
701	1.40016e+02	7.01000e+02	3.04441e+00	1.40500e+02
702	1.40517e+02	7.02000e+02	3.04438e+00	1.41000e+02
703	1.41027e+02	7.03000e+02	3.04436e+00	1.41500e+02
704	1.41525e+02	7.04000e+02	3.04434e+00	1.42000e+02
705	1.42030e+02	7.05000e+02	3.04432e+00	1.42500e+02
706	1.42539e+02	7.06000e+02	3.04430e+00	1.43000e+02
707	1.43036e+02	7.07000e+02	3.04428e+00	1.43500e+02
708	1.43544e+02	7.08000e+02	3.04427e+00	1.44000e+02
709	1.44048e+02	7.09000e+02	3.04426e+00	1.44500e+02
710	1.44558e+02	7.10000e+02	3.04424e+00	1.45000e+02
711	1.45053e+02	7.11000e+02	3.04423e+00	1.45500e+02
712	1.45549e+02	7.12000e+02	3.04422e+00	1.46000e+02
713	1.46064e+02	7.13000e+02	3.04421e+00	1.46500e+02
714	1.46568e+02	7.14000e+02	3.04419e+00	1.47000e+02
715	1.47064e+02	7.15000e+02	3.04417e+00	1.47500e+02
716	1.47564e+02	7.16000e+02	3.04415e+00	1.48000e+02
717	1.48064e+02	7.17000e+02	3.04412e+00	1.48500e+02
718	1.48560e+02	7.18000e+02	3.04408e+00	1.49000e+02
719	1.49072e+02	7.19000e+02	3.04404e+00	1.49500e+02
720	1.49593e+02	7.20000e+02	3.04398e+00	1.50000e+02
721	1.50088e+02	7.21000e+02	3.04392e+00	1.50500e+02
722	1.50588e+02	7.22000e+02	3.04386e+00	1.51000e+02
723	1.51095e+02	7.23000e+02	3.04380e+00	1.51500e+02
724	1.51589e+02	7.24000e+02	3.04372e+00	1.52000e+02
725	1.52104e+02	7.25000e+02	3.04364e+00	1.52500e+02
726	1.52602e+02	7.26000e+02	3.04357e+00	1.53000e+02
727	1.53119e+02	7.27000e+02	3.04349e+00	1.53500e+02
728	1.53616e+02	7.28000e+02	3.04341e+00	1.54000e+02
729	1.54128e+02	7.29000e+02	3.04333e+00	1.54500e+02
730	1.54631e+02	7.30000e+02	3.04325e+00	1.55000e+02
731	1.55131e+02	7.31000e+02	3.04317e+00	1.55500e+02
732	1.55640e+02	7.32000e+02	3.04308e+00	1.56000e+02
733	1.56142e+02	7.33000e+02	3.04299e+00	1.56500e+02
734	1.56642e+02	7.34000e+02	3.04290e+00	1.57000e+02
735	1.57157e+02	7.35000e+02	3.04281e+00	1.57500e+02
736	1.57662e+02	7.36000e+02	3.04270e+00	1.58000e+02
737	1.58167e+02	7.37000e+02	3.04260e+00	1.58500e+02
738	1.58676e+02	7.38000e+02	3.04250e+00	1.59000e+02
739	1.59166e+02	7.39000e+02	3.04240e+00	1.59500e+02
740	1.59663e+02	7.40000e+02	3.04229e+00	1.60000e+02
741	1.60175e+02	7.41000e+02	3.04219e+00	1.60500e+02
742	1.60688e+02	7.42000e+02	3.04208e+00	1.61000e+02
743	1.61184e+02	7.43000e+02	3.04198e+00	1.61500e+02
744	1.61699e+02	7.44000e+02	3.04187e+00	1.62000e+02
745	1.62192e+02	7.45000e+02	3.04177e+00	1.62500e+02
746	1.62702e+02	7.46000e+02	3.04166e+00	1.63000e+02
747	1.63208e+02	7.47000e+02	3.04155e+00	1.63500e+02
748	1.63717e+02	7.48000e+02	3.04144e+00	1.64000e+02
749	1.64230e+02	7.49000e+02	3.04134e+00	1.64500e+02
750	1.64731e+02	7.50000e+02	3.04123e+00	1.65000e+02
751	1.65235e+02	7.51000e+02	3.04112e+00	1.65500e+02
752	1.65739e+02	7.52000e+02	3.04100e+00	1.66000e+02
753	1.66241e+02	7.53000e+02	3.04088e+00	1.66500e+02
754	1.66759e+02	7.54000e+02	3.04075e+00	1.67000e+02
755	1.67261e+02	7.55000e+02	3.04061e+00	1.67500e+02
756	1.67754e+02	7.56000e+02	3.04045e+00	1.68000e+02
757	1.68273e+02	7.57000e+02	3.04029e+00	1.68500e+02
758	1.68781e+02	7.58000e+02	3.04012e+00	1.69000e+02
759	1.69284e+02	7.59000e+02	3.03994e+00	1.69500e+02
760	1.69790e+02	7.60000e+02	3.03972e+00	1.70000e+02
761	1.70290e+02	7.61000e+02	3.03950e+00	1.70500e+02
762	1.70810e+02	7.62000e+02	3.03929e+00	1.71000e+02
763	1.71304e+02	7.63000e+02	3.03908e+00	1.71500e+02
764	1.71811e+02	7.64000e+02	3.03885e+00	1.72000e+02
765	1.72318e+02	7.65000e+02	3.03864e+00	1.72500e+02
766	1.72831e+02	7.66000e+02	3.03842e+00	1.73000e+02
767	1.73338e+02	7.67000e+02	3.03820e+00	1.73500e+02
768	1.73852e+02	7.68000e+02	3.03800e+00	1.74000e+02
769	1.74353e+02	7.69000e+02	3.03778e+00	1.74500e+02
770	1.74868e+02	7.70000e+02	3.03757e+00	1.75000e+02
771	1.75380e+02	7.71000e+02	3.03736e+00	1.75500e+02
772	1.75883e+02	7.72000e+02	3.03715e+00	1.76000e+02
773	1.76387e+02	7.73000e+02	3.03693e+00	1.76500e+02
774	1.76901e+02	7.74000e+02	3.03670e+00	1.77000e+02
775	1.77398e+02	7.75000e+02	3.03646e+00	1.77500e+02
776	1.77918e+02	7.76000e+02	3.03619e+00	1.78000e+02
777	1.78425e+02	7.77000e+02	3.03592e+00	1.78500e+02
778	1.78930e+02	7.78000e+02	3.03563e+00	1.79000e+02
779	1.79438e+02	7.79000e+02	3.03532e+00	1.79500e+02
780	1.79946e+02	7.80000e+02	3.03496e+00	1.80000e+02
781	1.80447e+02	7.81000e+02	3.03460e+00	1.80500e+02
782	1.80953e+02	7.82000e+02	3.03424e+00	1.81000e+02
783	1.81462e+02	7.83000e+02	3.03387e+00	1.81500e+02
784	1.81983e+02	7.84000e+02	3.03346e+00	1.82000e+02
785	1.82496e+02	7.85000e+02	3.03305e+00	1.82500e+02
786	1.83000e+02	7.86000e+02	3.03264e+00	1.83000e+02
787	1.83506e+02	7.87000e+02	3.03222e+00	1.83500e+02
788	1.84015e+02	7.88000e+02	3.03175e+00	1.84000e+02
789	1.84519e+02	7.89000e+02	3.03129e+00	1.84500e+02
790	1.85040e+02	7.90000e+02	3.03082e+00	1.85000e+02
791	1.85543e+02	7.91000e+02	3.03033e+00	1.85500e+02
792	1.86059e+02	7.92000e+02	3.02979e+00	1.86000e+02
793	1.86576e+02	7.93000e+02	3.02925e+00	1.86500e+02
794	1.87079e+02	7.94000e+02	3.02870e+00	1.87000e+02
795	1.87590e+02	7.95000e+02	3.02813e+00	1.87500e+02
796	1.88097e+02	7.96000e+02	3.02751e+00	1.88000e+02
797	1.88620e+02	7.97000e+02	3.02689e+00	1.88500e+02
798	1.89125e+02	7.98000e+02	3.02625e+00	1.89000e+02
799	1.89624e+02	7.99000e+02	3.02561e+00	1.89500e+02
800	1.90141e+02	8.00000e+02	3.02492e+00	1.90000e+02
801	1.90648e+02	8.01000e+02	3.02424e+00	1.90500e+02
802	1.91152e+02	8.02000e+02	3.02355e+00	1.91000e+02
803	1.91675e+02	8.03000e+02	3.02286e+00	1.91500e+02
804	1.92185e+02	8.04000e+02	3.02212e+00	1.92000e+02
805	1.92698e+02	8.05000e+02	3.02140e+00	1.92500e+02
806	1.93200e+02	8.06000e+02	3.02066e+00	1.93000e+02
807	1.93706e+02	8.07000e+02	3.01991e+00	1.93500e+02
808	1.94237e+02	8.08000e+02	3.01913e+00	1.94000e+02
809	1.94733e+02	8.09000e+02	3.01834e+00	1.94500e+02
810	1.95250e+02	8.10000e+02	3.01755e+00	1.95000e+02
811	1.95760e+02	8.11000e+02	3.01676e+00	1.95500e+02
812	1.96256e+02	8.12000e+02	3.01592e+00	1.96000e+02
813	1.96758e+02	8.13000e+02	3.01509e+00	1.96500e+02
814	1.97275e+02	8.14000e+02	3.01425e+00	1.97000e+02
815	1.97784e+02	8.15000e+02	3.01341e+00	1.97500e+02
816	1.98301e+02	8.16000e+02	3.01254e+00	1.98000e+02
817	1.98813e+02	8.17000e+02	3.01167e+00	1.98500e+02
818	1.99314e+02	8.18000e+02	3.01080e+00	1.99000e+02
819	1.99837e+02	8.19000e+02	3.00991e+00	1.99500e+02
820	2.00346e+02	8.20000e+02	3.00901e+00	2.00000e+02
821	2.00845e+02	8.21000e+02	3.00811e+00	2.00500e+02
822	2.01365e+02	8.22000e+02	3.00721e+00	2.01000e+02
823	2.01870e+02	8.23000e+02	3.00630e+00	2.01500e+02
824	2.02385e+02	8.24000e+02	3.00538e+00	2.02000e+02
825	2.02890e+02	8.25000e+02	3.00447e+00	2.02500e+02
826	2.03401e+02	8.26000e+02	3.00356e+00	2.03000e+02
827	2.03919e+02	8.27000e+02	3.00265e+00	2.03500e+02
828	2.04435e+02	8.28000e+02	3.00173e+00	2.04000e+02
829	2.04947e+02	8.29000e+02	3.00082e+00	2.04500e+02
830	2.05452e+02	8.30000e+02	2.99991e+00	2.05000e+02
831	2.05950e+02	8.31000e+02	2.99901e+00	2.05500e+02
832	2.06470e+02	8.32000e+02	2.99812e+00	2.06000e+02
833	2.06983e+02	8.33000e+02	2.99722e+00	2.06500e+02
834	2.07491e+02	8.34000e+02	2.99633e+00	2.07000e+02
835	2.08005e+02	8.35000e+02	2.99545e+00	2.07500e+02
836	2.08516e+02	8.36000e+02	2.99457e+00	2.08000e+02
837	2.09031e+02	8.37000e+02	2.99370e+00	2.08500e+02
838	2.09533e+02	8.38000e+02	2.99282e+00	2.09000e+02
839	2.10049e+02	8.39000e+02	2.99195e+00	2.09500e+02
840	2.10549e+02	8.40000e+02	2.99108e+00	2.10000e+02
841	2.11062e+02	8.41000e+02	2.99022e+00	2.10500e+02
842	2.11578e+02	8.42000e+02	2.98937e+00	2.11000e+02
843	2.12087e+02	8.43000e+02	2.98852e+00	2.11500e+02
844	2.12598e+02	8.44000e+02	2.98769e+00	2.12000e+02
845	2.13108e+02	8.45000e+02	2.98688e+00	2.12500e+02
846	2.13625e+02	8.46000e+02	2.98607e+00	2.13000e+02
847	2.14131e+02	8.47000e+02	2.98528e+00	2.13500e+02
848	2.14652e+02	8.48000e+02	2.98454e+00	2.14000e+02
849	2.15148e+02	8.49000e+02	2.98380e+00	2.14500e+02
850	2.15675e+02	8.50000e+02	2.98308e+00	2.15000e+02
851	2.16175e+02	8.51000e+02	2.98236e+00	2.15500e+02
852	2.16692e+02	8.52000e+02	2.98170e+00	2.16000e+02
