index	ts	t	weight	tr
[#]	[°C]	[s]	[mg]	[°C]
643	1.30362e+02	6.43000e+02	1.03369e+00	1.33000e+02
644	1.31377e+02	6.44000e+02	1.03367e+00	1.34000e+02
645	1.32377e+02	6.45000e+02	1.03364e+00	1.35000e+02
646	1.33379e+02	6.46000e+02	1.03361e+00	1.36000e+02
647	1.34387e+02	6.47000e+02	1.03359e+00	1.37000e+02
648	1.35385e+02	6.48000e+02	1.03359e+00	1.38000e+02
649	1.36389e+02	6.49000e+02	1.03358e+00	1.39000e+02
650	1.37384e+02	6.50000e+02	1.03358e+00	1.40000e+02
651	1.38394e+02	6.51000e+02	1.03357e+00	1.41000e+02
652	1.39376e+02	6.52000e+02	1.03359e+00	1.42000e+02
653	1.40398e+02	6.53000e+02	1.03360e+00	1.43000e+02
654	1.41390e+02	6.54000e+02	1.03361e+00	1.44000e+02
655	1.42381e+02	6.55000e+02	1.03362e+00	1.45000e+02
656	1.43383e+02	6.56000e+02	1.03363e+00	1.46000e+02
657	1.44391e+02	6.57000e+02	1.03364e+00	1.47000e+02
658	1.45372e+02	6.58000e+02	1.03365e+00	1.48000e+02
659	1.46362e+02	6.59000e+02	1.03365e+00	1.49000e+02
660	1.47358e+02	6.60000e+02	1.03366e+00	1.50000e+02
661	1.48359e+02	6.61000e+02	1.03366e+00	1.51000e+02
662	1.49356e+02	6.62000e+02	1.03367e+00	1.52000e+02
663	1.50351e+02	6.63000e+02	1.03367e+00	1.53000e+02
664	1.51337e+02	6.64000e+02	1.03367e+00	1.54000e+02
665	1.52333e+02	6.65000e+02	1.03366e+00	1.55000e+02
666	1.53322e+02	6.66000e+02	1.03365e+00	1.56000e+02
667	1.54331e+02	6.67000e+02	1.03364e+00	1.57000e+02
668	1.55317e+02	6.68000e+02	1.03362e+00	1.58000e+02
669	1.56316e+02	6.69000e+02	1.03360e+00	1.59000e+02
670	1.57307e+02	6.70000e+02	1.03359e+00	1.60000e+02
671	1.58285e+02	6.71000e+02	1.03357e+00	1.61000e+02
672	1.59283e+02	6.72000e+02	1.03356e+00	1.62000e+02
673	1.60289e+02	6.73000e+02	1.03354e+00	1.63000e+02
674	1.61270e+02	6.74000e+02	1.03352e+00	1.64000e+02
675	1.62270e+02	6.75000e+02	1.03350e+00	1.65000e+02
676	1.63254e+02	6.76000e+02	1.03349e+00	1.66000e+02
677	1.64251e+02	6.77000e+02	1.03347e+00	1.67000e+02
678	1.65245e+02	6.78000e+02	1.03345e+00	1.68000e+02
679	1.66228e+02	6.79000e+02	1.03344e+00	1.69000e+02
680	1.67225e+02	6.80000e+02	1.03343e+00	1.70000e+02
681	1.68210e+02	6.81000e+02	1.03342e+00	1.71000e+02
682	1.69211e+02	6.82000e+02	1.03341e+00	1.72000e+02
683	1.70193e+02	6.83000e+02	1.03341e+00	1.73000e+02
684	1.71192e+02	6.84000e+02	1.03341e+00	1.74000e+02
685	1.72178e+02	6.85000e+02	1.03341e+00	1.75000e+02
686	1.73173e+02	6.86000e+02	1.03340e+00	1.76000e+02
687	1.74169e+02	6.87000e+02	1.03339e+00	1.77000e+02
688	1.75163e+02	6.88000e+02	1.03337e+00	1.78000e+02
689	1.76164e+02	6.89000e+02	1.03334e+00	1.79000e+02
690	1.77147e+02	6.90000e+02	1.03330e+00	1.80000e+02
691	1.78139e+02	6.91000e+02	1.03327e+00	1.81000e+02
692	1.79141e+02	6.92000e+02	1.03321e+00	1.82000e+02
693	1.80128e+02	6.93000e+02	1.03317e+00	1.83000e+02
694	1.81125e+02	6.94000e+02	1.03313e+00	1.84000e+02
695	1.82097e+02	6.95000e+02	1.03310e+00	1.85000e+02
696	1.83098e+02	6.96000e+02	1.03308e+00	1.86000e+02
697	1.84090e+02	6.97000e+02	1.03306e+00	1.87000e+02
698	1.85088e+02	6.98000e+02	1.03303e+00	1.88000e+02
699	1.86072e+02	6.99000e+02	1.03301e+00	1.89000e+02
700	1.87061e+02	7.00000e+02	1.03298e+00	1.90000e+02
701	1.88062e+02	7.01000e+02	1.03294e+00	1.91000e+02
702	1.89057e+02	7.02000e+02	1.03290e+00	1.92000e+02
703	1.90042e+02	7.03000e+02	1.03286e+00	1.93000e+02
704	1.91039e+02	7.04000e+02	1.03280e+00	1.94000e+02
705	1.92038e+02	7.05000e+02	1.03274e+00	1.95000e+02
706	1.93032e+02	7.06000e+02	1.03268e+00	1.96000e+02
707	1.94022e+02	7.07000e+02	1.03262e+00	1.97000e+02
708	1.95023e+02	7.08000e+02	1.03254e+00	1.98000e+02
709	1.96015e+02	7.09000e+02	1.03247e+00	1.99000e+02
710	1.97005e+02	7.10000e+02	1.03239e+00	2.00000e+02
711	1.98007e+02	7.11000e+02	1.03232e+00	2.01000e+02
712	1.99002e+02	7.12000e+02	1.03222e+00	2.02000e+02
713	1.99996e+02	7.13000e+02	1.03213e+00	2.03000e+02
714	2.01001e+02	7.14000e+02	1.03204e+00	2.04000e+02
715	2.01990e+02	7.15000e+02	1.03194e+00	2.05000e+02
716	2.02986e+02	7.16000e+02	1.03182e+00	2.06000e+02
717	2.03994e+02	7.17000e+02	1.03169e+00	2.07000e+02
718	2.04980e+02	7.18000e+02	1.03156e+00	2.08000e+02
719	2.05979e+02	7.19000e+02	1.03141e+00	2.09000e+02
720	2.06982e+02	7.20000e+02	1.03123e+00	2.10000e+02
721	2.07973e+02	7.21000e+02	1.03105e+00	2.11000e+02
722	2.08965e+02	7.22000e+02	1.03086e+00	2.12000e+02
723	2.09977e+02	7.23000e+02	1.03067e+00	2.13000e+02
724	2.10961e+02	7.24000e+02	1.03045e+00	2.14000e+02
725	2.11958e+02	7.25000e+02	1.03024e+00	2.15000e+02
726	2.12955e+02	7.26000e+02	1.03004e+00	2.16000e+02
727	2.13951e+02	7.27000e+02	1.02983e+00	2.17000e+02
728	2.14941e+02	7.28000e+02	1.02962e+00	2.18000e+02
729	2.15928e+02	7.29000e+02	1.02940e+00	2.19000e+02
730	2.16930e+02	7.30000e+02	1.02918e+00	2.20000e+02
731	2.17931e+02	7.31000e+02	1.02895e+00	2.21000e+02
732	2.18919e+02	7.32000e+02	1.02870e+00	2.22000e+02
733	2.19917e+02	7.33000e+02	1.02846e+00	2.23000e+02
734	2.20916e+02	7.34000e+02	1.02821e+00	2.24000e+02
735	2.21904e+02	7.35000e+02	1.02796e+00	2.25000e+02
736	2.22904e+02	7.36000e+02	1.02769e+00	2.26000e+02
737	2.23903e+02	7.37000e+02	1.02743e+00	2.27000e+02
738	2.24898e+02	7.38000e+02	1.02717e+00	2.28000e+02
739	2.25896e+02	7.39000e+02	1.02691e+00	2.29000e+02
740	2.26888e+02	7.40000e+02	1.02667e+00	2.30000e+02
741	2.27870e+02	7.41000e+02	1.02642e+00	2.31000e+02
742	2.28875e+02	7.42000e+02	1.02618e+00	2.32000e+02
743	2.29869e+02	7.43000e+02	1.02594e+00	2.33000e+02
744	2.30872e+02	7.44000e+02	1.02570e+00	2.34000e+02
745	2.31878e+02	7.45000e+02	1.02546e+00	2.35000e+02
746	2.32871e+02	7.46000e+02	1.02522e+00	2.36000e+02
747	2.33872e+02	7.47000e+02	1.02497e+00	2.37000e+02
748	2.34876e+02	7.48000e+02	1.02472e+00	2.38000e+02
749	2.35886e+02	7.49000e+02	1.02447e+00	2.39000e+02
750	2.36882e+02	7.50000e+02	1.02421e+00	2.40000e+02
751	2.37884e+02	7.51000e+02	1.02394e+00	2.41000e+02
752	2.38896e+02	7.52000e+02	1.02365e+00	2.42000e+02
753	2.39901e+02	7.53000e+02	1.02336e+00	2.43000e+02
754	2.40910e+02	7.54000e+02	1.02306e+00	2.44000e+02
755	2.41905e+02	7.55000e+02	1.02275e+00	2.45000e+02
756	2.42900e+02	7.56000e+02	1.02244e+00	2.46000e+02
757	2.43904e+02	7.57000e+02	1.02217e+00	2.47000e+02
758	2.44899e+02	7.58000e+02	1.02192e+00	2.48000e+02
759	2.45899e+02	7.59000e+02	1.02169e+00	2.49000e+02
760	2.46900e+02	7.60000e+02	1.02153e+00	2.50000e+02
761	2.47905e+02	7.61000e+02	1.02133e+00	2.51000e+02
762	2.48910e+02	7.62000e+02	1.02111e+00	2.52000e+02
763	2.49916e+02	7.63000e+02	1.02088e+00	2.53000e+02
764	2.50934e+02	7.64000e+02	1.02062e+00	2.54000e+02
765	2.51929e+02	7.65000e+02	1.02034e+00	2.55000e+02
766	2.52950e+02	7.66000e+02	1.02005e+00	2.56000e+02
767	2.53973e+02	7.67000e+02	1.01975e+00	2.57000e+02
768	2.54998e+02	7.68000e+02	1.01939e+00	2.58000e+02
769	2.56020e+02	7.69000e+02	1.01905e+00	2.59000e+02
770	2.57064e+02	7.70000e+02	1.01873e+00	2.60000e+02
771	2.58100e+02	7.71000e+02	1.01840e+00	2.61000e+02
772	2.59114e+02	7.72000e+02	1.01808e+00	2.62000e+02
773	2.60147e+02	7.73000e+02	1.01776e+00	2.63000e+02
774	2.61171e+02	7.74000e+02	1.01744e+00	2.64000e+02
775	2.62183e+02	7.75000e+02	1.01711e+00	2.65000e+02
776	2.63205e+02	7.76000e+02	1.01679e+00	2.66000e+02
777	2.64231e+02	7.77000e+02	1.01646e+00	2.67000e+02
778	2.65248e+02	7.78000e+02	1.01613e+00	2.68000e+02
779	2.66263e+02	7.79000e+02	1.01580e+00	2.69000e+02
780	2.67299e+02	7.80000e+02	1.01547e+00	2.70000e+02
781	2.68344e+02	7.81000e+02	1.01514e+00	2.71000e+02
782	2.69369e+02	7.82000e+02	1.01480e+00	2.72000e+02
783	2.70398e+02	7.83000e+02	1.01446e+00	2.73000e+02
784	2.71414e+02	7.84000e+02	1.01411e+00	2.74000e+02
785	2.72434e+02	7.85000e+02	1.01376e+00	2.75000e+02
786	2.73443e+02	7.86000e+02	1.01341e+00	2.76000e+02
787	2.74436e+02	7.87000e+02	1.01306e+00	2.77000e+02
788	2.75435e+02	7.88000e+02	1.01270e+00	2.78000e+02
789	2.76442e+02	7.89000e+02	1.01235e+00	2.79000e+02
790	2.77461e+02	7.90000e+02	1.01200e+00	2.80000e+02
791	2.78460e+02	7.91000e+02	1.01166e+00	2.81000e+02
792	2.79476e+02	7.92000e+02	1.01132e+00	2.82000e+02
793	2.80494e+02	7.93000e+02	1.01098e+00	2.83000e+02
794	2.81527e+02	7.94000e+02	1.01064e+00	2.84000e+02
795	2.82579e+02	7.95000e+02	1.01029e+00	2.85000e+02
796	2.83614e+02	7.96000e+02	1.00992e+00	2.86000e+02
797	2.84631e+02	7.97000e+02	1.00956e+00	2.87000e+02
798	2.85644e+02	7.98000e+02	1.00918e+00	2.88000e+02
799	2.86660e+02	7.99000e+02	1.00879e+00	2.89000e+02
800	2.87690e+02	8.00000e+02	1.00837e+00	2.90000e+02
801	2.88713e+02	8.01000e+02	1.00794e+00	2.91000e+02
