Index	Ts	t	Weight	Tr
[#]	[°C]	[s]	[mg]	[°C]
682	1.30241e+02	6.82000e+02	2.96644	131.0
683	1.30751e+02	6.83000e+02	2.96642	131.5
684	1.31242e+02	6.84000e+02	2.96638	132.0
685	1.31748e+02	6.85000e+02	2.96634	132.5
686	1.32237e+02	6.86000e+02	2.96632	133.0
687	1.32733e+02	6.87000e+02	2.96629	133.5
688	1.33246e+02	6.88000e+02	2.96628	134.0
689	1.33754e+02	6.89000e+02	2.96628	134.5
690	1.34244e+02	6.90000e+02	2.96628	135.0
691	1.34752e+02	6.91000e+02	2.96628	135.5
692	1.35245e+02	6.92000e+02	2.96631	136.0
693	1.35749e+02	6.93000e+02	2.96632	136.5
694	1.36248e+02	6.94000e+02	2.96634	137.0
695	1.36747e+02	6.95000e+02	2.96635	137.5
696	1.37249e+02	6.96000e+02	2.96636	138.0
697	1.37754e+02	6.97000e+02	2.96636	138.5
698	1.38266e+02	6.98000e+02	2.96636	139.0
699	1.38756e+02	6.99000e+02	2.96635	139.5
700	1.39263e+02	7.00000e+02	2.96632	140.0
701	1.39778e+02	7.01000e+02	2.96629	140.5
702	1.40264e+02	7.02000e+02	2.96626	141.0
703	1.40772e+02	7.03000e+02	2.96622	141.5
704	1.41276e+02	7.04000e+02	2.96617	142.0
705	1.41788e+02	7.05000e+02	2.96613	142.5
706	1.42288e+02	7.06000e+02	2.96608	143.0
707	1.42784e+02	7.07000e+02	2.96604	143.5
708	1.43284e+02	7.08000e+02	2.966	144.0
709	1.43782e+02	7.09000e+02	2.96596	144.5
710	1.44283e+02	7.10000e+02	2.96593	145.0
711	1.44790e+02	7.11000e+02	2.96589	145.5
712	1.45296e+02	7.12000e+02	2.96586	146.0
713	1.45786e+02	7.13000e+02	2.96583	146.5
714	1.46306e+02	7.14000e+02	2.9658	147.0
715	1.46805e+02	7.15000e+02	2.96577	147.5
716	1.47304e+02	7.16000e+02	2.96574	148.0
717	1.47802e+02	7.17000e+02	2.96571	148.5
718	1.48314e+02	7.18000e+02	2.96568	149.0
719	1.48803e+02	7.19000e+02	2.96566	149.5
720	1.49319e+02	7.20000e+02	2.96563	150.0
721	1.49826e+02	7.21000e+02	2.96562	150.5
722	1.50319e+02	7.22000e+02	2.96561	151.0
723	1.50820e+02	7.23000e+02	2.96561	151.5
724	1.51325e+02	7.24000e+02	2.96562	152.0
725	1.51834e+02	7.25000e+02	2.96561	152.5
726	1.52328e+02	7.26000e+02	2.96559	153.0
727	1.52828e+02	7.27000e+02	2.96557	153.5
728	1.53338e+02	7.28000e+02	2.96552	154.0
729	1.53849e+02	7.29000e+02	2.96548	154.5
730	1.54355e+02	7.30000e+02	2.96544	155.0
731	1.54852e+02	7.31000e+02	2.9654	155.5
732	1.55360e+02	7.32000e+02	2.96534	156.0
733	1.55865e+02	7.33000e+02	2.96529	156.5
734	1.56369e+02	7.34000e+02	2.96523	157.0
735	1.56873e+02	7.35000e+02	2.96517	157.5
736	1.57371e+02	7.36000e+02	2.96511	158.0
737	1.57879e+02	7.37000e+02	2.96506	158.5
738	1.58375e+02	7.38000e+02	2.96502	159.0
739	1.58891e+02	7.39000e+02	2.96497	159.5
740	1.59392e+02	7.40000e+02	2.96494	160.0
741	1.59893e+02	7.41000e+02	2.96489	160.5
742	1.60389e+02	7.42000e+02	2.96485	161.0
743	1.60901e+02	7.43000e+02	2.96481	161.5
744	1.61412e+02	7.44000e+02	2.96477	162.0
745	1.61907e+02	7.45000e+02	2.96474	162.5
746	1.62414e+02	7.46000e+02	2.96471	163.0
747	1.62921e+02	7.47000e+02	2.96469	163.5
748	1.63425e+02	7.48000e+02	2.96468	164.0
749	1.63927e+02	7.49000e+02	2.96466	164.5
750	1.64431e+02	7.50000e+02	2.96463	165.0
751	1.64935e+02	7.51000e+02	2.9646	165.5
752	1.65443e+02	7.52000e+02	2.96456	166.0
753	1.65950e+02	7.53000e+02	2.96452	166.5
754	1.66450e+02	7.54000e+02	2.96449	167.0
