Index	Ts	t	Weight	Tr
[#]	[°C]	[s]	[mg]	[°C]
682	1.30187e+02	6.82000e+02	2.98964	131.0
683	1.30690e+02	6.83000e+02	2.9896	131.5
684	1.31201e+02	6.84000e+02	2.98955	132.0
685	1.31691e+02	6.85000e+02	2.98951	132.5
686	1.32187e+02	6.86000e+02	2.98946	133.0
687	1.32681e+02	6.87000e+02	2.98942	133.5
688	1.33169e+02	6.88000e+02	2.9894	134.0
689	1.33667e+02	6.89000e+02	2.98938	134.5
690	1.34180e+02	6.90000e+02	2.98937	135.0
691	1.34677e+02	6.91000e+02	2.98935	135.5
692	1.35184e+02	6.92000e+02	2.98935	136.0
693	1.35695e+02	6.93000e+02	2.98933	136.5
694	1.36195e+02	6.94000e+02	2.98931	137.0
695	1.36693e+02	6.95000e+02	2.98927	137.5
696	1.37190e+02	6.96000e+02	2.98922	138.0
697	1.37697e+02	6.97000e+02	2.98917	138.5
698	1.38193e+02	6.98000e+02	2.98912	139.0
699	1.38709e+02	6.99000e+02	2.98907	139.5
700	1.39197e+02	7.00000e+02	2.989	140.0
701	1.39692e+02	7.01000e+02	2.98893	140.5
702	1.40199e+02	7.02000e+02	2.98886	141.0
703	1.40699e+02	7.03000e+02	2.98879	141.5
704	1.41200e+02	7.04000e+02	2.98871	142.0
705	1.41706e+02	7.05000e+02	2.98863	142.5
706	1.42205e+02	7.06000e+02	2.98854	143.0
707	1.42705e+02	7.07000e+02	2.98844	143.5
708	1.43207e+02	7.08000e+02	2.98831	144.0
709	1.43711e+02	7.09000e+02	2.98817	144.5
710	1.44208e+02	7.10000e+02	2.98802	145.0
711	1.44715e+02	7.11000e+02	2.98785	145.5
712	1.45217e+02	7.12000e+02	2.98765	146.0
713	1.45711e+02	7.13000e+02	2.98747	146.5
714	1.46221e+02	7.14000e+02	2.9873	147.0
715	1.46719e+02	7.15000e+02	2.98713	147.5
716	1.47216e+02	7.16000e+02	2.98698	148.0
717	1.47724e+02	7.17000e+02	2.98684	148.5
718	1.48223e+02	7.18000e+02	2.9867	149.0
719	1.48725e+02	7.19000e+02	2.98657	149.5
720	1.49230e+02	7.20000e+02	2.98646	150.0
721	1.49727e+02	7.21000e+02	2.98634	150.5
722	1.50222e+02	7.22000e+02	2.98622	151.0
723	1.50757e+02	7.23000e+02	2.98609	151.5
724	1.51249e+02	7.24000e+02	2.98595	152.0
725	1.51749e+02	7.25000e+02	2.9858	152.5
726	1.52252e+02	7.26000e+02	2.98564	153.0
727	1.52747e+02	7.27000e+02	2.98547	153.5
728	1.53248e+02	7.28000e+02	2.98525	154.0
729	1.53752e+02	7.29000e+02	2.98503	154.5
730	1.54257e+02	7.30000e+02	2.98481	155.0
731	1.54760e+02	7.31000e+02	2.98458	155.5
732	1.55253e+02	7.32000e+02	2.98431	156.0
733	1.55753e+02	7.33000e+02	2.98406	156.5
734	1.56252e+02	7.34000e+02	2.98381	157.0
735	1.56758e+02	7.35000e+02	2.98356	157.5
736	1.57278e+02	7.36000e+02	2.98331	158.0
737	1.57776e+02	7.37000e+02	2.98306	158.5
738	1.58280e+02	7.38000e+02	2.98282	159.0
739	1.58767e+02	7.39000e+02	2.98257	159.5
740	1.59283e+02	7.40000e+02	2.98233	160.0
741	1.59780e+02	7.41000e+02	2.98209	160.5
742	1.60275e+02	7.42000e+02	2.98184	161.0
743	1.60784e+02	7.43000e+02	2.98158	161.5
744	1.61297e+02	7.44000e+02	2.98131	162.0
745	1.61803e+02	7.45000e+02	2.98103	162.5
746	1.62295e+02	7.46000e+02	2.98075	163.0
747	1.62805e+02	7.47000e+02	2.98046	163.5
748	1.63308e+02	7.48000e+02	2.98014	164.0
749	1.63814e+02	7.49000e+02	2.97983	164.5
750	1.64302e+02	7.50000e+02	2.97952	165.0
751	1.64812e+02	7.51000e+02	2.9792	165.5
