Index	Ts	t	Weight	Tr
[#]	[°C]	[s]	[mg]	[°C]
681	1.30486e+02	6.81000e+02	3.03618	130.5
682	1.30978e+02	6.82000e+02	3.03615	131.0
683	1.31496e+02	6.83000e+02	3.03611	131.5
684	1.32008e+02	6.84000e+02	3.03608	132.0
685	1.32506e+02	6.85000e+02	3.03604	132.5
686	1.33007e+02	6.86000e+02	3.03601	133.0
687	1.33531e+02	6.87000e+02	3.03599	133.5
688	1.34038e+02	6.88000e+02	3.03597	134.0
689	1.34540e+02	6.89000e+02	3.03596	134.5
690	1.35041e+02	6.90000e+02	3.03595	135.0
691	1.35560e+02	6.91000e+02	3.03594	135.5
692	1.36064e+02	6.92000e+02	3.03595	136.0
693	1.36564e+02	6.93000e+02	3.03595	136.5
694	1.37081e+02	6.94000e+02	3.03595	137.0
695	1.37588e+02	6.95000e+02	3.03596	137.5
696	1.38103e+02	6.96000e+02	3.03596	138.0
697	1.38605e+02	6.97000e+02	3.03595	138.5
698	1.39119e+02	6.98000e+02	3.03594	139.0
699	1.39618e+02	6.99000e+02	3.03592	139.5
700	1.40132e+02	7.00000e+02	3.03588	140.0
701	1.40634e+02	7.01000e+02	3.03584	140.5
702	1.41143e+02	7.02000e+02	3.03579	141.0
703	1.41643e+02	7.03000e+02	3.03575	141.5
704	1.42145e+02	7.04000e+02	3.03567	142.0
705	1.42658e+02	7.05000e+02	3.0356	142.5
706	1.43163e+02	7.06000e+02	3.03552	143.0
707	1.43680e+02	7.07000e+02	3.03545	143.5
708	1.44182e+02	7.08000e+02	3.03536	144.0
709	1.44701e+02	7.09000e+02	3.03527	144.5
710	1.45198e+02	7.10000e+02	3.03521	145.0
711	1.45711e+02	7.11000e+02	3.03515	145.5
712	1.46230e+02	7.12000e+02	3.03512	146.0
713	1.46720e+02	7.13000e+02	3.03512	146.5
714	1.47227e+02	7.14000e+02	3.03512	147.0
715	1.47745e+02	7.15000e+02	3.03514	147.5
716	1.48245e+02	7.16000e+02	3.03523	148.0
717	1.48752e+02	7.17000e+02	3.03527	148.5
718	1.49265e+02	7.18000e+02	3.03532	149.0
719	1.49770e+02	7.19000e+02	3.03536	149.5
720	1.50286e+02	7.20000e+02	3.03538	150.0
721	1.50785e+02	7.21000e+02	3.03539	150.5
722	1.51293e+02	7.22000e+02	3.03539	151.0
723	1.51805e+02	7.23000e+02	3.03537	151.5
724	1.52306e+02	7.24000e+02	3.03529	152.0
725	1.52804e+02	7.25000e+02	3.03522	152.5
726	1.53313e+02	7.26000e+02	3.03514	153.0
727	1.53821e+02	7.27000e+02	3.03507	153.5
728	1.54339e+02	7.28000e+02	3.03496	154.0
729	1.54838e+02	7.29000e+02	3.03489	154.5
730	1.55358e+02	7.30000e+02	3.03483	155.0
731	1.55866e+02	7.31000e+02	3.03478	155.5
732	1.56379e+02	7.32000e+02	3.03476	156.0
733	1.56877e+02	7.33000e+02	3.03473	156.5
734	1.57386e+02	7.34000e+02	3.03469	157.0
735	1.57902e+02	7.35000e+02	3.03466	157.5
736	1.58420e+02	7.36000e+02	3.03464	158.0
737	1.58910e+02	7.37000e+02	3.03461	158.5
738	1.59414e+02	7.38000e+02	3.03459	159.0
739	1.59933e+02	7.39000e+02	3.03457	159.5
740	1.60429e+02	7.40000e+02	3.03455	160.0
741	1.60947e+02	7.41000e+02	3.03452	160.5
742	1.61453e+02	7.42000e+02	3.03449	161.0
743	1.61961e+02	7.43000e+02	3.03446	161.5
744	1.62459e+02	7.44000e+02	3.03443	162.0
745	1.62972e+02	7.45000e+02	3.0344	162.5
746	1.63484e+02	7.46000e+02	3.03438	163.0
747	1.64003e+02	7.47000e+02	3.03435	163.5
748	1.64510e+02	7.48000e+02	3.03433	164.0
749	1.65021e+02	7.49000e+02	3.0343	164.5
750	1.65525e+02	7.50000e+02	3.03427	165.0
751	1.66049e+02	7.51000e+02	3.03423	165.5
752	1.66551e+02	7.52000e+02	3.03418	166.0
753	1.67059e+02	7.53000e+02	3.03414	166.5
754	1.67568e+02	7.54000e+02	3.03411	167.0
755	1.68072e+02	7.55000e+02	3.03407	167.5
756	1.68576e+02	7.56000e+02	3.03403	168.0
757	1.69101e+02	7.57000e+02	3.03399	168.5
758	1.69599e+02	7.58000e+02	3.03394	169.0
759	1.70114e+02	7.59000e+02	3.03389	169.5
760	1.70622e+02	7.60000e+02	3.03383	170.0
761	1.71134e+02	7.61000e+02	3.03377	170.5
762	1.71635e+02	7.62000e+02	3.03371	171.0
763	1.72150e+02	7.63000e+02	3.03366	171.5
764	1.72650e+02	7.64000e+02	3.03358	172.0
765	1.73159e+02	7.65000e+02	3.03351	172.5
766	1.73669e+02	7.66000e+02	3.03344	173.0
767	1.74175e+02	7.67000e+02	3.03336	173.5
768	1.74694e+02	7.68000e+02	3.03327	174.0
769	1.75201e+02	7.69000e+02	3.03318	174.5
770	1.75707e+02	7.70000e+02	3.0331	175.0
771	1.76227e+02	7.71000e+02	3.03302	175.5
772	1.76724e+02	7.72000e+02	3.03294	176.0
773	1.77243e+02	7.73000e+02	3.03287	176.5
774	1.77746e+02	7.74000e+02	3.0328	177.0
775	1.78264e+02	7.75000e+02	3.03272	177.5
776	1.78763e+02	7.76000e+02	3.03265	178.0
777	1.79281e+02	7.77000e+02	3.03257	178.5
778	1.79803e+02	7.78000e+02	3.0325	179.0
779	1.80313e+02	7.79000e+02	3.03241	179.5
780	1.80820e+02	7.80000e+02	3.03233	180.0
781	1.81333e+02	7.81000e+02	3.03225	180.5
782	1.81833e+02	7.82000e+02	3.03218	181.0
783	1.82341e+02	7.83000e+02	3.03211	181.5
784	1.82855e+02	7.84000e+02	3.03206	182.0
785	1.83373e+02	7.85000e+02	3.032	182.5
786	1.83877e+02	7.86000e+02	3.03194	183.0
787	1.84392e+02	7.87000e+02	3.03189	183.5
788	1.84904e+02	7.88000e+02	3.03184	184.0
789	1.85416e+02	7.89000e+02	3.0318	184.5
790	1.85925e+02	7.90000e+02	3.03175	185.0
791	1.86440e+02	7.91000e+02	3.0317	185.5
792	1.86951e+02	7.92000e+02	3.03165	186.0
793	1.87469e+02	7.93000e+02	3.03158	186.5
794	1.87983e+02	7.94000e+02	3.03151	187.0
795	1.88484e+02	7.95000e+02	3.03143	187.5
796	1.89000e+02	7.96000e+02	3.03133	188.0
797	1.89511e+02	7.97000e+02	3.03124	188.5
798	1.90027e+02	7.98000e+02	3.03115	189.0
799	1.90548e+02	7.99000e+02	3.03105	189.5
800	1.91044e+02	8.00000e+02	3.03095	190.0
801	1.91560e+02	8.01000e+02	3.03084	190.5
802	1.92070e+02	8.02000e+02	3.03072	191.0
803	1.92583e+02	8.03000e+02	3.03059	191.5
804	1.93101e+02	8.04000e+02	3.03045	192.0
805	1.93605e+02	8.05000e+02	3.03032	192.5
806	1.94117e+02	8.06000e+02	3.03019	193.0
807	1.94628e+02	8.07000e+02	3.03005	193.5
808	1.95148e+02	8.08000e+02	3.02991	194.0
809	1.95662e+02	8.09000e+02	3.02977	194.5
810	1.96166e+02	8.10000e+02	3.02963	195.0
811	1.96671e+02	8.11000e+02	3.02948	195.5
812	1.97189e+02	8.12000e+02	3.02932	196.0
813	1.97711e+02	8.13000e+02	3.02916	196.5
814	1.98217e+02	8.14000e+02	3.02899	197.0
815	1.98732e+02	8.15000e+02	3.02881	197.5
816	1.99244e+02	8.16000e+02	3.0286	198.0
817	1.99752e+02	8.17000e+02	3.02838	198.5
818	2.00273e+02	8.18000e+02	3.02815	199.0
819	2.00779e+02	8.19000e+02	3.02792	199.5
820	2.01297e+02	8.20000e+02	3.02763	200.0
821	2.01805e+02	8.21000e+02	3.02737	200.5
822	2.02321e+02	8.22000e+02	3.02711	201.0
823	2.02831e+02	8.23000e+02	3.02685	201.5
824	2.03342e+02	8.24000e+02	3.02659	202.0
825	2.03849e+02	8.25000e+02	3.02632	202.5
826	2.04367e+02	8.26000e+02	3.02605	203.0
827	2.04883e+02	8.27000e+02	3.02578	203.5
828	2.05395e+02	8.28000e+02	3.02551	204.0
829	2.05906e+02	8.29000e+02	3.02524	204.5
830	2.06421e+02	8.30000e+02	3.02497	205.0
831	2.06935e+02	8.31000e+02	3.02471	205.5
832	2.07441e+02	8.32000e+02	3.02443	206.0
833	2.07956e+02	8.33000e+02	3.02414	206.5
834	2.08468e+02	8.34000e+02	3.02385	207.0
835	2.08973e+02	8.35000e+02	3.02355	207.5
836	2.09489e+02	8.36000e+02	3.02322	208.0
837	2.09997e+02	8.37000e+02	3.02291	208.5
838	2.10509e+02	8.38000e+02	3.0226	209.0
839	2.11019e+02	8.39000e+02	3.02228	209.5
840	2.11523e+02	8.40000e+02	3.02196	210.0
841	2.12039e+02	8.41000e+02	3.02163	210.5
842	2.12548e+02	8.42000e+02	3.0213	211.0
843	2.13064e+02	8.43000e+02	3.02096	211.5
844	2.13574e+02	8.44000e+02	3.02061	212.0
845	2.14078e+02	8.45000e+02	3.02027	212.5
846	2.14592e+02	8.46000e+02	3.01994	213.0
847	2.15109e+02	8.47000e+02	3.01961	213.5
848	2.15613e+02	8.48000e+02	3.01929	214.0
849	2.16134e+02	8.49000e+02	3.01896	214.5
850	2.16642e+02	8.50000e+02	3.01863	215.0
851	2.17146e+02	8.51000e+02	3.0183	215.5
852	2.17654e+02	8.52000e+02	3.01796	216.0
853	2.18170e+02	8.53000e+02	3.01762	216.5
854	2.18675e+02	8.54000e+02	3.01728	217.0
855	2.19196e+02	8.55000e+02	3.01694	217.5
856	2.19699e+02	8.56000e+02	3.01659	218.0
857	2.20203e+02	8.57000e+02	3.01625	218.5
858	2.20712e+02	8.58000e+02	3.01591	219.0
859	2.21230e+02	8.59000e+02	3.01557	219.5
860	2.21737e+02	8.60000e+02	3.01524	220.0
861	2.22244e+02	8.61000e+02	3.0149	220.5
862	2.22757e+02	8.62000e+02	3.01457	221.0
863	2.23260e+02	8.63000e+02	3.01424	221.5
864	2.23770e+02	8.64000e+02	3.01392	222.0
865	2.24273e+02	8.65000e+02	3.0136	222.5
866	2.24789e+02	8.66000e+02	3.01328	223.0
867	2.25301e+02	8.67000e+02	3.01296	223.5
868	2.25811e+02	8.68000e+02	3.01264	224.0
869	2.26318e+02	8.69000e+02	3.0123	224.5
870	2.26819e+02	8.70000e+02	3.01197	225.0
871	2.27319e+02	8.71000e+02	3.01163	225.5
872	2.27831e+02	8.72000e+02	3.01128	226.0
873	2.28351e+02	8.73000e+02	3.01094	226.5
874	2.28855e+02	8.74000e+02	3.0106	227.0
875	2.29362e+02	8.75000e+02	3.01026	227.5
876	2.29872e+02	8.76000e+02	3.00992	228.0
877	2.30382e+02	8.77000e+02	3.00958	228.5
878	2.30887e+02	8.78000e+02	3.00924	229.0
879	2.31395e+02	8.79000e+02	3.00891	229.5
880	2.31909e+02	8.80000e+02	3.00858	230.0
881	2.32410e+02	8.81000e+02	3.00825	230.5
882	2.32931e+02	8.82000e+02	3.00792	231.0
883	2.33431e+02	8.83000e+02	3.00758	231.5
884	2.33945e+02	8.84000e+02	3.00725	232.0
885	2.34459e+02	8.85000e+02	3.00689	232.5
886	2.34974e+02	8.86000e+02	3.00653	233.0
887	2.35475e+02	8.87000e+02	3.00617	233.5
888	2.35988e+02	8.88000e+02	3.00578	234.0
889	2.36486e+02	8.89000e+02	3.00542	234.5
890	2.37009e+02	8.90000e+02	3.00506	235.0
891	2.37509e+02	8.91000e+02	3.0047	235.5
892	2.38015e+02	8.92000e+02	3.00434	236.0
893	2.38520e+02	8.93000e+02	3.00398	236.5
894	2.39025e+02	8.94000e+02	3.00361	237.0
895	2.39517e+02	8.95000e+02	3.00323	237.5
896	2.40029e+02	8.96000e+02	3.00285	238.0
897	2.40541e+02	8.97000e+02	3.00247	238.5
898	2.41051e+02	8.98000e+02	3.0021	239.0
899	2.41559e+02	8.99000e+02	3.00173	239.5
900	2.42073e+02	9.00000e+02	3.00137	240.0
901	2.42577e+02	9.01000e+02	3.001	240.5
902	2.43092e+02	9.02000e+02	3.00063	241.0
903	2.43593e+02	9.03000e+02	3.00026	241.5
904	2.44111e+02	9.04000e+02	2.99988	242.0
905	2.44622e+02	9.05000e+02	2.99951	242.5
906	2.45121e+02	9.06000e+02	2.99913	243.0
907	2.45620e+02	9.07000e+02	2.99875	243.5
908	2.46130e+02	9.08000e+02	2.99835	244.0
909	2.46642e+02	9.09000e+02	2.99794	244.5
910	2.47151e+02	9.10000e+02	2.99753	245.0
911	2.47665e+02	9.11000e+02	2.99711	245.5
912	2.48162e+02	9.12000e+02	2.99667	246.0
913	2.48654e+02	9.13000e+02	2.99625	246.5
914	2.49165e+02	9.14000e+02	2.99583	247.0
915	2.49669e+02	9.15000e+02	2.99542	247.5
916	2.50181e+02	9.16000e+02	2.99501	248.0
917	2.50687e+02	9.17000e+02	2.99459	248.5
918	2.51190e+02	9.18000e+02	2.99417	249.0
919	2.51710e+02	9.19000e+02	2.99375	249.5
920	2.52209e+02	9.20000e+02	2.99332	250.0
921	2.52737e+02	9.21000e+02	2.99289	250.5
922	2.53251e+02	9.22000e+02	2.99245	251.0
923	2.53757e+02	9.23000e+02	2.99201	251.5
924	2.54264e+02	9.24000e+02	2.99156	252.0
925	2.54783e+02	9.25000e+02	2.99111	252.5
926	2.55281e+02	9.26000e+02	2.99066	253.0
927	2.55798e+02	9.27000e+02	2.99022	253.5
928	2.56307e+02	9.28000e+02	2.98978	254.0
929	2.56823e+02	9.29000e+02	2.98935	254.5
930	2.57326e+02	9.30000e+02	2.98892	255.0
931	2.57844e+02	9.31000e+02	2.9885	255.5
932	2.58353e+02	9.32000e+02	2.9881	256.0
933	2.58888e+02	9.33000e+02	2.98769	256.5
934	2.59481e+02	9.34000e+02	2.98727	257.0
935	2.60004e+02	9.35000e+02	2.98685	257.5
936	2.60518e+02	9.36000e+02	2.98642	258.0
937	2.61039e+02	9.37000e+02	2.98598	258.5
938	2.61562e+02	9.38000e+02	2.98553	259.0
939	2.62085e+02	9.39000e+02	2.98508	259.5
940	2.62604e+02	9.40000e+02	2.9846	260.0
941	2.63115e+02	9.41000e+02	2.98412	260.5
942	2.63616e+02	9.42000e+02	2.98364	261.0
943	2.64121e+02	9.43000e+02	2.98316	261.5
944	2.64640e+02	9.44000e+02	2.98266	262.0
945	2.65137e+02	9.45000e+02	2.98217	262.5
946	2.65654e+02	9.46000e+02	2.98168	263.0
947	2.66160e+02	9.47000e+02	2.98119	263.5
948	2.66668e+02	9.48000e+02	2.98071	264.0
949	2.67181e+02	9.49000e+02	2.98024	264.5
950	2.67694e+02	9.50000e+02	2.97976	265.0
951	2.68210e+02	9.51000e+02	2.97928	265.5
952	2.68722e+02	9.52000e+02	2.97881	266.0
953	2.69242e+02	9.53000e+02	2.97832	266.5
954	2.69761e+02	9.54000e+02	2.97783	267.0
955	2.70258e+02	9.55000e+02	2.97733	267.5
956	2.70762e+02	9.56000e+02	2.97679	268.0
957	2.71277e+02	9.57000e+02	2.97626	268.5
958	2.71791e+02	9.58000e+02	2.97573	269.0
959	2.72309e+02	9.59000e+02	2.97518	269.5
960	2.72823e+02	9.60000e+02	2.97458	270.0
961	2.73355e+02	9.61000e+02	2.97399	270.5
962	2.73879e+02	9.62000e+02	2.97338	271.0
963	2.74394e+02	9.63000e+02	2.97277	271.5
964	2.74904e+02	9.64000e+02	2.97214	272.0
965	2.75425e+02	9.65000e+02	2.97154	272.5
966	2.75939e+02	9.66000e+02	2.97096	273.0
967	2.76438e+02	9.67000e+02	2.97038	273.5
968	2.76953e+02	9.68000e+02	2.96977	274.0
969	2.77458e+02	9.69000e+02	2.96911	274.5
970	2.77977e+02	9.70000e+02	2.96839	275.0
971	2.78490e+02	9.71000e+02	2.96763	275.5
972	2.78999e+02	9.72000e+02	2.9667	276.0
973	2.79533e+02	9.73000e+02	2.9658	276.5
974	2.80038e+02	9.74000e+02	2.96489	277.0
975	2.80538e+02	9.75000e+02	2.96397	277.5
976	2.81057e+02	9.76000e+02	2.96295	278.0
977	2.81567e+02	9.77000e+02	2.96201	278.5
978	2.82072e+02	9.78000e+02	2.96109	279.0
979	2.82578e+02	9.79000e+02	2.96019	279.5
980	2.83074e+02	9.80000e+02	2.95936	280.0
981	2.83573e+02	9.81000e+02	2.95852	280.5
982	2.84074e+02	9.82000e+02	2.95769	281.0
983	2.84580e+02	9.83000e+02	2.95686	281.5
984	2.85086e+02	9.84000e+02	2.95607	282.0
985	2.85591e+02	9.85000e+02	2.95526	282.5
986	2.86099e+02	9.86000e+02	2.95443	283.0
987	2.86603e+02	9.87000e+02	2.95359	283.5
988	2.87110e+02	9.88000e+02	2.95274	284.0
989	2.87617e+02	9.89000e+02	2.95189	284.5
990	2.88135e+02	9.90000e+02	2.95105	285.0
991	2.88635e+02	9.91000e+02	2.95021	285.5
992	2.89151e+02	9.92000e+02	2.94936	286.0
993	2.89651e+02	9.93000e+02	2.9485	286.5
994	2.90168e+02	9.94000e+02	2.94765	287.0
995	2.90666e+02	9.95000e+02	2.94678	287.5
996	2.91180e+02	9.96000e+02	2.9459	288.0
997	2.91702e+02	9.97000e+02	2.94502	288.5
998	2.92207e+02	9.98000e+02	2.94413	289.0
999	2.92708e+02	9.99000e+02	2.94323	289.5
1000	2.93227e+02	1.00000e+03	2.94231	290.0
1001	2.93730e+02	1.00100e+03	2.94139	290.5
1002	2.94237e+02	1.00200e+03	2.94047	291.0
1003	2.94747e+02	1.00300e+03	2.93953	291.5
1004	2.95265e+02	1.00400e+03	2.93858	292.0
1005	2.95760e+02	1.00500e+03	2.93762	292.5
1006	2.96255e+02	1.00600e+03	2.93664	293.0
1007	2.96762e+02	1.00700e+03	2.93566	293.5
1008	2.97259e+02	1.00800e+03	2.93463	294.0
1009	2.97771e+02	1.00900e+03	2.9336	294.5
1010	2.98269e+02	1.01000e+03	2.93255	295.0
1011	2.98769e+02	1.01100e+03	2.93149	295.5
1012	2.99270e+02	1.01200e+03	2.93037	296.0
1013	2.99775e+02	1.01300e+03	2.92927	296.5
1014	3.00284e+02	1.01400e+03	2.92817	297.0
1015	3.00788e+02	1.01500e+03	2.92706	297.5
1016	3.01296e+02	1.01600e+03	2.92592	298.0
1017	3.01795e+02	1.01700e+03	2.92478	298.5
1018	3.02295e+02	1.01800e+03	2.92364	299.0
1019	3.02795e+02	1.01900e+03	2.92248	299.5
1020	3.03302e+02	1.02000e+03	2.92128	300.0
1021	3.03811e+02	1.02100e+03	2.92008	300.5
1022	3.04319e+02	1.02200e+03	2.91887	301.0
1023	3.04824e+02	1.02300e+03	2.91764	301.5
1024	3.05329e+02	1.02400e+03	2.91636	302.0
1025	3.05831e+02	1.02500e+03	2.91509	302.5
1026	3.06333e+02	1.02600e+03	2.91381	303.0
1027	3.06844e+02	1.02700e+03	2.91251	303.5
1028	3.07348e+02	1.02800e+03	2.91115	304.0
1029	3.07845e+02	1.02900e+03	2.90979	304.5
1030	3.08348e+02	1.03000e+03	2.9084	305.0
1031	3.08850e+02	1.03100e+03	2.907	305.5
1032	3.09345e+02	1.03200e+03	2.9055	306.0
1033	3.09847e+02	1.03300e+03	2.904	306.5
1034	3.10345e+02	1.03400e+03	2.90247	307.0
1035	3.10849e+02	1.03500e+03	2.90092	307.5
1036	3.11338e+02	1.03600e+03	2.89924	308.0
1037	3.11827e+02	1.03700e+03	2.8976	308.5
1038	3.12324e+02	1.03800e+03	2.89594	309.0
1039	3.12814e+02	1.03900e+03	2.89427	309.5
1040	3.13303e+02	1.04000e+03	2.89254	310.0
1041	3.13804e+02	1.04100e+03	2.89083	310.5
1042	3.14304e+02	1.04200e+03	2.88912	311.0
1043	3.14785e+02	1.04300e+03	2.88742	311.5
1044	3.15280e+02	1.04400e+03	2.88569	312.0
1045	3.15785e+02	1.04500e+03	2.88397	312.5
1046	3.16258e+02	1.04600e+03	2.88224	313.0
1047	3.16754e+02	1.04700e+03	2.88051	313.5
1048	3.17238e+02	1.04800e+03	2.87876	314.0
1049	3.17733e+02	1.04900e+03	2.87701	314.5
1050	3.18228e+02	1.05000e+03	2.87525	315.0
1051	3.18732e+02	1.05100e+03	2.87349	315.5
1052	3.19204e+02	1.05200e+03	2.87169	316.0
1053	3.19694e+02	1.05300e+03	2.8699	316.5
1054	3.20181e+02	1.05400e+03	2.86809	317.0
1055	3.20675e+02	1.05500e+03	2.86627	317.5
1056	3.21157e+02	1.05600e+03	2.8644	318.0
1057	3.21638e+02	1.05700e+03	2.86254	318.5
1058	3.22125e+02	1.05800e+03	2.86068	319.0
1059	3.22613e+02	1.05900e+03	2.8588	319.5
1060	3.23115e+02	1.06000e+03	2.85688	320.0
1061	3.23595e+02	1.06100e+03	2.85496	320.5
1062	3.24084e+02	1.06200e+03	2.85303	321.0
1063	3.24575e+02	1.06300e+03	2.8511	321.5
1064	3.25055e+02	1.06400e+03	2.84913	322.0
1065	3.25544e+02	1.06500e+03	2.84718	322.5
1066	3.26017e+02	1.06600e+03	2.84522	323.0
1067	3.26496e+02	1.06700e+03	2.84326	323.5
1068	3.26979e+02	1.06800e+03	2.84126	324.0
1069	3.27459e+02	1.06900e+03	2.83924	324.5
1070	3.27942e+02	1.07000e+03	2.8372	325.0
1071	3.28424e+02	1.07100e+03	2.83514	325.5
1072	3.28888e+02	1.07200e+03	2.833	326.0
1073	3.29329e+02	1.07300e+03	2.83088	326.5
1074	3.29768e+02	1.07400e+03	2.82873	327.0
1075	3.30228e+02	1.07500e+03	2.82657	327.5
1076	3.30702e+02	1.07600e+03	2.82431	328.0
1077	3.31191e+02	1.07700e+03	2.82207	328.5
1078	3.31674e+02	1.07800e+03	2.81981	329.0
1079	3.32161e+02	1.07900e+03	2.81754	329.5
1080	3.32657e+02	1.08000e+03	2.81518	330.0
