Index	Ts	t	Weight	Tr
[#]	[°C]	[s]	[mg]	[°C]
681	1.30360e+02	6.81000e+02	2.94763	130.5
682	1.30871e+02	6.82000e+02	2.94757	131.0
683	1.31358e+02	6.83000e+02	2.94751	131.5
684	1.31875e+02	6.84000e+02	2.94743	132.0
685	1.32384e+02	6.85000e+02	2.94737	132.5
686	1.32875e+02	6.86000e+02	2.9473	133.0
687	1.33380e+02	6.87000e+02	2.94724	133.5
688	1.33881e+02	6.88000e+02	2.94719	134.0
689	1.34381e+02	6.89000e+02	2.94715	134.5
690	1.34895e+02	6.90000e+02	2.9471	135.0
691	1.35397e+02	6.91000e+02	2.94706	135.5
692	1.35903e+02	6.92000e+02	2.94702	136.0
693	1.36412e+02	6.93000e+02	2.94695	136.5
694	1.36920e+02	6.94000e+02	2.94688	137.0
695	1.37418e+02	6.95000e+02	2.9468	137.5
696	1.37913e+02	6.96000e+02	2.9467	138.0
697	1.38417e+02	6.97000e+02	2.94661	138.5
698	1.38921e+02	6.98000e+02	2.94653	139.0
699	1.39422e+02	6.99000e+02	2.94645	139.5
700	1.39940e+02	7.00000e+02	2.94637	140.0
701	1.40435e+02	7.01000e+02	2.94629	140.5
702	1.40935e+02	7.02000e+02	2.94621	141.0
703	1.41436e+02	7.03000e+02	2.94613	141.5
704	1.41942e+02	7.04000e+02	2.94604	142.0
705	1.42448e+02	7.05000e+02	2.94595	142.5
706	1.42953e+02	7.06000e+02	2.94586	143.0
707	1.43464e+02	7.07000e+02	2.94577	143.5
708	1.43961e+02	7.08000e+02	2.94567	144.0
709	1.44468e+02	7.09000e+02	2.94556	144.5
710	1.44978e+02	7.10000e+02	2.94545	145.0
711	1.45473e+02	7.11000e+02	2.94533	145.5
712	1.45979e+02	7.12000e+02	2.94519	146.0
713	1.46494e+02	7.13000e+02	2.94507	146.5
714	1.46971e+02	7.14000e+02	2.94494	147.0
715	1.47493e+02	7.15000e+02	2.9448	147.5
716	1.47987e+02	7.16000e+02	2.94466	148.0
717	1.48485e+02	7.17000e+02	2.94452	148.5
718	1.48995e+02	7.18000e+02	2.94437	149.0
719	1.49506e+02	7.19000e+02	2.94422	149.5
720	1.50008e+02	7.20000e+02	2.94404	150.0
721	1.50510e+02	7.21000e+02	2.94387	150.5
722	1.51017e+02	7.22000e+02	2.9437	151.0
723	1.51526e+02	7.23000e+02	2.94352	151.5
724	1.52013e+02	7.24000e+02	2.94333	152.0
725	1.52529e+02	7.25000e+02	2.94314	152.5
726	1.53038e+02	7.26000e+02	2.94294	153.0
727	1.53538e+02	7.27000e+02	2.94273	153.5
728	1.54037e+02	7.28000e+02	2.94252	154.0
729	1.54556e+02	7.29000e+02	2.94231	154.5
730	1.55058e+02	7.30000e+02	2.9421	155.0
731	1.55553e+02	7.31000e+02	2.94189	155.5
732	1.56058e+02	7.32000e+02	2.94168	156.0
733	1.56564e+02	7.33000e+02	2.94147	156.5
734	1.57076e+02	7.34000e+02	2.94126	157.0
735	1.57587e+02	7.35000e+02	2.94105	157.5
736	1.58090e+02	7.36000e+02	2.94083	158.0
737	1.58597e+02	7.37000e+02	2.94061	158.5
